Instituicao;cod_ibge;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Cardoso - SP;3510708;SP;12371;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;84399653,32
Prefeitura Municipal de Itatiba - SP;3523404;SP;124254;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;677626910,44
Prefeitura Municipal de Piraju - SP;3538808;SP;29930;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;147379126,98
Prefeitura Municipal de Santa Cruz do Rio Pardo - SP;3546405;SP;48207;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;278627898,27
Prefeitura Municipal de Osvaldo Cruz - SP;3534609;SP;33118;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;132736372,06
Prefeitura Municipal de Mongaguï¿½ - SP;3531100;SP;58567;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;373633147,9
Prefeitura Municipal de Sï¿½o Bento do Sapucaï¿½ - SP;3548609;SP;10907;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;66595791,58
Prefeitura Municipal de Itararï¿½ - SP;3523206;SP;50778;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;205152935,89
Prefeitura Municipal de Queluz - SP;3541901;SP;13788;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;76116659,42
Prefeitura Municipal de Jaguariï¿½na - SP;3524709;SP;59921;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;709396458,11
Prefeitura Municipal de ï¿½leo - SP;3533809;SP;2447;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28030905,32
Prefeitura Municipal de Guararema - SP;3518305;SP;30465;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;342635309,24
Prefeitura Municipal de Cabrï¿½lia Paulista - SP;3508306;SP;4222;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37512066,92
Prefeitura Municipal de Mococa - SP;3530508;SP;69072;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;289502043,38
Prefeitura Municipal de Buritizal - SP;3508207;SP;4547;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48343345,7
Prefeitura Municipal de Buri - SP;3508009;SP;20050;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;133849464,61
Prefeitura Municipal de Barueri - SP;3505708;SP;279704;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4995284576,35
Prefeitura Municipal de Mairinque - SP;3528403;SP;47723;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;236805225,56
Prefeitura Municipal de Lucianï¿½polis - SP;3527504;SP;2412;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27759902,3
Prefeitura Municipal de Florï¿½nia - SP;3516101;SP;2631;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;41017952,74
Prefeitura Municipal de Sud Mennucci - SP;3552304;SP;7738;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;62948725,51
Prefeitura Municipal de Barbosa - SP;3505104;SP;7532;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42129253,6
Prefeitura Municipal de Ipiguï¿½ - SP;3521150;SP;5557;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39686427,5
Prefeitura Municipal de Bady Bassitt - SP;3504602;SP;18013;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;131320423,74
Prefeitura Municipal de Silveiras - SP;3552007;SP;6375;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50739788,31
Prefeitura Municipal de Sarutaiï¿½ - SP;3551207;SP;3623;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31033946,52
Prefeitura Municipal de Charqueada - SP;3511706;SP;17539;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;94926581,4
Prefeitura Municipal de Parisi - SP;3536257;SP;2177;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;30777538,3
Prefeitura Municipal de Pontes Gestal - SP;3540309;SP;2576;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45206528,81
Prefeitura Municipal de Jarinu - SP;3525201;SP;31173;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;211176622,82
Prefeitura Municipal de Lins - SP;3527108;SP;78978;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;356636120,39
Prefeitura Municipal de Santa Rita d'Oeste - SP;3547403;SP;2476;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;30880139,93
Prefeitura Municipal de Arapeï¿½ - SP;3503158;SP;2452;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;41153493,43
Prefeitura Municipal de Jeriquara - SP;3525409;SP;3143;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35647611,31
Prefeitura Municipal de Divinolï¿½ndia - SP;3513900;SP;11027;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;73054337,77
Prefeitura Municipal de Santa Cruz das Palmeiras - SP;3546306;SP;35102;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;133367034,65
Prefeitura Municipal de Josï¿½ Bonifï¿½cio - SP;3525706;SP;37707;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;203840572,22
Prefeitura Municipal de Francisco Morato - SP;3516309;SP;179372;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;585008620,92
Prefeitura Municipal de Sï¿½o Paulo - SP;3550308;SP;12396372;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;95789912728,43
Prefeitura Municipal de Araï¿½oiaba da Serra - SP;3502903;SP;35389;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;181891652,14
Prefeitura Municipal de Indiaporï¿½ - SP;3520707;SP;3876;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39699413,85
Prefeitura Municipal de Santo Expedito - SP;3548302;SP;3159;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25325387,8
Prefeitura Municipal de Piracicaba - SP;3538709;SP;410275;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2578711769,36
Prefeitura Municipal de Cï¿½ndido Rodrigues - SP;3510104;SP;2805;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33885142,01
Prefeitura Municipal de Redenï¿½ï¿½o da Serra - SP;3542305;SP;3827;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36642683,12
Prefeitura Municipal de Aramina - SP;3503000;SP;5689;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40446647,02
Prefeitura Municipal de Uniï¿½o Paulista - SP;3555703;SP;1886;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;23294787,53
Prefeitura Municipal de Pilar do Sul - SP;3537909;SP;29612;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;134531619,99
Prefeitura Municipal de Nova Independï¿½ncia - SP;3533205;SP;4135;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51550159,55
Prefeitura Municipal de Vinhedo - SP;3556701;SP;81516;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;812336897,82
Prefeitura Municipal de Cananï¿½ia - SP;3509908;SP;12542;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;96109218,42
Prefeitura Municipal de Conchal - SP;3512209;SP;28491;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;179451758,01
Prefeitura Municipal de Cabreï¿½va - SP;3508405;SP;51130;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;396769332,71
Prefeitura Municipal de Cotia - SP;3513009;SP;257882;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1519537125,24
Prefeitura Municipal de Elisiï¿½rio - SP;3514924;SP;3742;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28137417,15
Prefeitura Municipal de Adolfo - SP;3500204;SP;3545;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44259588,55
Prefeitura Municipal de Sete Barras - SP;3551801;SP;12731;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;75451311,14
Prefeitura Municipal de Martinï¿½polis - SP;3529203;SP;26791;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;131106923,81
Prefeitura Municipal de Jï¿½lio Mesquita - SP;3525805;SP;4824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39292610,42
Prefeitura Municipal de Presidente Venceslau - SP;3541505;SP;39648;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;206064550,41
Prefeitura Municipal de Ipeï¿½na - SP;3521101;SP;7824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53642413,15
Prefeitura Municipal de Mauï¿½ - SP;3529401;SP;481725;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1549076671,25
Prefeitura Municipal de Barrinha - SP;3505609;SP;33537;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141876465,5
Prefeitura Municipal de Jardinï¿½polis - SP;3525102;SP;45544;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;240210808,17
Prefeitura Municipal de Santo Antï¿½nio do Jardim - SP;3548104;SP;5926;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35917577,25
Prefeitura Municipal de ï¿½lvares Florence - SP;3501202;SP;3616;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36436673,99
Prefeitura Municipal de Sï¿½o Simï¿½o - SP;3550902;SP;15446;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92355293,94
Prefeitura Municipal de Presidente Alves - SP;3541109;SP;4067;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31712602,29
Prefeitura Municipal de Pindamonhangaba - SP;3538006;SP;171885;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;891321707,05
Prefeitura Municipal de Itatinga - SP;3523503;SP;21139;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;112308675,94
Prefeitura Municipal de Alvinlï¿½ndia - SP;3501509;SP;3251;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27864581,03
Prefeitura Municipal de Cruzï¿½lia - SP;3513306;SP;2021;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31594867,66
Prefeitura Municipal de Arealva - SP;3503406;SP;8665;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52969754,3
Prefeitura Municipal de Duartina - SP;3514502;SP;12421;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;72959769,66
Prefeitura Municipal de Mirante do Paranapanema - SP;3530201;SP;18415;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;120199516,04
Prefeitura Municipal de Sï¿½o Sebastiï¿½o da Grama - SP;3550803;SP;12137;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58419346,13
Prefeitura Municipal de Campinas - SP;3509502;SP;1223237;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;8143599534,7
Prefeitura Municipal de Valinhos - SP;3556206;SP;133169;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;972273114,67
Prefeitura Municipal de Sï¿½o Caetano do Sul - SP;3548807;SP;162763;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2042467800,2
Prefeitura Municipal de Itu - SP;3523909;SP;177150;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1209104445,11
Prefeitura Municipal de Capï¿½o Bonito - SP;3510203;SP;47098;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;237788073,91
Prefeitura Municipal de Pinhalzinho - SP;3538204;SP;15564;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;66087253,56
Prefeitura Municipal de Jambeiro - SP;3524907;SP;6828;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57112868,24
Prefeitura Municipal de Areias - SP;3503505;SP;3906;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48300831,74
Prefeitura Municipal de Sï¿½o Josï¿½ do Barreiro - SP;3549607;SP;4141;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48070309,1
Prefeitura Municipal de Mogi das Cruzes - SP;3530607;SP;455587;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2379475027,98
Prefeitura Municipal de ï¿½guas de Sï¿½o Pedro - SP;3500600;SP;3588;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44629425,44
Prefeitura Municipal de Guapiara - SP;3517604;SP;16896;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;89109601,00
Prefeitura Municipal de Ipuï¿½ - SP;3521309;SP;16794;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;101936054,09
Prefeitura Municipal de Ubatuba - SP;3555406;SP;92819;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;646781246,82
Prefeitura Municipal de Itapetininga - SP;3522307;SP;167106;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;759251314,59
Prefeitura Municipal de Trï¿½s Fronteiras - SP;3554904;SP;5856;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37651130,55
Prefeitura Municipal de Torrinha - SP;3554706;SP;10100;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57442873,53
Prefeitura Municipal de Regente Feijï¿½ - SP;3542404;SP;20523;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;122873773,66
Prefeitura Municipal de Nova Guataporanga - SP;3533106;SP;2333;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;26656521,19
Prefeitura Municipal de Cordeirï¿½polis - SP;3512407;SP;25116;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;262278746,25
Prefeitura Municipal de Nova Europa - SP;3532900;SP;11519;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;74543368,13
Prefeitura Municipal de Mairiporï¿½ - SP;3528502;SP;103645;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;519617024,61
Prefeitura Municipal de Porangaba - SP;3540507;SP;10205;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57947987,36
Prefeitura Municipal de Sorocaba - SP;3552205;SP;695328;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4433107532,63
Prefeitura Municipal de Tuiuti - SP;3554953;SP;7058;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34354829,41
Prefeitura Municipal de Bom Sucesso de Itararï¿½ - SP;3507159;SP;4013;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;30698098,66
Prefeitura Municipal de Santa Bï¿½rbara d'Oeste - SP;3545803;SP;195278;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;841403957,56
Prefeitura Municipal de Tambaï¿½ - SP;3553302;SP;23255;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;135231825,87
Prefeitura Municipal de Birigui - SP;3506508;SP;126094;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;595359314,4
Prefeitura Municipal de Diadema - SP;3513801;SP;429550;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1792355229,07
Prefeitura Municipal de Lavrinhas - SP;3526605;SP;7361;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44122973,4
Prefeitura Municipal de Potim - SP;3540754;SP;25603;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92852706,59
Prefeitura Municipal de Narandiba - SP;3532207;SP;4950;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61003715,68
Prefeitura Municipal de Mombuca - SP;3530904;SP;3523;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33499795,54
Prefeitura Municipal de Santa Gertrudes - SP;3546702;SP;27850;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;213108049,94
Prefeitura Municipal de Lagoinha - SP;3526308;SP;4882;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39059483,4
Prefeitura Municipal de Araï¿½ariguama - SP;3502754;SP;23343;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;205066287,8
Prefeitura Municipal de Mineiros do Tietï¿½ - SP;3529807;SP;13023;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55741552,42
Prefeitura Municipal de Santo Antï¿½nio da Alegria - SP;3547908;SP;7024;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46765320,08
Prefeitura Municipal de Nova Odessa - SP;3533403;SP;61716;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;327265501,36
Prefeitura Municipal de Catanduva - SP;3511102;SP;123114;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;736040803,25
Prefeitura Municipal de Cesï¿½rio Lange - SP;3511607;SP;18595;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;103030496,67
Prefeitura Municipal de Bauru - SP;3506003;SP;381706;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1921513738,00
Prefeitura Municipal de Alumï¿½nio - SP;3501152;SP;18903;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;140303772,35
Prefeitura Municipal de Casa Branca - SP;3510807;SP;30655;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;174654224,69
Prefeitura Municipal de Clementina - SP;3511904;SP;8894;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42965744,86
Prefeitura Municipal de Rincï¿½o - SP;3543709;SP;10824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58478886,75
Prefeitura Municipal de Pirajuï¿½ - SP;3538907;SP;25939;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;114381456,65
Prefeitura Municipal de Urï¿½nia - SP;3555802;SP;9125;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45315908,43
Prefeitura Municipal de Marabï¿½ Paulista - SP;3528700;SP;6039;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40658912,45
Prefeitura Municipal de Santana de Parnaï¿½ba - SP;3547304;SP;145073;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1697184988,89
Prefeitura Municipal de Getulina - SP;3517000;SP;11485;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;64527662,73
Prefeitura Municipal de Iepï¿½ - SP;3519907;SP;8228;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;65333681,35
Prefeitura Municipal de Glicï¿½rio - SP;3517109;SP;4842;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42870251,26
Prefeitura Municipal de Altair - SP;3500907;SP;4211;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37448931,16
Prefeitura Municipal de Anhembi - SP;3502309;SP;6911;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58027521,76
Prefeitura Municipal de Bariri - SP;3505203;SP;35844;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;167483775,31
Prefeitura Municipal de Borebi - SP;3507456;SP;2713;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40460809,85
Prefeitura Municipal de Campo Limpo Paulista - SP;3509601;SP;86407;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;355791075,03
Prefeitura Municipal de Guaraci - SP;3517901;SP;11382;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;105227554,45
Prefeitura Municipal de Itupeva - SP;3524006;SP;64330;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;570427639,54
Prefeitura Municipal de Urupï¿½s - SP;3556008;SP;13965;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;85197511,27
Prefeitura Municipal de Planalto - SP;3539608;SP;5370;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50383687,37
Prefeitura Municipal de Avarï¿½ - SP;3504503;SP;91792;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;493529160,09
Prefeitura Municipal de Taquaritinga - SP;3553708;SP;57547;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;291715044,39
Prefeitura Municipal de Apiaï¿½ - SP;3502705;SP;24081;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;125819289,35
Prefeitura Municipal de Limeira - SP;3526902;SP;310783;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1600219728,68
Prefeitura Municipal de Descalvado - SP;3513702;SP;34097;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;192378008,27
Prefeitura Municipal de Sales - SP;3544806;SP;6481;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55341493,01
Prefeitura Municipal de Santa Branca - SP;3546009;SP;14925;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;80624682,21
Prefeitura Municipal de Junqueirï¿½polis - SP;3526001;SP;20978;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;115147216,56
Prefeitura Municipal de Amparo - SP;3501905;SP;73145;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;484412905,75
Prefeitura Municipal de Miracatu - SP;3529906;SP;19511;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;116488485,65
Prefeitura Municipal de Pratï¿½nia - SP;3541059;SP;5371;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40505264,57
Prefeitura Municipal de Meridiano - SP;3529609;SP;3813;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51081600,13
