Instituicao;cod_ibge;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Itapirapuï¿½ Paulista - SP;3522653;SP;4294;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34848198,39
Prefeitura Municipal de Iracemï¿½polis - SP;3521408;SP;24982;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141433360,31
Prefeitura Municipal de ï¿½guas de Santa Bï¿½rbara - SP;3500550;SP;6142;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58294833,6
Prefeitura Municipal de Pederneiras - SP;3536703;SP;47523;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;246392985,42
Prefeitura Municipal de Santa Clara d'Oeste - SP;3546108;SP;2111;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37252806,32
Prefeitura Municipal de Lutï¿½cia - SP;3527900;SP;2623;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35011807,46
Prefeitura Municipal de Sï¿½o Joaquim da Barra - SP;3549409;SP;52737;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;254293043,96
Prefeitura Municipal de Vera Cruz - SP;3556602;SP;10804;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;54832430,89
Prefeitura Municipal de Ipaussu - SP;3520905;SP;15165;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;95283179,1
Prefeitura Municipal de Jaci - SP;3524501;SP;7322;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51758652,37
Prefeitura Municipal de Ribeirï¿½o Preto - SP;3543402;SP;720116;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4111828964,42
Prefeitura Municipal de Lavï¿½nia - SP;3526506;SP;12581;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;60322095,42
Prefeitura Municipal de Sï¿½o Francisco - SP;3549003;SP;2813;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;29219970,77
Prefeitura Municipal de Coronel Macedo - SP;3512605;SP;4591;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44903792,73
Prefeitura Municipal de Bofete - SP;3506904;SP;12107;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;71544204,06
Prefeitura Municipal de Espï¿½rito Santo do Turvo - SP;3515194;SP;4926;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37229170,69
Prefeitura Municipal de Rubinï¿½ia - SP;3544509;SP;3191;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45677551,16
Prefeitura Municipal de Santa Albertina - SP;3545704;SP;6036;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58879812,79
Prefeitura Municipal de Alto Alegre - SP;3501103;SP;4078;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38234150,79
Prefeitura Municipal de Barra Bonita - SP;3505302;SP;36125;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;215774920,36
Prefeitura Municipal de Arandu - SP;3503109;SP;6373;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;64342929,79
