"Municipio gestor";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
"350740 Borborema";837;168;22;2574;-;487;239;-;-;-;-;-;104;-;-;355;10587;1055;-;-;-;-;47;-;-;39;-;2;4;-;-;-;-;-;-;-;1;20;-;-;-;-;-;-;-;-;-;23;-;-;-;16564
"350745 Borebi";746;-;108;-;-;9;-;-;-;-;-;-;11;-;-;84;1893;236;-;-;-;-;456;1;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;8;-;-;84;3670
"350750 Botucatu";43065;249;9656;54;-;1037;336;-;-;-;107;-;1271;-;-;8186;69447;2373;151;-;-;-;5002;506;-;89;-;146;-;-;30;-;1;-;-;-;-;646;-;-;-;-;-;-;-;-;-;2;-;-;-;142354
"350760 Braganca Paulista";242;456;2734;87524;-;6927;2407;804;-;-;372;-;2165;-;-;6163;112036;419;334;-;-;-;843;14;-;445;-;4;39;-;7;52;-;-;-;-;-;298;-;3;-;-;-;-;-;-;-;-;-;-;-;224288
"350770 Brauna";2573;14;151;-;-;-;-;-;-;-;-;-;-;-;-;182;5389;-;-;-;-;-;535;-;-;1;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;8910
"350775 Brejo Alegre";389;-;89;-;-;2;-;-;-;-;-;-;-;-;-;165;3453;396;-;-;-;-;156;1;-;1;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;4669
"350780 Brodowski";16448;-;1085;12658;-;430;-;-;-;-;-;-;83;-;-;1056;30547;699;-;-;-;-;541;1;-;9;-;37;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;63694
"350790 Brotas";2375;153;687;1438;-;636;-;-;-;-;-;-;384;-;-;1882;17806;129;12;-;-;-;641;-;-;45;-;2;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;26266
"350800 Buri";1281;9;155;6530;-;563;-;-;-;-;-;-;95;-;-;336;7891;523;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2334;19830
"350810 Buritama";9032;960;221;3886;-;581;286;-;-;-;-;-;519;-;-;794;23316;544;2365;-;-;-;485;52;-;4;-;4;356;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;14;-;-;5597;49115
"350820 Buritizal";45;11;73;-;-;4;-;-;-;-;-;-;4;-;-;150;4684;269;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;15;-;-;-;5477
"350830 Cabralia Paulista";4363;13;251;-;-;-;-;-;-;-;-;-;-;-;-;597;8896;208;-;-;-;-;446;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;14863
"350840 Cabreuva";5658;38;1846;26929;-;3059;595;-;-;-;-;-;602;-;-;3106;61620;621;333;-;-;-;1256;80;-;144;-;4;-;-;-;-;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;106078
"350850 Cacapava";16283;228;41;62310;612;3124;565;109;7;-;34;-;810;22;47;985;32462;591;19;-;-;14;2558;2;-;2458;-;9;-;20;-;2;3;-;-;-;-;284;-;-;-;-;-;-;-;-;-;-;-;-;2538;126137
"350860 Cachoeira Paulista";73;-;-;11475;-;1126;-;-;-;-;-;-;297;-;-;510;12471;583;-;-;-;3;480;-;-;13;-;3;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;27079
"350870 Caconde";3692;99;188;4482;-;30;133;-;-;-;-;-;45;-;1;651;8037;467;7;-;-;-;644;-;-;24;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;-;-;-;42;-;-;371;19035
"350880 Cafelandia";9275;-;613;956;-;392;10;-;-;-;-;-;811;-;-;439;19902;330;520;-;-;-;300;-;-;31;-;2;21;-;-;-;3;-;-;-;1;78;-;-;-;-;-;-;-;-;-;-;-;-;-;33684
"350890 Caiabu";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;408;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;437
"350900 Caieiras";-;493;1048;56764;-;950;641;-;-;-;-;-;799;-;-;3310;76374;1216;34;-;-;-;-;-;-;29;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141672
"350910 Caiua";2729;8;509;-;-;1;-;-;-;-;-;-;-;-;-;301;3490;162;-;-;-;-;96;-;-;6;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;7333
"350920 Cajamar";5707;202;-;57498;2;5167;2307;219;-;-;234;-;4216;-;-;1575;80385;5756;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163326
"350925 Cajati";446;402;652;6909;-;740;341;-;-;-;-;-;179;-;-;2115;21228;922;-;-;-;-;110;-;-;47;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;34114
"350930 Cajobi";-;-;259;-;-;294;-;-;-;-;-;-;84;-;-;170;3971;350;-;-;-;-;-;-;-;32;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5165
"350940 Cajuru";300;-;11;10675;-;831;135;41;-;-;25;-;808;-;8;562;11519;324;38;-;-;-;893;-;-;299;-;6;-;-;3;3;3;-;-;-;7;40;1;-;-;-;-;-;-;-;-;24;-;-;-;26556
"350945 Campina do Monte Alegre";-;17;-;-;-;49;-;-;-;-;-;-;90;-;-;-;2533;112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2801
"350950 Campinas";757;839;17096;611016;2123;31727;10640;3636;860;369;1179;8;27498;-;110;13947;321999;4178;727;2141;3377;111;601;351;-;1990;-;189;805;26;133;42;35;2;2;8;2;195;4;53;38;-;-;-;-;17;-;565;74;-;-;1059470
"350960 Campo Limpo Paulista";2289;97;20493;31827;6;3382;464;464;-;-;61;-;705;-;819;2151;86063;4810;183;-;2237;-;21;-;-;841;-;10;5;-;-;5;2;-;-;2;-;141;-;109;15;-;-;-;-;-;-;-;19;-;-;157221
"350970 Campos do Jordao";5389;164;1695;17363;-;1811;360;-;-;-;-;-;315;-;-;2478;35326;251;58;-;-;-;1118;-;-;15;-;1;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;66459
"350980 Campos Novos Paulista";2923;3;349;-;-;-;-;-;-;-;-;-;-;-;-;445;9700;407;-;-;-;-;220;-;-;1;-;9;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;42;-;-;1039;15163
"350990 Cananeia";-;-;76;-;-;514;-;-;-;-;-;-;83;-;-;165;5125;190;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6154
"350995 Canas";36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;288;2;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;442
"351000 Candido Mota";4370;142;-;19533;9;926;120;-;-;-;95;-;1049;-;-;777;23003;2456;41;-;-;-;-;11;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;52699
"351010 Candido Rodrigues";-;4;-;-;-;-;27;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206
"351015 Canitar";81;76;-;559;-;8;-;-;-;-;-;-;-;-;-;-;147;310;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;-;-;1253
"351020 Capao Bonito";7100;-;97;18001;-;1886;223;-;-;-;33;-;594;-;-;443;18144;602;19;-;-;-;367;68;-;115;-;5;-;-;-;22;2;1;-;-;-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;47869
"351030 Capela do Alto";198;43;1449;-;-;1184;-;-;-;-;-;-;68;-;-;585;19508;165;-;-;-;-;241;-;-;11;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;4;-;-;-;23498
"351040 Capivari";7391;229;1825;19235;49;1127;390;130;-;-;48;-;853;-;-;1423;29688;717;34;-;-;11;2142;-;-;59;-;4;-;-;1;-;-;-;-;-;-;361;-;-;-;-;-;-;-;-;-;53;-;-;-;65770
"351050 Caraguatatuba";7786;667;501;131218;947;8580;3222;1344;209;-;1;-;7730;224;44;5513;93479;3341;235;-;2817;130;883;204;-;2374;-;25;73;-;1;11;1;-;-;3;-;151;280;41;11;-;-;-;-;-;-;137;5;69;-;272257
"351060 Carapicuiba";7361;535;3401;66;-;13900;-;-;-;-;-;-;696;-;-;4662;99327;-;-;-;-;-;710;-;-;176;-;1;-;-;-;-;-;-;-;-;-;381;-;-;-;-;-;-;-;-;-;-;-;-;-;131216
"351070 Cardoso";-;15;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
"351080 Casa Branca";20;96;37;9097;7;1254;-;-;-;-;-;-;265;-;-;272;11211;257;82;-;-;-;16;-;-;68;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;22700
"351090 Cassia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"351100 Castilho";6719;17;780;1558;-;436;-;-;-;-;-;-;82;-;-;1119;24544;867;11;-;-;-;308;-;-;50;-;18;-;-;3;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;-;36698
"351110 Catanduva";20381;887;5817;4794;-;1813;1;-;-;-;-;-;2009;-;-;5657;96231;1604;706;-;-;-;5511;1;-;123;-;119;174;-;-;-;-;-;-;-;-;439;3;-;-;-;-;-;-;-;-;260;-;-;7935;154465
"351120 Catigua";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;732
"351130 Cedral";480;56;587;3189;-;338;-;-;-;-;-;-;-;-;-;185;10538;461;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15834
"351140 Cerqueira Cesar";9;30;-;-;-;-;-;-;-;-;-;-;-;-;-;244;532;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;834
"351150 Cerquilho";3680;410;1163;19839;-;1916;146;-;-;-;-;-;382;-;-;1489;53402;650;50;-;-;6;1326;-;-;80;-;49;-;-;2;1;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;35;-;-;20;84730
"351160 Cesario Lange";-;110;-;3513;-;775;379;8;24;-;71;-;63;-;-;-;6098;-;6;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11063
"351170 Charqueada";5508;-;346;135;-;295;-;-;-;-;-;-;78;-;20;529;15853;847;-;-;-;-;433;-;-;70;-;-;-;-;2;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;1166;25336
"355720 Chavantes";6222;31;45;1;-;-;-;-;-;-;-;-;11;-;-;231;8348;164;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;15119
"351190 Clementina";1672;141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1813
"351200 Colina";4745;104;161;10904;-;987;335;-;-;-;-;-;282;-;-;385;15381;-;10;-;-;-;464;-;-;18;-;-;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;33878
"351210 Colombia";3448;49;25;2781;-;79;31;-;-;-;-;-;36;-;-;151;4020;132;2;-;-;-;92;-;-;13;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;51;-;-;-;10925
"351220 Conchal";825;340;1;18222;-;1027;-;106;-;-;-;-;181;-;-;295;13925;109;14;-;-;-;-;-;-;219;-;-;-;-;-;6;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2390;37664
"351230 Conchas";1318;14;-;6480;-;909;134;-;-;-;-;-;175;-;-;265;17901;-;-;-;-;-;101;-;-;71;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;27444
"351240 Cordeiropolis";204;28;2193;14142;-;1125;297;-;-;-;-;-;317;-;-;329;19375;1264;-;-;-;-;621;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;20;-;-;-;39937
"351250 Coroados";2394;7;55;-;-;-;-;-;-;-;-;-;-;-;-;414;8913;338;-;-;-;-;65;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;36;-;-;-;12244
"351260 Coronel Macedo";-;11;-;471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;482
"351270 Corumbatai";883;18;55;-;-;15;54;-;2;-;-;-;7;-;-;209;4925;148;-;-;-;-;110;-;-;2;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;1302;7745
"351280 Cosmopolis";4765;75;84;32294;-;2086;763;106;-;-;85;-;1017;-;-;158;11183;893;165;-;-;-;95;78;-;1;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;4929;58808
"351290 Cosmorama";1;115;-;2911;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3030
"351300 Cotia";9646;199;15224;21;-;8210;637;-;-;-;87;-;1195;-;-;9292;175131;3799;42;-;-;-;698;3;-;458;-;-;-;9;-;-;8;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;224781
"351310 Cravinhos";1183;-;4332;4323;-;3183;-;-;-;-;-;-;576;-;-;310;18505;288;-;-;-;-;649;-;-;35;-;12;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;33528
"351320 Cristais Paulista";40;57;6;2157;-;236;-;-;-;-;-;-;-;-;-;24;3568;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;6382
"351330 Cruzalia";2646;1273;3;-;-;-;-;-;-;-;-;-;1;-;-;157;5214;44;-;-;-;-;126;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1164;10634
"351340 Cruzeiro";201;525;146;51967;2;2277;344;461;-;-;-;-;468;14;-;506;26223;793;42;-;808;7;226;-;-;176;-;2;-;-;-;4;-;-;-;-;-;52;-;4;6;-;-;-;-;-;-;12;11;-;18036;103313
"351350 Cubatao";2893;106;420;65069;545;5559;1862;571;-;-;104;-;1302;316;-;1972;89844;6288;-;-;-;244;964;-;-;54;-;7;-;-;47;-;1;-;-;-;4;289;-;107;-;-;-;-;-;-;-;-;-;-;-;178568
"351360 Cunha";7462;293;65;4567;4;769;67;-;-;-;-;-;173;-;116;853;11600;290;36;-;-;-;613;-;-;84;-;2;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;-;10;-;-;-;27127
"351370 Descalvado";2737;218;373;11998;-;1486;483;-;-;-;-;-;352;-;-;440;24155;506;7;-;-;-;2103;11;-;227;-;2;-;-;-;1;-;-;-;-;-;98;-;24;-;-;-;-;-;-;-;238;-;-;3565;49024
"351380 Diadema";3519;512;3610;195485;1795;10388;1133;218;-;-;166;-;9179;-;-;4788;137140;8236;197;-;-;-;122;76;-;249;-;95;75;4;-;7;7;-;-;-;-;11;5;1;-;-;-;-;-;-;-;19;-;-;-;377037
"351385 Dirce Reis";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351390 Divinolandia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;84
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;14;1250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1299
"351410 Dois Corregos";16618;484;189;2153;-;703;-;-;-;-;-;-;63;-;-;1113;27720;392;2;-;-;-;602;52;-;86;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;20;-;-;-;50275
"351420 Dolcinopolis";63;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;219;160;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;618
"351430 Dourado";1803;39;45;-;-;-;-;-;-;-;-;-;-;-;-;616;6391;-;-;-;-;-;93;-;-;18;-;2;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;9047
"351440 Dracena";7789;299;769;27346;782;2163;898;205;12;-;-;-;253;511;-;884;32367;1571;171;-;1272;484;-;-;-;364;-;-;-;-;67;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;36;-;5379;83637
"351450 Duartina";11021;101;601;1372;-;355;89;-;-;-;-;-;76;-;74;740;25558;757;11;-;-;-;389;-;-;167;-;2;-;-;1;-;-;-;-;-;-;13;-;178;-;-;-;-;-;-;-;257;-;-;-;41762
"351460 Dumont";82;-;8;-;-;207;47;-;-;-;-;-;76;-;-;79;1177;524;-;-;-;-;255;-;-;18;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;18;-;-;-;2517
"351470 Echapora";314;-;-;-;-;1;43;-;-;-;-;-;-;-;-;216;3244;420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4238
"351480 Eldorado";10;-;-;6788;-;258;142;-;-;-;-;-;50;-;-;-;3689;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;11006
"351490 Elias Fausto";5840;-;147;10527;-;1043;171;-;-;-;-;-;19;-;4;800;15804;439;-;-;-;-;607;-;-;4;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;28;-;-;-;35514
"351492 Elisiario";1;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;527;722
"351495 Embauba";88;24;60;-;-;-;-;-;-;-;-;-;-;-;-;100;5321;84;-;-;-;-;218;-;-;6;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;12;-;-;-;5929
"351500 Embu das Artes";892;347;4529;983;-;8210;3979;34;-;-;-;-;706;-;-;3602;150210;45;151;-;1968;-;1368;-;-;116;-;56;-;9;-;-;-;-;-;-;-;348;-;-;19;-;-;-;-;-;-;-;19;-;-;177591
"351510 Embu-Guacu";2;305;5744;-;-;2231;150;-;-;-;-;-;949;-;-;2054;39533;200;-;-;-;-;6;-;-;49;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;51229
"351512 Emilianopolis";-;34;-;-;-;-;-;-;-;-;-;-;4;-;-;-;125;208;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;418
"351515 Engenheiro Coelho";694;-;165;-;-;673;179;-;-;-;16;-;154;-;-;259;14751;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16926
"351518 Espirito Santo do Pinhal";11291;376;1232;13549;-;1620;150;145;1;-;-;-;639;-;-;3179;32726;1589;71;-;-;8;1182;90;-;222;-;8;-;-;-;6;-;-;-;-;1;189;-;-;-;-;-;-;-;-;-;33;-;-;-;68307
"351519 Espirito Santo do Turvo";1697;70;609;-;-;-;-;-;-;-;-;-;62;-;-;986;7925;183;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;25;-;-;-;11639
"355730 Estiva Gerbi";3786;-;143;4826;-;550;-;-;-;-;-;-;127;-;-;534;11871;-;3;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21844
"351520 Estrela d'Oeste";67;53;2;2862;1;375;-;-;-;-;-;-;172;-;-;12;4580;305;-;-;-;-;-;-;-;35;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8468
"351530 Estrela do Norte";-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215
"351535 Euclides da Cunha Paulista";2306;30;9;3666;-;-;18;-;-;-;-;-;83;-;-;-;12048;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1038;19477
"351540 Fartura";32;174;23;344;-;681;-;-;-;-;-;-;104;-;-;75;4446;140;121;-;-;-;-;-;-;32;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6173
"351560 Fernando Prestes";-;52;-;1826;-;-;-;-;-;-;-;-;28;-;-;11;310;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;1403;3645
"351550 Fernandopolis";8772;426;1377;25882;-;3728;905;-;-;-;-;-;727;-;1;563;27208;271;-;-;-;-;1920;-;-;258;-;8;-;-;-;-;10;3;-;-;-;579;-;-;-;-;-;-;-;-;-;557;-;-;3976;77171
"351565 Fernao";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;70
"351570 Ferraz de Vasconcelos";11891;1885;1583;72901;-;1215;757;-;-;-;-;-;572;-;-;1168;20400;2319;-;-;-;-;1139;440;-;21;-;8;-;-;-;-;-;-;-;-;-;744;-;-;-;-;-;-;-;-;-;26;-;-;-;117069
"351580 Flora Rica";293;36;132;-;-;-;-;-;-;-;-;-;-;-;-;121;1910;114;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;400;3046
"351590 Floreal";28;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;455;-;-;-;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;751
"351600 Florida Paulista";8974;-;238;-;-;-;-;-;-;-;-;-;17;-;-;267;7452;216;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;17;-;-;-;17459
"351620 Franca";18291;4;24102;125487;1434;14383;4596;-;94;43;161;-;15402;-;-;14341;338221;101;372;-;1614;-;2485;-;-;1253;-;397;140;28;2;-;-;-;-;-;2;556;-;25;19;-;-;-;-;-;-;148;17;-;12018;575736
"351630 Francisco Morato";1897;51;347;60281;11;5745;627;-;-;-;-;-;918;-;254;3866;91264;468;91;-;1813;-;1184;-;-;127;-;50;-;-;1;3;-;-;-;-;-;65;-;-;21;-;-;-;-;-;-;-;12;-;-;169096
"351640 Franco da Rocha";2233;777;48;76955;14;5816;1704;-;-;-;-;-;574;-;2;4598;94414;3038;-;-;2713;-;436;-;-;34;-;-;-;-;-;-;-;-;-;-;-;65;-;-;8;-;-;-;-;-;-;-;18;-;-;193447
"351650 Gabriel Monteiro";-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"351660 Galia";4109;-;31;2866;-;280;-;-;-;-;-;-;96;-;-;329;7925;202;-;-;-;-;400;-;-;34;-;5;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;21;-;-;2590;18935
