"Municipio";"0101 Acoes coletivas/individuais em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0502 Avaliacao de morte encefalica";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0802 Acoes relacionadas ao atendimento";"Total"
"354040 Populina";-;-;28;-;-;-;-;-;-;-;-;1;-;-;11;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
"354060 Porto Feliz";-;-;3561;48;161;18;17;-;-;5;-;64;46;-;72;2576;113;4;47;24;-;7;8;7;226;-;-;4;-;2;35;13;22;1;20;1;-;-;-;-;-;-;-;-;-;-;-;1;25;-;407;7535
"354070 Porto Ferreira";-;-;2329;38;94;25;44;-;-;6;-;50;-;24;4151;530;79;7;51;26;-;7;4;9;1;-;5;2;-;-;19;16;10;-;20;2;-;1;5;-;4;-;-;-;-;-;-;4;34;-;649;8246
"354080 Potirendaba";-;-;206;2;10;11;-;-;-;-;-;6;-;-;-;32;42;-;8;-;-;-;-;-;2;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;92;419
"354100 Praia Grande";-;-;10437;-;667;203;104;-;-;22;-;576;165;190;3162;873;537;6;40;97;-;6;604;84;10;1;-;16;-;3;49;34;17;1;72;6;-;-;4;-;6;-;-;-;-;-;-;30;53;-;1474;19549
"354120 Presidente Bernardes";-;-;336;-;27;-;-;-;-;-;-;13;-;-;12;-;66;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;458
"354130 Presidente Epitacio";-;14;2559;-;41;19;50;-;-;-;-;91;34;14;140;439;109;-;6;17;-;4;-;5;1;-;-;-;-;-;15;11;2;-;9;-;-;-;-;-;-;-;-;-;-;-;-;2;6;8;373;3969
"354150 Presidente Venceslau";-;-;1590;-;16;5;-;-;-;-;-;4;32;16;1049;756;209;4;2;16;-;7;-;3;12;-;-;2;-;-;7;9;8;-;18;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;556;4323
"354190 Queluz";-;-;270;-;2;-;-;-;-;-;-;16;-;108;83;5;14;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;545
"354240 Regente Feijo";-;-;1507;-;-;-;-;-;-;-;-;15;-;-;-;-;90;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160;1779
"354290 Ribeirao Bonito";-;-;73;3;6;-;-;-;-;-;-;8;-;-;70;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;227
"354300 Ribeirao Branco";-;-;485;-;36;-;-;-;-;-;-;28;-;-;223;-;32;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;891
"354330 Ribeirao Pires";-;-;4398;-;25;2;52;-;-;-;-;182;-;67;75;541;77;2;1;-;-;3;-;38;-;-;-;-;-;-;1;-;26;-;36;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;577;6104
"354340 Ribeirao Preto";-;30;49572;595;2231;437;862;152;14;134;70;2011;1341;340;7341;7653;1004;224;550;620;-;27;1191;113;21;-;71;44;11;212;184;297;102;12;132;73;-;-;72;52;24;7;2;14;-;1;84;530;1553;108;6094;86212
"354380 Rinopolis";-;-;-;-;13;-;-;-;-;-;-;5;-;-;42;-;11;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;154
"354390 Rio Claro";-;7;6678;221;342;77;85;8;-;24;-;453;292;178;3780;4106;245;80;60;186;-;17;404;42;350;1;7;14;1;12;56;91;55;6;115;18;-;1;14;38;7;3;1;4;-;-;-;12;239;-;2127;20457
"354400 Rio das Pedras";-;-;1102;9;56;1;5;-;-;-;-;33;-;-;44;-;34;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175;1489
"354420 Riolandia";-;-;14;-;-;-;-;-;-;-;-;-;-;-;43;-;6;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66
"354490 Sales Oliveira";-;-;45;-;-;-;-;-;-;-;-;-;-;-;6;-;8;2;3;-;-;-;-;1;-;-;-;-;-;-;-;-;4;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72
"354500 Salesopolis";-;-;414;-;11;-;-;-;-;-;-;19;-;-;5;-;25;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;477
"354520 Salto";-;-;4666;42;241;51;123;-;-;12;-;287;179;69;853;1058;195;15;20;97;4;5;36;29;65;-;2;7;-;3;43;34;18;2;44;5;-;2;19;-;2;-;-;-;-;-;-;55;74;-;856;9213
"354530 Salto de Pirapora";-;-;82;109;21;-;-;-;-;-;-;13;-;-;201;-;59;1;4;-;-;2;-;9;3;-;1;-;-;6;61;1;72;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;87;747
"354540 Salto Grande";-;-;121;-;4;-;-;-;-;-;-;1;-;5;157;12;15;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;7;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;22;362
"354560 Santa Adelia";-;-;64;-;12;3;-;-;-;-;-;6;-;-;185;8;12;-;2;2;-;-;-;-;-;-;-;-;-;5;3;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;306
"354580 Santa Barbara d'Oeste";-;1;12204;161;955;81;86;-;-;22;-;355;255;93;3406;3140;162;-;145;136;-;7;860;39;869;1;3;6;1;4;87;68;41;-;53;27;-;3;8;-;20;-;-;-;-;-;-;59;95;-;2362;25815
"354630 Santa Cruz das Palmeiras";-;-;312;8;50;-;-;-;-;-;-;35;-;138;2996;206;46;-;-;11;3;-;-;3;1;-;-;3;-;-;10;12;6;-;15;-;-;-;-;-;-;-;-;-;-;-;-;6;7;13;206;4087
"354640 Santa Cruz do Rio Pardo";-;1;2886;150;213;52;131;-;-;-;-;200;163;-;1989;644;150;6;6;71;-;9;12;12;287;-;8;8;-;-;36;58;27;-;38;4;-;-;4;-;-;-;-;-;-;-;-;37;43;4;385;7634
"354660 Santa Fe do Sul";-;-;3146;40;63;24;68;-;-;-;-;195;138;14;48;866;483;-;23;69;-;5;5;7;11;-;-;-;-;-;48;14;9;-;8;2;-;-;-;-;3;-;-;-;-;-;-;3;26;-;873;6191
"354680 Santa Isabel";-;-;2761;24;86;28;17;-;-;-;-;104;42;42;215;356;92;5;4;43;-;1;-;11;67;-;1;-;-;-;14;10;24;-;28;1;-;-;5;-;-;-;-;-;-;-;-;16;3;-;692;4692
"354750 Santa Rita do Passa Quatro";-;-;311;-;25;-;-;-;-;-;-;24;-;-;164;-;31;1;3;8;-;4;-;1;-;-;-;-;-;-;9;6;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;1;7;-;122;725
"354760 Santa Rosa de Viterbo";-;-;259;-;10;6;-;-;-;-;-;12;-;-;668;-;43;-;3;7;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179;1190
"354730 Santana de Parnaiba";-;316;1720;-;56;-;-;-;-;-;-;237;-;-;2714;-;123;4;7;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5256
"354770 Santo Anastacio";-;-;848;12;43;24;-;-;-;-;-;20;-;4;187;20;70;8;2;-;-;4;-;3;-;-;1;-;-;-;-;1;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;239;1491
"354780 Santo Andre";-;32;49951;375;1104;286;971;107;-;63;-;1866;933;15728;32809;11639;1525;44;332;657;3;136;1475;187;156;4;29;24;8;37;315;313;192;14;148;23;6;9;29;5;31;-;-;-;-;-;-;398;703;261;5181;128109
"354790 Santo Antonio da Alegria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354850 Santos";-;517;66114;869;3080;990;1215;150;-;179;5;3611;984;19054;33907;23103;1233;367;500;1425;-;104;2194;234;1162;3;71;15;21;136;246;189;181;20;243;155;11;1;62;64;40;-;-;17;-;1;-;355;764;377;14547;178516
"354860 Sao Bento do Sapucai";-;-;280;-;7;3;-;-;-;-;-;5;-;3;97;5;19;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;108;534
"354870 Sao Bernardo do Campo";-;85;91583;252;4144;984;1099;57;1;109;61;3128;654;26192;90557;43918;2374;170;1116;980;1;74;3880;194;6506;8;48;48;2;466;420;281;372;29;184;122;4;7;58;96;54;-;-;-;-;-;-;848;1579;529;13617;296891
"354880 Sao Caetano do Sul";-;108;34872;288;1132;563;719;-;-;86;2;1227;553;18702;14684;8095;568;30;104;219;-;18;738;26;655;3;2;4;17;6;115;46;159;11;43;13;3;1;3;25;6;-;-;-;-;-;-;170;151;-;3118;87285
"354890 Sao Carlos";-;2;24411;590;1922;453;620;98;9;29;-;1371;467;307;6866;14331;577;28;149;277;-;40;933;76;16;1;31;3;-;66;195;119;75;4;65;21;3;-;31;68;-;-;-;-;-;-;-;372;387;-;4466;59479
"354910 Sao Joao da Boa Vista";-;2;9492;188;409;181;205;-;-;19;5;350;288;5109;11860;3579;202;17;22;152;-;7;330;12;37;-;10;4;-;4;34;59;41;-;74;8;1;3;4;10;6;-;-;-;-;-;-;94;82;14;1650;34564
"354970 Sao Jose do Rio Pardo";-;2;3482;39;141;83;172;-;-;10;-;125;73;2668;7213;724;215;2;31;38;-;12;221;12;4;-;-;-;-;-;32;57;8;-;48;5;-;2;-;-;4;-;-;-;-;-;-;38;78;-;1166;16705
"354980 Sao Jose do Rio Preto";-;5;22647;1087;1101;636;786;46;-;47;4;965;1580;156;3601;20048;5517;90;194;878;-;19;953;50;219;1;29;38;9;105;124;163;98;7;124;55;15;-;29;95;22;-;1;7;-;1;-;103;3059;156;3990;68860
"354990 Sao Jose dos Campos";-;378;58280;1834;2406;707;1770;35;-;138;-;3692;2330;537;34615;23684;3526;311;265;1329;31;53;1283;199;102;7;32;77;69;112;285;231;210;6;259;70;25;67;16;139;2;-;1;-;-;5;-;313;762;-;7237;147430
"355000 Sao Luis do Paraitinga";-;-;115;-;6;-;-;-;-;-;-;2;-;-;124;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;284
"355010 Sao Manuel";-;-;68;-;16;-;4;-;-;-;-;69;10;-;252;-;30;-;10;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291;779
"355020 Sao Miguel Arcanjo";-;-;1384;-;82;4;-;-;-;-;-;22;-;398;1578;416;46;4;5;-;-;1;-;-;2;-;-;-;-;-;33;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325;4312
"355030 Sao Paulo";-;3777;454570;5069;17467;6602;10686;493;25;684;87;16392;4077;66844;281752;80655;17899;1729;2662;4366;2;286;8263;2387;2741;12;275;519;424;1028;3238;3065;2989;129;1530;339;122;37;275;260;116;859;36;148;-;114;3004;17135;5181;2671;53589;1086610
"355040 Sao Pedro";-;18;2707;138;106;12;24;-;-;-;-;89;-;136;1867;447;47;2;-;32;-;-;-;15;25;-;-;1;-;44;61;20;70;-;18;-;1;-;-;-;-;-;-;-;-;-;-;-;38;30;485;6433
"355060 Sao Roque";-;-;3088;43;241;29;-;-;-;-;-;315;67;2083;2075;-;113;4;2;23;-;11;-;48;10;-;-;-;-;-;26;9;32;-;44;-;-;-;-;-;-;-;-;-;-;-;-;36;1;8;1095;9403
"355070 Sao Sebastiao";-;-;8559;70;28;41;93;-;-;6;-;105;-;82;2504;770;224;6;49;103;-;16;-;47;3;-;-;1;-;-;34;27;55;1;38;-;1;-;2;-;-;-;-;-;-;-;-;2;42;-;802;13711
"355080 Sao Sebastiao da Grama";-;-;84;2;17;-;-;-;-;-;-;2;-;-;166;-;18;1;-;2;-;2;-;-;1;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;153;461
"355090 Sao Simao";-;-;-;-;-;-;-;-;-;-;-;11;-;-;287;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172;490
"355100 Sao Vicente";-;28;9395;-;46;166;-;-;-;9;-;450;244;3136;3986;1852;494;14;8;123;-;22;52;61;936;-;-;1;-;1;59;45;18;1;109;13;6;-;2;-;1;-;-;-;-;-;-;196;160;6;3468;25108
"355160 Serra Negra";-;-;12;-;31;-;-;-;-;-;-;49;-;12;22;-;40;1;5;5;-;4;-;2;-;-;-;-;-;-;1;11;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;217;439
"355150 Serrana";-;-;133;-;5;-;-;-;-;-;-;6;-;-;1057;-;37;-;1;-;-;11;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86;1354
"355170 Sertaozinho";-;-;5983;303;936;93;100;12;-;32;3;309;467;82;1717;4577;121;-;22;148;-;19;542;36;96;-;66;-;-;14;60;261;55;-;62;16;1;8;48;-;3;-;-;2;-;-;-;124;221;1;1766;18306
"355200 Silveiras";-;-;12;-;-;-;-;-;-;-;-;2;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"355210 Socorro";-;-;2598;33;177;-;-;-;-;-;-;128;-;-;174;-;97;7;4;-;-;4;-;-;41;-;-;-;-;3;11;22;8;-;24;2;1;-;1;-;-;-;-;-;-;-;-;7;32;-;357;3731
"355220 Sorocaba";3;132;45477;534;2675;1022;645;8;-;123;-;3014;813;379;8996;7318;1159;117;182;762;154;13;1522;225;62;2;15;29;-;126;191;172;159;2;182;55;5;-;14;73;30;32;-;-;-;6;32;509;965;162;9163;87259
"355230 Sud Mennucci";-;-;12;-;-;-;-;-;-;-;-;-;-;6;35;-;9;-;1;-;-;1;-;1;-;-;-;-;-;-;13;1;2;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;94
"355250 Suzano";-;9;4587;31;324;83;17;-;-;-;-;697;84;391;3312;1739;73;-;-;53;-;3;3;129;-;-;-;-;-;-;17;61;1;-;80;2;1;-;-;-;-;-;-;-;-;-;-;100;80;-;754;12631
"355260 Tabapua";-;-;456;-;19;-;-;-;-;-;-;16;-;-;218;-;50;-;12;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;849
"355270 Tabatinga";-;-;443;5;15;-;-;-;-;-;-;-;-;-;137;-;38;-;6;-;-;-;-;1;-;-;-;-;-;-;9;-;3;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92;755
"355280 Taboao da Serra";-;845;65;-;86;-;-;-;-;-;-;300;-;63;5646;275;232;8;8;-;-;16;-;29;11;-;-;-;-;-;-;-;18;-;38;13;-;-;-;-;-;-;-;-;-;-;-;70;-;7;755;8485
"355300 Taguai";-;-;347;-;42;5;-;-;-;-;-;22;-;87;364;44;20;-;-;-;-;-;-;4;-;-;-;-;-;-;3;-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;85;1035
"355330 Tambau";-;-;452;19;17;17;-;-;-;-;-;5;-;-;1408;34;43;2;-;4;-;3;-;2;1;-;1;-;-;-;12;4;7;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;2067
"355360 Tapiratiba";-;-;-;-;5;-;-;-;-;-;-;1;-;17;97;-;12;1;3;1;-;2;-;-;-;-;-;-;-;-;6;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;226
"355370 Taquaritinga";-;-;2550;21;187;94;106;14;-;-;-;79;-;-;140;524;149;8;3;-;-;1;-;3;4;-;1;2;-;5;28;26;36;2;22;1;-;-;3;-;-;-;-;-;-;-;-;-;13;-;724;4746
"355380 Taquarituba";-;-;590;-;40;-;-;-;-;-;-;102;-;46;482;-;69;-;3;-;-;10;-;11;7;-;2;-;-;-;8;23;7;-;14;-;-;-;2;-;-;-;-;-;-;-;-;3;25;25;249;1718
"355400 Tatui";-;8;7762;102;442;72;31;8;-;4;-;103;-;178;1891;2051;372;-;7;9;-;3;-;78;2;-;1;2;-;-;89;27;29;3;92;1;-;-;4;-;-;-;-;-;-;-;-;3;36;161;1431;15002
"355410 Taubate";-;9;19998;1043;1195;362;338;-;-;83;-;426;704;256;1829;2458;651;-;158;291;-;6;968;93;1;-;15;6;-;1;34;145;73;14;144;21;-;2;12;37;16;-;-;-;-;-;-;165;102;-;2853;34509
"355430 Teodoro Sampaio";-;-;898;-;35;-;-;-;-;-;-;76;-;-;525;-;66;-;7;13;-;-;-;2;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256;1883
"355440 Terra Roxa";-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
"355450 Tiete";-;-;855;36;42;-;-;-;-;-;-;54;15;-;2569;-;109;-;-;-;-;4;-;19;-;-;-;-;-;7;3;4;8;-;36;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;238;4005
"355470 Torrinha";-;-;82;-;3;-;-;-;-;-;-;2;-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97
"355510 Tupi Paulista";-;-;900;10;38;14;-;-;-;-;-;21;62;-;5;119;64;4;3;31;-;1;-;2;-;-;-;-;-;-;7;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;305;1596
"355540 Ubatuba";-;-;4796;17;251;57;167;-;-;-;-;357;94;129;744;148;266;1;2;48;-;29;-;33;-;-;-;-;-;-;26;10;10;1;27;3;3;-;9;-;-;-;-;-;-;-;-;13;8;-;400;7649
"355580 Urania";-;-;144;-;-;-;-;-;-;-;-;-;-;-;58;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;214
"355600 Urupes";-;-;430;-;27;-;-;-;-;-;-;5;-;-;190;-;39;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167;859
"355620 Valinhos";-;-;4651;73;206;86;233;-;-;20;-;260;378;46;1009;3026;156;8;36;101;-;13;-;18;927;-;1;4;-;1;48;51;27;-;25;16;1;-;6;-;3;-;-;-;-;-;-;229;87;-;2140;13886
"355630 Valparaiso";-;-;292;11;24;-;-;-;-;-;-;12;-;18;-;42;25;1;2;-;-;-;-;-;-;-;-;-;-;-;9;-;4;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;56;512
"355640 Vargem Grande do Sul";-;1;1541;88;117;40;-;-;-;-;-;67;32;29;717;-;98;-;8;32;-;3;-;10;40;-;1;-;-;1;27;18;24;-;21;3;-;-;-;-;-;-;-;-;-;-;-;3;22;17;645;3605
"355650 Varzea Paulista";-;-;774;-;40;-;-;-;-;-;-;-;-;-;1;-;50;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;889
"355670 Vinhedo";-;3;3817;152;187;85;153;1;-;88;-;149;-;45;416;1062;100;6;23;-;-;1;80;11;79;2;2;-;-;7;58;34;74;3;34;3;4;-;9;-;3;-;-;-;-;-;-;2;42;8;449;7192
"355680 Viradouro";-;-;256;-;6;2;-;-;-;-;-;1;-;-;620;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;67;989
"355700 Votorantim";-;-;4695;61;109;53;-;-;-;-;-;181;-;93;2503;781;187;5;32;71;-;1;-;50;3;-;-;1;52;19;85;11;41;2;44;1;-;1;-;-;-;-;-;-;-;-;-;4;30;-;977;10093
"350000 Sao Paulo - Gestao estadual";34;4319;2112411;27988;78878;23752;38087;3026;309;4461;953;60480;29925;94426;574728;427155;156415;8186;12205;27894;137;1692;62110;4909;26179;206;1974;2853;3731;5493;11248;9678;6904;575;4765;2203;716;257;1102;3413;534;2006;80;509;9;333;6270;43893;33624;1479;291010;4215524
"Total";332;19725;4159432;54835;168908;50234;78544;4938;360;7892;1395;152701;59817;389004;1616970;906839;252312;13358;24219;51789;349;3946;110717;13758;59774;273;3336;4340;4972;9384;23830;22147;16913;1048;15037;4432;1139;490;2543;5018;1225;2949;143;791;9;468;9395;72690;65254;8272;615004;9093250
 Fonte: Ministerio da Saude - Sistema de Informacoes Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos ultimos seis meses, sujeitos a atualizacao.
 
