municipio;tipo;estadual;federal;municipal;particular;total
AMERICO DE CAMPOS;vigilancia;0;0;1;0;1
AMPARO;clinica;1;0;6;18;25
AMPARO;consultorio;0;0;0;223;223
AMPARO;diagnose_terapia;0;0;1;37;38
AMPARO;hospital;0;0;0;3;3
AMPARO;outros;0;0;5;6;11
AMPARO;pronto_atendimento;0;0;1;1;2
AMPARO;ubs;0;0;16;0;16
AMPARO;saude_mental;0;0;2;0;2
AMPARO;unidade_movel;0;0;1;1;2
AMPARO;vigilancia;0;0;1;0;1
ANALANDIA;consultorio;0;0;0;3;3
ANALANDIA;diagnose_terapia;0;0;0;1;1
ANALANDIA;outros;0;0;2;0;2
ANALANDIA;ubs;0;0;2;0;2
ANDRADINA;clinica;1;0;6;11;18
ANDRADINA;consultorio;0;0;0;258;258
ANDRADINA;diagnose_terapia;0;0;1;10;11
ANDRADINA;hospital;0;0;0;2;2
ANDRADINA;outros;0;0;4;7;11
ANDRADINA;pronto_atendimento;0;0;1;1;2
ANDRADINA;ubs;1;0;6;0;7
ANDRADINA;saude_mental;0;0;2;0;2
ANDRADINA;unidade_movel;0;0;0;22;22
ANDRADINA;vigilancia;0;0;2;0;2
APIAI;clinica;0;0;5;0;5
APIAI;consultorio;0;0;0;26;26
APIAI;diagnose_terapia;0;0;1;3;4
APIAI;hospital;0;0;0;1;1
APIAI;outros;0;0;3;0;3
APIAI;ubs;0;0;9;0;9
APIAI;saude_mental;0;0;1;0;1
APIAI;unidade_movel;0;0;1;0;1
ARACARIGUAMA;clinica;0;0;2;2;4
ARACARIGUAMA;consultorio;0;0;0;11;11
ARACARIGUAMA;diagnose_terapia;0;0;0;2;2
ARACARIGUAMA;outros;0;0;2;0;2
ARACARIGUAMA;pronto_atendimento;0;0;1;0;1
ARACARIGUAMA;ubs;0;0;3;0;3
ARACARIGUAMA;saude_mental;0;0;1;0;1
ARACARIGUAMA;unidade_movel;0;0;1;1;2
ARACATUBA;clinica;5;0;7;52;64
ARACATUBA;consultorio;3;0;5;489;497
ARACATUBA;diagnose_terapia;1;0;1;33;35
ARACATUBA;hospital;0;0;0;4;4
ARACATUBA;outros;4;0;3;24;31
ARACATUBA;pronto_atendimento;0;0;1;1;2
ARACATUBA;ubs;1;0;20;0;21
ARACATUBA;saude_mental;0;0;3;0;3
ARACATUBA;unidade_movel;1;0;3;2;6
ARACATUBA;vigilancia;1;0;2;0;3
ARACOIABA DA SERRA;clinica;0;0;2;5;7
ARACOIABA DA SERRA;consultorio;0;0;0;9;9
ARACOIABA DA SERRA;diagnose_terapia;0;0;0;2;2
ARACOIABA DA SERRA;hospital;0;0;0;8;8
ARACOIABA DA SERRA;outros;0;0;3;2;5
ARACOIABA DA SERRA;pronto_atendimento;0;0;1;0;1
ARACOIABA DA SERRA;ubs;0;0;8;0;8
ARACOIABA DA SERRA;saude_mental;0;0;1;0;1
ARAMINA;consultorio;0;0;3;3;6
ARAMINA;diagnose_terapia;0;0;1;0;1
ARAMINA;outros;0;0;2;1;3
ARAMINA;ubs;0;0;5;0;5
ARAMINA;vigilancia;0;0;1;0;1
ARANDU;consultorio;0;0;0;2;2
ARANDU;hospital;0;0;1;0;1
ARANDU;outros;0;0;1;0;1
ARANDU;ubs;0;0;1;0;1
ARAPEI;outros;0;0;1;0;1
ARAPEI;ubs;0;0;2;0;2
ARARAQUARA;clinica;1;0;12;83;96
ARARAQUARA;consultorio;1;0;3;721;725
ARARAQUARA;diagnose_terapia;1;0;3;24;28
ARARAQUARA;hospital;0;0;2;7;9
ARARAQUARA;outros;4;0;10;14;28
ARARAQUARA;pronto_atendimento;0;0;3;1;4
ARARAQUARA;ubs;4;0;37;0;41
ARARAQUARA;saude_mental;0;0;2;0;2
ARARAQUARA;unidade_movel;1;0;12;3;16
ARARAQUARA;vigilancia;0;0;3;0;3
ARARAS;clinica;0;0;3;32;35
ARARAS;consultorio;0;0;0;258;258
ARARAS;diagnose_terapia;0;0;0;14;14
ARARAS;hospital;0;0;0;4;4
ARARAS;outros;0;0;3;8;11
ARARAS;pronto_atendimento;0;0;1;0;1
ARARAS;ubs;0;0;26;0;26
ARARAS;saude_mental;0;0;3;0;3
ARARAS;unidade_movel;0;0;5;0;5
