municipio;quantidade
"353740 PEREIRA BARRETO";1
"353760 PERUIBE";1
"353780 PIEDADE";1
"353790 PILAR DO SUL";1
"353800 PINDAMONHANGABA";2
"353860 PIRACAIA";1
"353870 PIRACICABA";4
"353880 PIRAJU";1
"353890 PIRAJUI";2
"353900 PIRANGI";1
"353930 PIRASSUNUNGA";3
"353940 PIRATININGA";1
"353950 PITANGUEIRAS";1
"354000 POMPEIA";1
"354020 PONTAL";1
"354040 POPULINA";1
"354060 PORTO FELIZ";1
"354070 PORTO FERREIRA";1
"354080 POTIRENDABA";1
"354100 PRAIA GRANDE";2
"354120 PRESIDENTE BERNARDES";1
"354130 PRESIDENTE EPITACIO";1
"354140 PRESIDENTE PRUDENTE";9
"354150 PRESIDENTE VENCESLAU";1
"354160 PROMISSAO";1
"354190 QUELUZ";1
"354220 RANCHARIA";1
"354240 REGENTE FEIJO";1
"354260 REGISTRO";3
"354290 RIBEIRAO BONITO";1
"354300 RIBEIRAO BRANCO";1
"354330 RIBEIRAO PIRES";2
"354340 RIBEIRAO PRETO";21
"354380 RINOPOLIS";1
"354390 RIO CLARO";5
"354400 RIO DAS PEDRAS";2
"354420 RIOLANDIA";1
"354425 ROSANA";1
"354430 ROSEIRA";1
"354490 SALES OLIVEIRA";1
"354500 SALESOPOLIS";1
"354520 SALTO";1
"354530 SALTO DE PIRAPORA";2
"354540 SALTO GRANDE";1
"354560 SANTA ADELIA";1
"354580 SANTA BARBARA D'OESTE";2
"354630 SANTA CRUZ DAS PALMEIRAS";1
"354640 SANTA CRUZ DO RIO PARDO";1
"354660 SANTA FE DO SUL";1
"354680 SANTA ISABEL";1
"354730 SANTANA DE PARNAIBA";2
"354750 SANTA RITA DO PASSA QUATRO";2
"354760 SANTA ROSA DE VITERBO";1
"354770 SANTO ANASTACIO";1
"354780 SANTO ANDRE";11
"354790 SANTO ANTONIO DA ALEGRIA";1
"354850 SANTOS";15
"354860 SAO BENTO DO SAPUCAI";1
"354870 SAO BERNARDO DO CAMPO";19
"354880 SAO CAETANO DO SUL";6
"354890 SAO CARLOS";5
"354910 SAO JOAO DA BOA VISTA";2
"354940 SAO JOAQUIM DA BARRA";1
"354970 SAO JOSE DO RIO PARDO";2
"354980 SAO JOSE DO RIO PRETO";17
"354990 SAO JOSE DOS CAMPOS";22
"355000 SAO LUIS DO PARAITINGA";1
"355010 SAO MANUEL";1
"355020 SAO MIGUEL ARCANJO";1
"355030 SAO PAULO";209
"355040 SAO PEDRO";1
"355060 SAO ROQUE";3
"355070 SAO SEBASTIAO";1
"355080 SAO SEBASTIAO DA GRAMA";1
"355090 SAO SIMAO";1
"355100 SAO VICENTE";4
"355150 SERRANA";2
"355160 SERRA NEGRA";1
"355170 SERTAOZINHO";2
"355210 SOCORRO";1
"355220 SOROCABA";11
"355230 SUD MENNUCCI";1
"355240 SUMARE";1
"355250 SUZANO";3
"355260 TABAPUA";1
"355270 TABATINGA";1
"355280 TABOAO DA SERRA";4
"355300 TAGUAI";1
"355330 TAMBAU";1
"355340 TANABI";1
"355360 TAPIRATIBA";1
"355370 TAQUARITINGA";1
"355380 TAQUARITUBA";1
"355400 TATUI";2
"355410 TAUBATE";4
"355430 TEODORO SAMPAIO";1
"355440 TERRA ROXA";1
"355450 TIETE";1
"355470 TORRINHA";1
"355480 TREMEMBE";1
"355500 TUPA";2
"355510 TUPI PAULISTA";1
"355540 UBATUBA";1
"355580 URANIA";1
"355600 URUPES";1
"355620 VALINHOS";2
"355630 VALPARAISO";1
"355640 VARGEM GRANDE DO SUL";1
"355650 VARZEA PAULISTA";1
"355670 VINHEDO";1
"355680 VIRADOURO";1
"355700 VOTORANTIM";2
"355710 VOTUPORANGA";2
"355720 CHAVANTES";1
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
