nome;tipo;n_features;notas;mae;rmse;r2
Random Forest Regressor;RandomForestRegressor;;Modelo de regressão RandomForest fine-tuned com hiperparâmetros específicos e seletos. Resultado final após diversos testes e fits serem decentes.;0.08795912157287157;0.1102992130475217;0.7031803996963466
Gradient Boosting Regressor;GradientBoostingRegressor;;Modelo de regressão GradientBoosting feito a partir de um fine-tuning bastante seleto com cada campo, em comparação com milhares de outros hiperparâmetros. Resultado final após diversos testes e fits com ele se demonstrarem satisfatórios.;0.062150665634299634;0.08422269589822576;0.8269362836074972
Extra Trees Regressor;ExtraTreesRegressor;;Modelo de regressão ExtraTrees feito com base em um fine-tuning próprio e customizado, obtendo resultados bons mas não tão satisfatórios.;0.09362764995879329;0.11755653767951951;0.6628359038915783
Hist Gradient Boosting Regressor;HistGradientBoostingRegressor;;Modelo de regressão HistGradientBoosting mais robusto de modo geral tanto para os testes como predição de dados desconhecidos, alcançado resultados satisfatórios mas ainda não ideais.;0.06195948736179753;0.0829800569623728;0.8320054451213548
