municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
DUARTINA;-22,4146;-49,4084;0;0;0;1;0;0;0;1;36;0;1;0;3897;1182;4290;2639;0;101;25558;529;68;433;69;0;2;13;183;12421;72959769.66;0.755
DUMONT;-21,2324;-47,9756;0;0;0;0;0;0;0;0;1;0;1;0;2852;3211;671;2633;0;0;1177;0;0;0;0;0;0;0;0;10174;56368459.63;0.248
ECHAPORA;-22,4326;-50,2038;0;0;0;0;0;0;0;0;1;1;0;0;1526;1194;2156;996;0;0;3244;0;0;0;0;0;0;0;0;6026;39482163.14;0.54
ELDORADO;-24,5281;-48,1141;0;0;0;0;0;0;1;0;1;1;0;630;1606;788;5190;2695;0;0;3689;0;0;0;0;0;0;0;0;15592;83890657.4;0.34
ELIAS FAUSTO;-23,0428;-47,3682;0;0;0;0;0;0;1;2;5;1;0;0;3127;3037;644;10654;0;0;15804;0;0;0;0;0;0;0;0;18095;111739224.36;0.592
ELISIARIO;-21,1678;-49,1146;0;0;0;0;0;0;0;0;1;0;1;0;432;572;1605;529;0;150;24;0;0;0;0;0;0;0;0;3742;28137417.15;0.26
EMBAUBA;-20,9796;-48,8325;0;0;0;0;0;0;0;0;1;0;0;0;461;0;1862;0;0;24;5321;0;0;0;0;0;0;0;0;2446;27190092.95;0.664
EMBU DAS ARTES;-23,6437;-46,8579;0;0;2;1;0;0;7;7;139;1;4;2054;53604;16701;50693;71003;52590;347;150210;38;0;38;220;20;29;47;204;279264;1181330078.02;0.439
EMBU-GUACU;-23,8297;-46,8136;0;0;0;0;0;0;4;8;10;1;3;2657;16697;8027;16720;20238;819;305;39533;0;0;0;137;0;0;0;0;70402;239596086.37;0.481
EMILIANOPOLIS;-21,8314;-51,4832;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1577;1212;0;34;125;0;0;0;0;0;0;0;0;3238;29529843.13;0.235
ENGENHEIRO COELHO;-22,4836;-47,211;0;0;0;0;0;0;1;4;32;1;0;933;3302;3319;676;10517;0;0;14751;0;0;0;0;0;0;0;0;21712;107959192.68;0.641
ESPIRITO SANTO DO PINHAL;-22,1909;-46,7477;0;0;0;3;0;0;1;26;134;0;1;0;24166;1436;12109;1824;0;376;32726;5742;135;25;98;4;20;1;845;44607;189433446.8;0.793
ESPIRITO SANTO DO TURVO;-22,6925;-49,4341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1202;2858;0;70;7925;0;0;0;0;0;0;0;0;4926;37229170.69;0.563
ESTRELA D'OESTE;-20,2875;-50,4049;0;0;0;0;0;0;0;0;0;0;0;0;6393;0;1035;1790;0;53;4580;216;4;6;29;0;3;0;66;8420;79988495.78;0.575
ESTRELA DO NORTE;-22,4859;-51,6632;0;0;0;0;0;0;0;0;0;0;0;0;271;164;1768;319;0;23;0;0;0;0;0;0;0;0;0;2774;31298528.06;0.24
EUCLIDES DA CUNHA PAULISTA;-22,5545;-52,5928;0;0;0;0;0;0;1;1;6;0;0;0;0;0;4676;3243;0;30;12048;0;0;0;0;0;0;0;0;9280;52993916.69;0.603
FARTURA;-23,3916;-49,5124;0;0;0;1;0;0;0;3;22;0;1;0;6296;1201;3930;4599;0;174;4446;414;52;21;38;15;8;0;204;16102;93826150.93;0.446
FERNANDOPOLIS;-20,2806;-50,2471;0;0;0;3;2;0;5;166;276;1;4;1786;40242;7000;13595;8086;0;426;27208;0;0;0;0;0;0;0;0;69680;381894416.77;0.664
FERNANDO PRESTES;-21,2661;-48,6874;0;0;0;0;0;0;1;0;3;0;0;0;2834;0;2857;0;0;52;310;0;0;0;0;0;0;0;0;5805;46561133.42;0.315
FERNAO;-22,3607;-49,5187;0;0;0;0;0;0;0;0;0;0;0;0;337;0;848;470;0;0;0;0;0;0;0;0;0;0;0;1739;31349123.22;0.255
FERRAZ DE VASCONCELOS;-23,5411;-46,371;1;0;0;0;0;0;8;5;26;0;4;0;48891;18097;42686;37628;29794;1885;20400;0;0;0;0;0;0;0;0;198661;627961167.01;0.19
FLORA RICA;-21,6727;-51,3821;0;0;0;0;0;0;1;0;0;0;0;0;139;0;1216;0;0;36;1910;0;0;0;0;0;0;0;0;1397;25421633.06;0.794
FLOREAL;-20,6752;-50,1513;0;0;0;0;0;0;0;0;1;0;0;0;1510;0;1208;0;0;55;85;0;0;0;0;0;0;0;0;2884;35229454.68;0.321
FLORIDA PAULISTA;-21,6127;-51,1724;0;0;0;1;0;0;0;0;6;0;0;0;4252;0;4732;1927;0;0;7452;0;0;0;0;0;0;0;0;14936;61562231.85;0.479
FLORINEA;-22,868;-50,6814;0;0;0;0;0;0;1;0;0;0;0;0;494;0;1534;492;0;0;0;0;0;0;0;0;0;0;0;2631;41017952.74;0.329
FRANCA;-20,5352;-47,4039;0;0;0;4;1;0;7;68;350;4;7;11015;185614;74339;38205;40100;0;4;338221;0;0;0;2875;0;0;0;0;358539;1186686999.48;0.628
FRANCISCO MORATO;-23,2792;-46,7448;1;0;0;1;0;0;2;6;46;1;1;520;12511;11680;24604;92055;22498;51;91264;8148;297;189;209;54;45;66;947;179372;585008620.92;0.391
FRANCO DA ROCHA;-23,3229;-46,729;2;0;0;1;1;0;6;9;57;1;0;1035;33747;27822;13726;47694;14236;777;94414;0;0;0;0;0;0;0;0;158438;669251818.11;0.496
GABRIEL MONTEIRO;-21,5294;-50,5573;0;0;0;0;0;0;1;0;0;0;0;0;622;0;1362;617;0;22;0;0;0;0;0;0;0;0;0;2776;31514413.98;0.306
GALIA;-22,2918;-49,5504;0;0;0;1;0;0;0;0;5;0;0;0;1713;0;2957;1391;0;0;7925;33;4;0;6;0;0;0;1;6419;42840056.8;0.645
GARCA;-22,2125;-49,6546;0;0;0;3;0;0;4;4;45;1;1;318;19251;4889;9927;6814;0;84;57890;3872;237;96;93;11;33;112;655;44429;254215138.07;0.677
GASTAO VIDIGAL;-20,7948;-50,1912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2574;517;0;44;47;0;0;0;0;0;0;0;0;4911;34174558.3;0.205
GAVIAO PEIXOTO;-21,8367;-48,4957;0;0;0;0;0;0;0;0;1;1;0;0;801;0;1333;2529;0;71;4866;0;0;0;0;0;0;0;0;4841;92188654.58;0.701
GENERAL SALGADO;-20,6485;-50,364;0;0;0;1;0;0;1;2;8;1;0;0;5875;105;4048;165;0;55;3796;231;38;0;25;0;0;0;41;10855;73628950.64;0.545
GETULINA;-21,7961;-49,9312;0;0;0;1;0;0;0;0;11;0;0;0;2328;170;3506;2673;0;33;18395;252;8;196;8;0;0;0;0;11485;64527662.73;0.635
GLICERIO;-21,3812;-50,2123;0;0;0;0;0;0;0;0;0;0;0;0;1600;0;1461;928;0;613;5841;0;0;0;0;0;0;0;0;4842;42870251.26;0.625
GUAICARA;-21,6195;-49,8013;0;0;0;0;0;0;1;0;7;0;0;0;2170;778;3122;4873;0;44;10014;0;0;0;0;0;0;0;0;12416;62987061.56;0.578
GUAIMBE;-21,9091;-49,8986;0;0;0;0;0;0;0;0;0;1;0;0;244;0;2326;2877;0;33;1656;0;0;0;0;0;0;0;0;5806;45048919.46;0.361
GUAIRA;-20,3196;-48,312;0;0;0;1;0;0;2;10;68;0;1;0;20948;5945;4336;7555;0;174;52446;2255;49;13;44;0;18;2;385;41283;321541945.29;0.748
GUAPIACU;-20,7959;-49,2172;0;0;0;0;0;0;0;2;7;1;0;396;6917;2950;4644;6479;0;160;29977;0;0;0;0;0;0;0;0;22087;131136945.26;0.599
GUAPIARA;-24,1892;-48,5295;0;0;1;0;0;0;1;1;1;0;1;0;985;501;9493;5912;0;3886;1728;219;13;19;35;10;9;1;81;16896;89109601.0;0.303
GUARA;-20,4302;-47,8236;0;0;0;1;0;0;2;2;41;1;0;0;5679;622;6076;5902;0;39;15110;292;14;0;29;0;11;1;36;21394;116371599.99;0.708
GUARACAI;-21,0292;-51,2119;0;0;0;1;0;0;0;1;6;0;0;0;3691;0;2597;806;0;2435;8856;0;0;0;31;0;0;0;23;8258;53315384.26;0.67
GUARACI;-20,4977;-48,9391;0;0;0;0;0;0;1;0;7;1;1;0;3633;134;2294;3892;0;7;12048;0;0;0;0;0;0;0;0;11382;105227554.45;0.7
GUARANI D'OESTE;-20,0746;-50,3411;0;0;0;0;0;0;0;0;0;0;0;0;471;0;1241;0;0;18;587;0;0;0;0;0;0;0;0;1996;26517488.22;0.454
GUARANTA;-21,8942;-49,5914;0;0;0;0;0;0;0;0;0;1;0;0;1203;0;1897;2904;0;32;3289;0;0;0;0;0;0;0;0;6685;45554291.56;0.476
GUARARAPES;-21,2544;-50,6453;0;0;0;1;0;0;0;4;58;0;0;0;14004;435;10743;5081;0;113;31324;456;52;11;50;10;1;2;228;33257;171178224.25;0.672
GUARAREMA;-23,4112;-46,0369;0;0;0;1;0;0;1;4;7;0;1;972;12901;838;11639;4182;0;190;23117;1311;26;1044;31;3;21;0;114;30465;342635309.24;0.692
GUARATINGUETA;-22,8075;-45,1938;0;1;0;5;0;0;4;37;308;1;5;5072;75600;7096;11346;15248;732;288;18841;12206;408;2122;227;23;65;12;1823;123192;517877631.25;0.477
GUAREI;-23,3714;-48,1837;0;0;0;0;0;0;0;0;1;1;1;0;3273;665;2891;5353;0;16;16904;0;0;0;0;0;0;0;0;19244;80368851.94;0.558
GUARIBA;-21,3594;-48,2316;0;0;0;1;0;0;4;10;33;0;1;0;15114;2360;5983;13246;0;353;27151;950;89;1139;56;12;18;1;299;40857;186905094.36;0.628
GUARUJA;-23,9888;-46,258;1;0;1;5;0;0;11;72;235;7;14;6654;106676;29605;18643;15382;105123;18;266005;28488;1112;236;364;95;108;820;3289;324977;2181142690.8;0.649
GUARULHOS;-23,4538;-46,5333;2;0;3;13;3;0;18;305;412;10;25;60089;471657;156157;121205;255335;213993;20512;467320;41795;1076;930;1348;347;265;125;6558;1404694;6192621072.57;0.379
GUATAPARA;-21,4944;-48,0356;0;0;0;0;0;0;1;0;1;1;1;0;2035;0;1964;3180;0;7;0;0;0;0;0;0;0;0;0;7760;55090888.3;0.249
GUZOLANDIA;-20,6467;-50,6645;0;0;0;0;0;0;0;0;0;0;0;0;699;0;1166;2088;0;42;5798;0;0;0;0;0;0;0;0;5346;34744577.33;0.571
HERCULANDIA;-22,0038;-50,3907;0;0;0;1;0;0;1;0;5;1;0;0;3132;475;1752;3319;0;0;0;0;0;0;0;0;0;0;0;9649;55988653.2;0.252
HOLAMBRA;-22,6405;-47,0487;0;0;0;0;0;0;1;3;27;0;0;2305;6199;1038;1632;3737;0;95;14302;0;0;0;0;0;0;0;0;15605;141468595.12;0.762
HORTOLANDIA;-22,8529;-47,2143;0;0;1;1;0;0;7;50;109;3;11;7634;101001;50871;29071;38637;4072;155;167669;10175;275;177;160;82;97;0;408;237570;1473980308.95;0.646
IACANGA;-21,8896;-49,031;0;0;0;1;0;0;0;2;9;0;1;0;5451;1122;1815;1826;0;103;3661;137;0;0;0;0;7;0;0;12002;81485255.13;0.48
IACRI;-21,8572;-50,6932;0;0;0;0;0;0;0;0;0;1;0;0;1339;176;2712;1413;0;0;8267;0;0;0;0;0;0;0;0;6269;40986258.2;0.61
IARAS;-22,8682;-49,1634;0;0;0;0;0;0;0;0;0;0;0;0;570;800;1112;2499;0;0;753;0;0;0;0;0;0;0;0;9786;49029807.2;0.214
IBATE;-21,9584;-47,9882;0;0;1;0;0;0;1;3;36;0;0;0;7891;3686;8577;11646;0;0;26038;252;15;45;25;4;20;3;121;35830;158908121.27;0.602
IBIRA;-21,083;-49,2448;0;0;0;1;0;0;1;0;10;0;1;0;5497;882;2127;2807;0;69;5599;184;26;0;32;0;0;0;131;12639;67876149.68;0.522
IBIRAREMA;-22,8185;-50,0739;0;0;0;0;0;0;0;0;0;0;0;342;2246;0;1429;1912;268;90;18529;0;0;0;0;0;0;0;0;7926;49138465.09;0.58
IBITINGA;-21,7562;-48,8319;0;0;0;2;0;0;3;15;129;2;1;275;22920;5824;11525;18727;0;396;46137;3594;254;35;396;10;28;7;789;61150;271812624.47;0.693
IBIUNA;-23,6596;-47,223;0;0;1;2;0;0;3;8;19;0;1;951;15013;3808;28591;22241;1251;0;164383;0;0;0;131;20;47;0;0;80062;329202884.37;0.551
ICEM;-20,3391;-49,1915;0;0;0;0;0;0;0;5;6;0;1;0;2457;0;2250;2044;0;19;6141;0;0;0;0;0;0;0;0;8363;75672044.05;0.734
IEPE;-22,6602;-51,0779;0;0;1;0;0;0;1;1;6;0;0;0;2239;1266;441;3046;0;83;6057;530;11;27;45;0;4;10;204;8228;65333681.35;0.723
IGARACU DO TIETE;-22,509;-48,5597;0;0;0;0;0;0;2;1;9;1;0;0;5584;2665;10810;3733;0;47;8942;0;0;0;0;0;0;0;0;24821;106571678.98;0.384
IGARAPAVA;-20,0407;-47,7466;0;0;1;0;0;0;3;5;51;0;0;0;10952;323;8054;6746;0;183;25897;622;55;221;166;1;12;3;378;30791;179784584.27;0.71
IGARATA;-23,2037;-46,157;0;0;0;0;0;0;0;1;1;0;1;0;3698;1094;3718;1528;0;56;5516;0;0;0;0;0;0;0;0;9631;78608138.44;0.566
IGUAPE;-24,699;-47,5537;0;0;0;0;0;0;2;5;8;1;0;0;10293;0;15149;1723;0;63;11298;0;0;0;0;0;0;0;0;31117;190427652.34;0.449
ILHABELA;-23,7785;-45,3552;0;0;1;0;0;0;4;4;8;0;2;429;15082;8454;319;2482;6829;388;39338;188;1;0;292;35;72;6;1665;36194;1226191375.82;0.734
ILHA COMPRIDA;-24,7307;-47,5383;0;0;0;0;0;0;0;1;1;1;0;0;7747;512;3732;941;0;229;13732;0;0;0;0;0;0;0;0;11552;145104590.03;0.705
ILHA SOLTEIRA;-20,4326;-51,3426;0;0;0;1;0;0;4;16;94;0;0;1695;17187;2542;2817;1077;0;56;21010;0;0;0;0;0;0;0;0;26886;234624967.18;0.901
INDAIATUBA;-23,0816;-47,2101;0;0;1;5;0;0;7;69;273;2;4;45853;132729;41337;14866;19041;0;4457;162243;24459;1053;142;2377;87;71;105;2120;260690;2044078766.81;0.735
INDIANA;-22,1738;-51,2555;0;0;0;0;0;0;1;0;3;0;0;0;2401;175;2350;151;0;22;0;0;0;0;0;0;0;0;0;4873;30201679.8;0.254
INDIAPORA;-19,979;-50,2909;0;0;0;1;0;0;0;1;2;0;0;0;1182;0;2335;452;0;20;2061;71;8;0;14;0;0;0;38;3876;39699413.85;0.642
INUBIA PAULISTA;-21,7695;-50,9633;0;0;0;0;0;0;0;0;0;0;0;0;107;0;3303;0;0;0;3202;0;0;0;0;0;0;0;0;4045;28897317.36;0.585
IPAUSSU;-23,0575;-49,6279;0;0;0;1;0;0;0;1;7;0;1;0;5284;706;4720;2660;0;0;8013;266;22;366;34;6;4;0;105;15165;95283179.1;0.558
IPERO;-23,3513;-47,6927;0;0;0;0;0;0;1;1;14;2;1;0;13412;3070;2039;14671;0;126;25241;0;0;0;0;0;0;0;0;38771;161563227.31;0.549
IPEUNA;-22,4355;-47,7151;0;0;0;0;0;0;1;0;0;0;1;0;2135;1445;1200;1992;0;0;4475;0;0;0;0;0;0;0;0;7824;53642413.15;0.566
IPIGUA;-20,6557;-49,3842;0;0;0;0;0;0;1;0;0;0;0;0;2283;0;3372;894;0;50;0;0;0;0;0;0;0;0;0;5557;39686427.5;0.207
IPORANGA;-24,5847;-48,5971;0;0;0;0;0;0;0;0;0;1;1;0;969;0;1529;258;0;0;741;0;0;0;0;0;0;0;0;4180;40050682.68;0.446
IPUA;-20,4438;-48,0129;0;0;0;1;0;0;1;0;51;1;0;0;6815;0;4336;2929;0;0;5706;84;9;405;33;0;3;4;75;16794;101936054.09;0.601
IRACEMAPOLIS;-22,5832;-47,523;0;0;0;0;0;0;2;3;12;1;0;376;14025;3724;2012;1625;0;0;15267;0;0;0;0;0;0;0;0;24982;141433360.31;0.643
IRAPUA;-21,2768;-49,4164;0;0;0;0;0;0;0;0;4;0;1;0;1476;0;3784;1574;0;34;17252;0;0;0;0;0;0;0;0;8101;43164475.9;0.591
IRAPURU;-21,5684;-51,3472;0;0;0;0;0;0;0;0;1;1;0;0;1591;0;3545;451;0;31;6101;0;0;0;0;0;0;0;0;8356;36928788.38;0.587
ITABERA;-23,8638;-49,14;0;0;1;0;0;0;2;2;2;0;0;0;2215;2879;3456;7810;0;22;19960;507;42;619;40;1;14;0;95;17405;113425831.63;0.615
ITAI;-23,4213;-49,092;0;0;0;1;0;0;2;2;3;0;1;152;6514;2355;2901;11706;0;0;9078;356;0;0;19;0;0;0;3;27632;191169562.85;0.408
ITAJOBI;-21,3123;-49,0629;0;0;0;1;0;0;1;3;15;1;0;0;6163;3950;3716;2906;0;200;28019;205;11;0;20;0;0;0;108;15331;119584249.37;0.712
ITAJU;-21,9857;-48,8116;0;0;0;0;0;0;0;0;0;0;0;0;1067;467;684;1267;0;17;7301;0;0;0;0;0;0;0;0;3937;35780706.34;0.617
ITANHAEM;-24,1736;-46,788;0;0;1;2;0;0;7;17;34;1;7;570;49902;6016;26356;27518;554;122;86829;0;0;0;0;0;0;0;0;104351;639427019.89;0.628
ITAOCA;-24,6393;-48,8413;0;0;0;0;0;0;0;0;0;0;1;0;0;412;2144;660;0;7;98;0;0;0;0;0;0;0;0;3332;1361518.11;0.149
ITAPECERICA DA SERRA;-23,7161;-46,8572;0;0;1;3;0;0;2;21;36;2;2;1409;37264;15758;44986;42332;13642;181;116082;262;0;0;23;74;25;0;204;179574;688092231.32;0.519
ITAPETININGA;-23,5886;-48,0483;0;0;0;2;0;0;1;11;360;0;10;3337;74740;26621;20523;28017;0;806;46457;16740;744;172;313;72;64;645;2628;167106;759251314.59;0.496
ITAPEVA;-23,9788;-48,8764;0;0;1;2;0;0;1;5;257;1;2;1626;29076;9894;19321;27923;0;515;73037;13220;956;167;440;102;54;5;3250;95241;536284840.44;0.729
ITAPEVI;-23,5488;-46,9327;0;0;1;2;0;0;1;6;58;6;8;2863;46859;36206;26267;105351;13820;328;127240;0;0;0;0;0;0;0;0;244131;1208954426.81;0.44
ITAPIRA;-22,4357;-46,8224;0;0;1;3;0;0;6;12;125;0;2;1058;43295;4439;13429;8457;0;0;60164;8122;153;4102;166;6;27;356;1401;75683;487708229.45;0.737
ITAPIRAPUA PAULISTA;-24,572;-49,1661;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1342;2963;0;44;1066;0;0;0;0;0;0;0;0;4294;34848198.39;0.351
ITAPOLIS;-21,5942;-48,8149;0;0;0;1;0;0;3;9;81;0;1;0;19478;2844;8680;7534;0;352;38214;2264;104;1440;156;4;19;0;597;43536;214951404.86;0.701
ITAPORANGA;-23,7043;-49,4819;0;0;0;1;0;0;2;2;6;0;1;0;3753;710;5487;3825;0;55;5667;581;54;281;68;6;12;0;140;15197;75887846.66;0.452
ITAPUI;-22,2324;-48,7197;0;0;1;0;0;0;1;1;2;1;1;0;3797;0;3907;5401;0;539;324456;211;45;461;18;0;0;0;0;14297;88466295.58;0.636
ITAPURA;-20,6419;-51,5063;0;0;0;0;0;0;0;0;0;0;0;0;0;879;1133;1851;0;77;198;0;0;0;0;0;0;0;0;4994;46528402.54;0.24
ITAQUAQUECETUBA;-23,4835;-46,3457;0;0;1;0;0;0;4;18;50;5;7;297;83949;34428;73998;83599;90935;279;267965;0;0;0;0;0;0;0;0;379082;1207081838.37;0.493
ITARARE;-24,1085;-49,3352;0;0;0;1;0;0;4;5;55;0;1;220;15966;4440;9164;13253;0;0;12833;1158;98;5378;133;10;25;1023;649;50778;205152935.89;0.397
ITARIRI;-24,2834;-47,1736;0;0;0;0;0;0;0;0;1;1;0;0;3762;739;5486;4990;0;0;0;0;0;0;0;0;0;0;0;17754;79133687.38;0.143
ITATIBA;-23,0035;-46,8464;0;0;0;3;0;0;7;42;137;2;2;9646;60878;20692;4867;23768;0;591;91814;4852;217;91;126;47;46;87;776;124254;677626910.44;0.691
ITATINGA;-23,1047;-48,6157;0;0;0;1;0;0;0;0;16;0;0;0;5791;1546;4374;5413;0;62;4053;250;20;0;8;0;0;0;0;21139;112308675.94;0.329
ITIRAPINA;-22,2562;-47,8166;0;0;1;0;0;0;1;0;17;0;1;0;7051;2028;691;2180;708;9;26404;158;6;80;10;0;0;0;28;18610;134859655.96;0.71
ITIRAPUA;-20,6416;-47,2194;0;0;0;0;0;0;2;0;0;0;0;0;803;0;3592;1361;0;29;0;0;0;0;0;0;0;0;0;6587;32641764.02;0.191
ITOBI;-21,7309;-46,9743;0;0;0;0;0;0;0;1;2;0;0;0;3016;392;1432;3025;0;0;8266;0;0;0;0;0;0;0;0;7862;34895786.92;0.544
ITU;-23,2544;-47,2927;0;0;1;2;0;0;1;16;214;3;2;10112;83082;23072;18494;28130;3226;988;97563;11497;1058;7175;314;82;91;238;2858;177150;1209104445.11;0.659
ITUPEVA;-23,1526;-47,0593;0;0;1;1;0;0;6;15;41;0;1;7465;21783;17034;2131;21100;0;377;75331;1563;63;219;70;11;24;10;120;64330;570427639.54;0.701
ITUVERAVA;-20,3355;-47,7902;0;0;0;2;0;0;1;2;203;0;2;1955;16741;638;9985;7811;0;0;12920;3607;228;0;113;7;18;117;732;42259;252911599.23;0.649
JABORANDI;-20,6884;-48,4112;0;0;1;0;0;0;1;0;5;0;1;0;2406;0;3449;0;0;248;11752;17;0;46;5;0;0;2;18;6963;54893398.89;0.757
JABOTICABAL;-21,252;-48,3252;0;0;0;2;0;0;5;28;180;3;4;4125;37775;7718;9497;11763;0;297;46076;2964;131;1483;69;18;13;6;677;78029;479743095.57;0.77
JACAREI;-23,2983;-45,9658;0;0;0;6;0;0;3;55;394;4;4;12644;136385;29290;23837;29158;6365;1252;100696;28525;945;14;709;78;76;224;3030;237119;1442704827.86;0.622
JACI;-20,8805;-49,5797;0;0;0;1;0;0;0;2;0;0;0;0;569;3729;1370;1746;0;11;87;0;0;0;0;0;0;0;0;7322;51758652.37;0.237
JACUPIRANGA;-24,6963;-48,0064;0;0;0;0;0;0;1;0;9;1;0;0;6945;191;4884;3714;0;0;15146;0;0;0;0;0;0;0;0;17911;92114638.34;0.608
JAGUARIUNA;-22,7037;-46,9851;0;0;1;1;0;0;6;32;60;1;4;2867;25921;21601;1611;6528;0;157;41131;7308;480;3144;121;24;64;71;746;59921;709396458.11;0.822
JALES;-20,2672;-50,5494;0;0;0;2;0;0;1;6;160;1;3;343;28454;3853;10184;5731;0;277;32388;0;0;0;0;0;0;0;0;49291;257826660.14;0.785
JAMBEIRO;-23,2522;-45,6942;0;0;0;0;0;0;1;1;2;0;1;408;2564;0;1920;1228;0;30;1519;0;0;0;0;0;0;0;0;6828;57112868.24;0.43
JANDIRA;-23,5275;-46,9023;0;0;0;1;0;0;5;19;26;1;4;6947;31856;35113;6177;32847;4963;103;63272;0;0;0;0;0;0;0;0;127734;519594344.79;0.456
JARDINOPOLIS;-21,0176;-47,7606;0;0;0;0;0;0;4;9;42;1;1;521;21191;8011;4588;8626;0;235;26715;0;0;0;0;0;0;0;0;45544;240210808.17;0.617
JARINU;-23,1039;-46,728;0;0;0;1;0;0;2;3;12;0;1;320;11916;4450;4476;14297;0;0;21388;0;0;0;26;0;0;0;64;31173;211176622.82;0.592
JAU;-22,2936;-48,5592;0;0;0;4;0;0;10;116;332;2;4;2183;77911;15869;13365;22680;0;159;79753;28520;1118;170;397;38;107;309;3789;153463;624674947.45;0.754
JERIQUARA;-20,3116;-47,5918;0;0;0;0;0;0;0;0;0;0;0;0;1664;0;1663;454;0;0;2025;0;0;0;0;0;0;0;0;3143;35647611.31;0.602
JOANOPOLIS;-22,927;-46,2741;0;0;0;1;0;0;0;0;14;0;1;0;5946;774;2735;2879;0;78;13837;247;20;155;14;0;0;0;97;13453;73895504.79;0.646
JOAO RAMALHO;-22,2473;-50,7694;0;0;0;0;0;0;0;0;1;0;0;0;1155;0;3007;0;0;110;276;0;0;0;0;0;0;0;0;4577;42430188.32;0.283
JOSE BONIFACIO;-21,0551;-49,6892;0;0;0;1;0;0;2;4;63;0;1;0;11276;9202;3322;12614;0;161;28990;0;0;0;0;0;0;0;0;37707;203840572.22;0.671
JULIO MESQUITA;-22,0112;-49,7873;0;0;0;0;0;0;0;1;0;0;0;0;0;0;618;3482;0;0;166;0;0;0;0;0;0;0;0;4824;39292610.42;0.201
JUMIRIM;-23,0884;-47,7868;0;0;0;0;0;0;0;0;2;0;0;0;1921;0;130;660;0;40;319;0;0;0;0;0;0;0;0;3467;40554333.39;0.374
JUNDIAI;-23,1852;-46,8974;0;0;1;11;0;0;14;291;1623;7;7;71373;245216;65079;8270;28423;17917;1545;283685;46690;2384;304;932;153;163;851;4032;426935;3664002453.68;0.894
JUNQUEIROPOLIS;-21,5103;-51,4342;0;0;0;2;0;0;1;0;15;1;0;0;9603;469;4042;4372;0;26;12285;827;29;83;152;3;15;1;337;20978;115147216.56;0.618
JUQUIA;-24,3101;-47,6426;0;0;0;0;0;0;0;0;2;1;0;0;4098;562;10164;2167;0;194;11722;0;0;0;0;0;0;0;0;18627;96305786.11;0.536
JUQUITIBA;-23,9244;-47,0653;0;0;0;0;0;0;1;0;3;0;2;0;883;1722;10445;13146;0;240;18084;0;0;0;0;0;0;0;0;31844;141324028.5;0.448
LAGOINHA;-23,0846;-45,1944;0;0;0;0;0;0;0;1;1;0;1;0;1287;0;2309;1293;0;11;1408;0;0;0;0;0;0;0;0;4882;39059483.4;0.404
LARANJAL PAULISTA;-23,0506;-47,8375;0;0;0;1;0;0;2;3;75;0;0;783;12599;5824;1399;5300;0;0;25631;400;35;816;59;13;11;1;373;29047;161122522.89;0.752
LAVINIA;-21,1639;-51,0412;0;0;0;0;0;0;0;0;0;0;0;0;2278;0;1669;600;0;0;4552;0;0;0;0;0;0;0;0;12581;60322095.42;0.429
LAVRINHAS;-22,57;-44,9024;0;0;0;0;0;0;1;0;1;0;0;0;2193;812;3342;654;0;8;59;0;0;0;0;0;0;0;0;7361;44122973.4;0.209
LEME;-22,1809;-47,3841;0;0;0;2;0;0;7;22;173;2;1;3103;36490;6523;21704;29606;0;499;97340;8469;641;4623;135;16;52;5;1092;105273;556675528.29;0.686
LENCOIS PAULISTA;-22,6027;-48,8037;0;0;0;2;0;0;3;18;251;1;3;2235;42649;7249;9694;4223;0;453;80062;4312;93;0;92;8;35;7;765;69533;479806570.68;0.864
LIMEIRA;-22,566;-47,397;0;0;0;4;0;0;6;54;849;1;4;15957;153609;44905;39317;34046;0;0;116966;33509;2147;232;549;63;118;114;4783;310783;1600219728.68;0.626
LINDOIA;-22,5226;-46,65;0;0;0;0;0;0;2;0;8;0;1;0;3218;1641;832;1164;0;0;1514;0;0;0;0;0;0;0;0;8201;57691678.84;0.438
LINS;-21,6718;-49,7526;0;0;1;3;0;0;6;29;510;0;1;2837;42004;11633;7973;8978;0;276;16508;5945;329;3303;244;23;59;0;2113;78978;356636120.39;0.577
LORENA;-22,7334;-45,1197;0;0;0;3;0;0;5;24;254;0;2;648;53574;5847;12681;10358;1025;61;26766;6119;245;114;221;35;120;605;1634;89532;376917089.79;0.561
