municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
BARBOSA;-21,2657;-49,9518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266;4176;0;38;8653;0;0;0;0;0;0;0;0;7532;42129253.6;0.537
BARIRI;-22,073;-48,7438;0;0;0;1;0;0;3;4;66;0;0;0;16125;2471;7610;5062;0;110;24287;2010;99;10;97;1;9;1;597;35844;167483775.31;0.689
BARRA BONITA;-22,4909;-48,5583;0;0;0;1;0;0;1;6;78;0;0;413;23713;925;7037;1873;0;0;17241;1587;86;828;97;5;15;45;428;36125;215774920.36;0.663
BARRA DO CHAPEU;-24,4722;-49,0238;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1227;3850;0;76;0;0;0;0;0;0;0;0;0;5794;40993678.54;0.192
BARRA DO TURVO;-24,759;-48,5013;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2683;2553;0;49;4851;0;0;0;0;0;0;0;0;7606;57293332.18;0.605
BARRETOS;-20,5531;-48,5698;1;0;0;5;2;0;6;34;243;2;5;3877;61406;32172;7104;17362;0;0;109685;11687;543;0;591;25;55;2;1281;123546;1056811696.42;0.799
BARRINHA;-21,1864;-48,1636;0;0;0;0;0;0;5;5;21;1;1;0;4034;1104;13519;13123;0;0;10961;0;0;0;0;0;0;0;0;33537;141876465.5;0.366
BARUERI;-23,5057;-46,879;1;0;2;6;0;0;8;106;520;7;1;53858;113228;72392;26383;41330;8717;952;466404;50628;835;28463;1353;177;165;281;6119;279704;4995284576.35;0.844
BASTOS;-21,921;-50,7357;0;0;0;1;0;0;4;8;14;1;0;0;8277;1815;5488;5695;0;97;11514;245;29;0;63;0;0;0;105;20952;122271329.14;0.612
BATATAIS;-20,8929;-47,5921;0;0;0;1;0;0;4;6;276;2;2;707;36464;1335;11419;7798;0;303;52659;4293;275;76;488;4;35;9;734;63438;290644356.09;0.807
BAURU;-22,3246;-49,0871;7;0;0;7;2;0;13;79;799;5;12;31390;187380;75047;18276;51690;6043;102783;231829;0;0;0;2;0;0;0;0;381706;1921513738.0;0.729
BEBEDOURO;-20,9491;-48,4791;1;0;1;6;0;0;5;60;269;1;1;1727;46410;7851;7668;12188;0;0;27412;1817;1;1010;56;20;56;73;338;77612;431640887.55;0.656
BENTO DE ABREU;-21,2686;-50,814;0;0;0;0;0;0;0;0;0;0;0;0;702;431;773;500;0;0;0;0;0;0;0;0;0;0;0;3028;36204909.29;0.266
BERNARDINO DE CAMPOS;-23,0164;-49,4679;0;0;0;1;0;0;2;1;7;0;1;0;4683;1060;1109;3679;0;30;5636;458;13;0;50;0;0;0;64;11168;67332336.41;0.584
BERTIOGA;-23,8486;-46,1396;0;0;1;0;0;0;5;11;33;0;5;466;17707;13588;2925;9748;15994;149;93979;264;0;66;97;38;36;44;319;66154;898939140.12;0.724
BILAC;-21,404;-50,4746;0;0;0;1;0;0;0;0;6;0;0;0;3729;785;1024;1696;0;0;9342;0;0;0;7;0;0;0;0;8197;57049211.67;0.665
BIRIGUI;-21,291;-50,3432;0;0;0;2;1;0;6;35;226;1;0;4431;57115;12557;27889;16271;0;136;106402;5274;497;63;169;30;27;1;1436;126094;595359314.4;0.696
BIRITIBA MIRIM;-23,5698;-46,0407;0;0;0;0;0;0;0;0;0;0;0;0;7209;678;13036;5261;2176;0;0;0;0;0;0;0;0;0;0;33265;151853748.8;0.128
BOA ESPERANCA DO SUL;-21,9918;-48,3906;0;0;0;1;0;0;1;0;7;0;1;0;2517;657;4766;4901;0;0;4041;46;0;0;6;0;0;0;24;15111;93554127.29;0.374
BOCAINA;-22,1365;-48,523;0;0;0;1;0;0;1;2;15;0;0;0;3537;1303;4024;2041;0;0;9167;49;18;0;10;0;0;0;31;12571;71591081.16;0.68
BOFETE;-23,1055;-48,2582;0;0;0;0;0;0;0;1;2;1;1;0;2323;322;3576;3824;0;21;6218;0;0;0;0;0;0;0;0;12107;71544204.06;0.503
BOITUVA;-23,2855;-47,6786;0;0;0;1;0;0;2;19;92;1;2;4031;28498;9385;6421;11778;0;289;58022;1924;67;1615;97;23;28;7;382;63310;370077019.38;0.708
BOM JESUS DOS PERDOES;-23,1356;-46,4675;0;0;0;0;0;0;0;1;12;0;1;162;7674;2982;3212;7073;0;0;13686;0;6;0;13;0;0;0;33;26506;152759369.65;0.515
BOM SUCESSO DE ITARARE;-24,3155;-49,1451;0;0;0;0;0;0;0;0;0;0;1;0;0;319;1217;1989;0;20;154;0;0;0;0;0;0;0;0;4013;30698098.66;0.217
BORA;-22,2696;-50,5409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;442;296;0;0;0;0;0;0;0;0;0;0;0;839;22960849.95;0.244
BORACEIA;-22,1926;-48,7808;0;0;0;0;0;0;0;0;1;1;0;0;1319;625;1940;790;0;9;5529;0;0;0;0;0;0;0;0;4913;41026111.62;0.668
BORBOREMA;-21,6214;-49,0741;0;0;0;1;0;0;1;7;18;1;0;411;5917;862;4356;2324;0;168;10587;301;16;0;26;0;10;0;132;16278;90664851.58;0.714
BOREBI;-22,5728;-48,9707;0;0;0;0;0;0;1;0;0;0;0;0;1541;0;510;512;0;0;1893;0;0;0;0;0;0;0;0;2713;40460809.85;0.755
BOTUCATU;-22,8837;-48,4437;1;0;1;3;4;0;3;34;717;0;3;4493;70545;35308;10893;21560;543;249;69447;0;0;0;0;0;0;0;0;149718;724770160.1;0.695
BRAGANCA PAULISTA;-22,9527;-46,5419;0;0;0;7;0;0;7;94;349;3;7;10844;81470;41425;13321;26675;212;456;112036;5093;526;95;181;26;63;6;1083;172346;891398394.3;0.756
BRAUNA;-21,499;-50,3175;0;0;0;0;0;0;0;0;0;0;0;0;869;0;1901;2429;0;14;5389;0;0;0;0;0;0;0;0;5795;38226530.43;0.557
BREJO ALEGRE;-21,1651;-50,1861;0;0;0;0;0;0;0;0;0;0;0;0;908;0;1622;0;0;0;3453;0;0;0;0;0;0;0;0;2911;32386700.66;0.658
BRODOWSKI;-20,9845;-47,6572;0;0;0;0;0;0;3;2;39;1;1;0;13656;2979;2257;6265;0;0;30547;0;0;0;0;0;0;0;0;25605;155532101.21;0.707
BROTAS;-22,2795;-48,1251;0;0;0;1;0;0;0;1;65;0;0;0;12658;4210;2187;4129;0;153;17806;420;33;327;42;4;7;0;301;24862;170597226.57;0.761
BURI;-23,7977;-48,5958;0;0;0;0;0;0;2;1;2;1;0;355;2117;2063;2640;12703;0;9;7891;0;0;0;0;0;0;0;0;20050;133849464.61;0.395
BURITAMA;-21,0661;-50,1475;0;0;0;1;0;0;3;4;19;0;0;0;7565;554;5748;3101;0;960;23316;492;27;0;40;6;4;0;139;17414;122228053.37;0.716
BURITIZAL;-20,1911;-47,7096;0;0;0;0;0;0;0;0;4;0;0;0;2993;0;686;585;0;11;4684;0;0;0;0;0;0;0;0;4547;48343345.7;0.712
CABRALIA PAULISTA;-22,4576;-49,3393;0;0;0;0;0;0;1;0;0;0;0;0;1382;0;1189;1687;0;13;8896;0;0;0;0;0;0;0;0;4222;37512066.92;0.641
CABREUVA;-23,3053;-47,1362;0;0;0;2;0;0;5;10;8;1;0;392;14130;12979;4902;13075;950;38;61620;0;0;0;0;0;0;0;0;51130;396769332.71;0.66
CACAPAVA;-23,0992;-45,7076;0;0;0;4;0;0;5;20;287;1;3;3233;55843;8723;13767;12905;343;228;32462;1420;173;5109;120;10;12;95;1152;95752;429975172.63;0.586
CACHOEIRA PAULISTA;-22,6665;-45,0154;0;0;0;1;0;0;3;10;40;0;0;1447;16054;2775;8297;2471;0;0;12471;242;54;1191;57;0;0;0;23;33827;128673823.13;0.497
CACONDE;-21,528;-46,6437;0;0;0;1;0;0;2;5;23;0;0;0;7841;223;6138;2430;0;99;8037;0;0;0;0;0;0;0;0;19031;88990955.81;0.528
CAFELANDIA;-21,8031;-49,6092;0;0;0;1;0;0;0;3;30;0;0;533;7413;614;4698;2822;0;0;19902;328;32;0;29;0;6;0;112;17917;107562396.02;0.701
CAIABU;-22,0127;-51,2394;0;0;0;0;0;0;1;0;0;0;0;0;664;0;2564;291;0;4;0;0;0;0;0;0;0;0;0;4195;36114581.67;0.259
CAIEIRAS;-23,3607;-46,7397;1;0;0;2;0;0;4;27;42;2;0;3827;52632;21514;1979;7675;6832;493;76374;300;0;0;46;0;0;0;0;104044;503213777.57;0.631
CAIUA;-21,8322;-51,9969;0;0;0;0;0;0;0;0;0;0;0;0;493;0;3106;708;0;8;3490;0;0;0;0;0;0;0;0;6017;50933695.65;0.561
CAJAMAR;-23,355;-46,8781;0;0;1;1;0;0;2;26;61;1;0;1944;28920;23650;5475;20748;10708;202;80385;3053;217;142;102;24;33;0;0;79034;1037751955.71;0.73
CAJATI;-24,7324;-48,1223;0;0;0;0;0;0;3;6;14;1;1;0;4876;1076;8496;13840;0;402;21228;0;0;0;0;0;0;0;0;28441;186687754.53;0.626
CAJOBI;-20,8773;-48,8063;0;0;0;1;0;0;0;1;2;0;1;0;5088;138;2872;843;0;0;3971;54;0;2;9;0;2;4;28;10649;59080134.8;0.461
CAJURU;-21,2749;-47,303;0;0;0;1;0;0;4;12;47;1;3;0;11390;400;6589;5070;0;0;11519;1668;59;0;147;2;22;27;611;26613;118783518.18;0.625
CAMPINA DO MONTE ALEGRE;-23,5895;-48,4758;0;0;0;0;0;0;0;0;0;0;0;0;1606;866;1200;2023;0;17;2533;0;0;0;0;0;0;0;0;6088;39264947.0;0.409
CAMPINAS;-22,9053;-47,0659;1;0;2;34;1;0;22;331;2447;5;21;164725;527920;148728;66893;81633;139454;839;321999;88141;3105;2380;2249;232;356;3562;16623;1223237;8143599534.7;0.539
CAMPO LIMPO PAULISTA;-23,2078;-46,7889;0;0;1;0;0;0;4;16;16;0;0;955;37150;8741;6635;18946;2983;97;86063;9103;523;3352;162;30;54;83;896;86407;355791075.03;0.574
CAMPOS DO JORDAO;-22,7296;-45,5833;0;0;1;1;0;0;3;8;57;0;4;140;18710;5540;5633;4934;9061;164;35326;1444;26;1597;106;13;38;1;426;52713;333121885.67;0.681
CAMPOS NOVOS PAULISTA;-22,602;-49,9987;0;0;0;0;0;0;1;0;0;0;0;0;1682;0;1092;2090;0;3;9700;0;0;0;0;0;0;0;0;5028;45418109.52;0.64
CANANEIA;-25,0144;-47,9341;0;0;0;0;0;0;0;1;4;0;0;0;4153;1403;3464;2246;0;0;5125;0;0;0;0;0;0;0;0;12542;96109218.42;0.473
CANAS;-22,7003;-45,0521;0;0;0;0;0;0;0;0;0;0;0;0;1298;267;1015;2125;0;0;288;0;0;0;0;0;0;0;0;5268;36612147.6;0.205
CANDIDO MOTA;-22,7471;-50,3873;0;0;0;1;0;0;2;4;57;0;0;0;16340;349;7936;4391;0;142;23003;632;34;0;74;4;11;3;396;31410;200088163.74;0.722
CANDIDO RODRIGUES;-21,3275;-48,6327;0;0;0;0;0;0;0;0;0;0;0;0;1441;0;1435;0;0;4;120;0;0;0;0;0;0;0;0;2805;33885142.01;0.293
CANITAR;-23,004;-49,7839;0;0;0;0;0;0;0;0;0;0;0;0;0;772;2970;2328;0;76;147;0;0;0;0;0;0;0;0;5365;37553465.39;0.155
CAPAO BONITO;-24,0113;-48,3482;0;0;0;1;0;0;6;6;27;0;1;0;13888;2086;14003;15880;0;0;18144;1580;120;47;100;21;27;0;654;47098;237788073.91;0.439
CAPELA DO ALTO;-23,4685;-47,7388;0;0;0;0;0;0;2;2;5;1;0;0;4220;2584;4958;8709;0;43;19508;0;0;0;0;0;0;0;0;21257;110803622.29;0.581
CAPIVARI;-22,9951;-47,5071;0;0;0;2;0;0;3;11;96;1;0;164;21992;14611;4841;7187;756;229;29688;3339;192;28;123;18;30;95;554;56973;350874073.27;0.669
CARAGUATATUBA;-23,6125;-45,4125;2;0;0;4;0;0;9;48;122;3;7;3097;59191;15331;11756;37165;5201;667;93479;9150;292;2440;445;45;104;6;1450;125194;1273022737.0;0.755
CARAPICUIBA;-23,5235;-46,8407;1;0;0;1;1;0;4;33;73;2;9;8107;168368;63807;30826;54262;59707;535;99327;0;130;0;150;0;0;0;174;405375;933328581.05;0.29
CARDOSO;-20,08;-49,9183;0;0;0;1;0;0;0;0;10;0;1;0;3437;664;5315;1841;0;15;0;0;0;0;0;0;0;0;0;12371;84399653.32;0.255
CASA BRANCA;-21,7708;-47,0852;1;0;0;1;2;0;1;7;63;1;0;0;13860;3653;4625;3947;0;96;11211;478;27;0;56;0;0;87;69;30655;174654224.69;0.595
CASSIA DOS COQUEIROS;-21,2801;-47,1643;0;0;0;0;0;0;1;0;0;0;0;0;714;0;1790;284;0;0;37;0;0;0;0;0;0;0;0;2488;31262251.57;0.324
CASTILHO;-20,8689;-51,4884;0;0;0;1;0;0;0;4;21;0;0;0;7019;1111;6670;4825;0;17;24544;140;11;0;29;0;0;0;125;21521;170771715.22;0.684
CATANDUVA;-21,1314;-48,977;0;0;0;12;1;0;6;265;289;1;4;3699;71141;10641;14643;14237;0;887;96231;1219;0;0;3741;0;0;0;0;123114;736040803.25;0.843
CATIGUA;-21,0519;-49,0616;0;0;0;0;0;0;1;0;7;0;1;0;3282;743;920;1881;0;18;30;0;0;0;0;0;0;0;0;7905;39502050.36;0.248
CEDRAL;-20,9009;-49,2664;0;0;0;0;0;0;1;3;7;0;1;0;7777;2662;502;1303;0;56;10538;0;0;0;0;0;0;0;0;9452;75149599.16;0.716
CERQUEIRA CESAR;-23,038;-49,1655;0;0;0;1;0;0;0;2;16;0;1;0;8406;1071;2887;7555;0;30;532;326;24;13;57;4;11;3;233;20391;128994944.43;0.258
CERQUILHO;-23,1665;-47,7459;0;0;0;1;0;0;5;17;114;0;0;224;29597;6052;3915;4508;0;410;53402;455;42;589;15;0;0;0;126;50631;279996153.11;0.769
CESARIO LANGE;-23,226;-47,9545;0;0;0;1;0;0;3;1;9;0;0;0;7779;261;2544;6767;0;110;6098;284;16;0;20;0;0;0;84;18595;103030496.67;0.425
CHARQUEADA;-22,5096;-47,7755;0;0;0;2;0;0;1;3;8;0;0;0;8909;1381;1507;3073;0;0;15853;302;0;0;12;0;0;0;17;17539;94926581.4;0.651
CLEMENTINA;-21,5604;-50,4525;0;0;0;1;0;0;0;0;5;0;0;0;788;0;1078;4851;0;141;0;0;0;0;0;0;0;0;0;8894;42965744.86;0.18
COLINA;-20,7114;-48,5387;0;0;0;1;0;0;1;1;34;1;1;0;11732;0;4070;2642;0;104;15381;11;0;0;46;3;8;0;316;18601;146898745.93;0.764
COLOMBIA;-20,1768;-48,6865;0;0;0;0;0;0;0;1;3;0;1;0;671;311;3069;2123;0;49;4020;0;0;0;0;0;0;0;0;6223;79027745.45;0.652
