cod_ibge;grupo_ipvs;n_pessoas;n_domicilios;n_setores
CAMPOS NOVOS PAULISTA;Média Vulnerabilidade;1092;403;5
CAMPOS NOVOS PAULISTA;Alta Vulnerabilidade;2090;754;5
CANANEIA;Muito Baixa Vulnerabilidade;4153;1620;11
CANANEIA;Baixa Vulnerabilidade;1403;514;3
CANANEIA;Média Vulnerabilidade;3464;1157;9
CANANEIA;Alta Vulnerabilidade;2246;761;4
CANAS;Muito Baixa Vulnerabilidade;1298;447;4
CANAS;Baixa Vulnerabilidade;267;101;1
CANAS;Média Vulnerabilidade;1015;311;4
CANAS;Alta Vulnerabilidade;2125;646;4
CANDIDO MOTA;Muito Baixa Vulnerabilidade;16340;6220;36
CANDIDO MOTA;Baixa Vulnerabilidade;349;118;1
CANDIDO MOTA;Média Vulnerabilidade;7936;2823;16
CANDIDO MOTA;Alta Vulnerabilidade;4391;1594;8
CANDIDO RODRIGUES;Muito Baixa Vulnerabilidade;1441;562;3
CANDIDO RODRIGUES;Média Vulnerabilidade;1435;540;4
CANITAR;Baixa Vulnerabilidade;772;268;2
CANITAR;Média Vulnerabilidade;2970;964;7
CANITAR;Alta Vulnerabilidade;2328;780;6
CAPAO BONITO;Muito Baixa Vulnerabilidade;13888;5089;37
CAPAO BONITO;Baixa Vulnerabilidade;2086;733;5
CAPAO BONITO;Média Vulnerabilidade;14003;4837;39
CAPAO BONITO;Alta Vulnerabilidade;15880;5263;30
CAPELA DO ALTO;Muito Baixa Vulnerabilidade;4220;1515;11
CAPELA DO ALTO;Baixa Vulnerabilidade;2584;902;3
CAPELA DO ALTO;Média Vulnerabilidade;4958;1777;10
CAPELA DO ALTO;Alta Vulnerabilidade;8709;2866;15
CAPIVARI;Baixíssima Vulnerabilidade;164;59;1
CAPIVARI;Muito Baixa Vulnerabilidade;21992;7793;39
CAPIVARI;Baixa Vulnerabilidade;14611;4987;21
CAPIVARI;Média Vulnerabilidade;4841;1612;8
CAPIVARI;Alta Vulnerabilidade;7187;2329;13
CAPIVARI;Muito Alta Vulnerabilidade;756;246;3
CARAGUATATUBA;Baixíssima Vulnerabilidade;3097;1311;15
CARAGUATATUBA;Muito Baixa Vulnerabilidade;59191;22457;188
CARAGUATATUBA;Baixa Vulnerabilidade;15331;5622;38
CARAGUATATUBA;Média Vulnerabilidade;11756;4133;28
CARAGUATATUBA;Alta Vulnerabilidade;37165;12572;72
CARAGUATATUBA;Muito Alta Vulnerabilidade;5201;1726;14
CARAPICUIBA;Baixíssima Vulnerabilidade;8107;2668;23
CARAPICUIBA;Muito Baixa Vulnerabilidade;168368;60779;382
CARAPICUIBA;Baixa Vulnerabilidade;63807;22870;130
CARAPICUIBA;Média Vulnerabilidade;30826;10858;64
CARAPICUIBA;Alta Vulnerabilidade;54262;18981;106
CARAPICUIBA;Muito Alta Vulnerabilidade;59707;20120;120
CARDOSO;Muito Baixa Vulnerabilidade;3437;1452;10
CARDOSO;Baixa Vulnerabilidade;664;272;2
CARDOSO;Média Vulnerabilidade;5315;2120;13
CARDOSO;Alta Vulnerabilidade;1841;736;3
CASA BRANCA;Muito Baixa Vulnerabilidade;13860;5300;27
CASA BRANCA;Baixa Vulnerabilidade;3653;1333;5
CASA BRANCA;Média Vulnerabilidade;4625;1603;11
CASA BRANCA;Alta Vulnerabilidade;3947;1384;6
CASSIA DOS COQUEIROS;Muito Baixa Vulnerabilidade;714;278;2
CASSIA DOS COQUEIROS;Média Vulnerabilidade;1790;698;6
CASSIA DOS COQUEIROS;Alta Vulnerabilidade;284;100;1
CASTILHO;Muito Baixa Vulnerabilidade;7019;2650;15
CASTILHO;Baixa Vulnerabilidade;1111;379;2
CASTILHO;Média Vulnerabilidade;6670;2467;18
CASTILHO;Alta Vulnerabilidade;4825;1766;11
CATANDUVA;Baixíssima Vulnerabilidade;3699;1456;13
CATANDUVA;Muito Baixa Vulnerabilidade;71141;27331;160
CATANDUVA;Baixa Vulnerabilidade;10641;4569;29
CATANDUVA;Média Vulnerabilidade;14643;5270;31
CATANDUVA;Alta Vulnerabilidade;14237;4995;27
CATIGUA;Muito Baixa Vulnerabilidade;3282;1185;7
CATIGUA;Baixa Vulnerabilidade;743;283;1
CATIGUA;Média Vulnerabilidade;920;354;2
CATIGUA;Alta Vulnerabilidade;1881;634;3
CEDRAL;Muito Baixa Vulnerabilidade;7777;2927;21
CEDRAL;Baixa Vulnerabilidade;2662;987;5
CEDRAL;Média Vulnerabilidade;502;183;3
CEDRAL;Alta Vulnerabilidade;1303;446;3
CERQUEIRA CESAR;Muito Baixa Vulnerabilidade;8406;3183;26
CERQUEIRA CESAR;Baixa Vulnerabilidade;1071;399;4
CERQUEIRA CESAR;Média Vulnerabilidade;2887;1032;8
CERQUEIRA CESAR;Alta Vulnerabilidade;7555;2664;16
CERQUILHO;Baixíssima Vulnerabilidade;224;72;1
CERQUILHO;Muito Baixa Vulnerabilidade;29597;10664;45
CERQUILHO;Baixa Vulnerabilidade;6052;2116;8
CERQUILHO;Média Vulnerabilidade;3915;1400;8
CERQUILHO;Alta Vulnerabilidade;4508;1564;7
CESARIO LANGE;Muito Baixa Vulnerabilidade;7779;2775;18
CESARIO LANGE;Baixa Vulnerabilidade;261;90;1
CESARIO LANGE;Média Vulnerabilidade;2544;852;7
CESARIO LANGE;Alta Vulnerabilidade;6767;2225;9
CHARQUEADA;Muito Baixa Vulnerabilidade;8909;3117;21
CHARQUEADA;Baixa Vulnerabilidade;1381;495;2
CHARQUEADA;Média Vulnerabilidade;1507;491;4
CHARQUEADA;Alta Vulnerabilidade;3073;1018;6
CLEMENTINA;Muito Baixa Vulnerabilidade;788;337;2
CLEMENTINA;Média Vulnerabilidade;1078;395;3
CLEMENTINA;Alta Vulnerabilidade;4851;1739;9
COLINA;Muito Baixa Vulnerabilidade;11732;4302;23
COLINA;Média Vulnerabilidade;4070;1390;7
COLINA;Alta Vulnerabilidade;2642;868;4
COLOMBIA;Muito Baixa Vulnerabilidade;671;245;2
COLOMBIA;Baixa Vulnerabilidade;311;114;1
COLOMBIA;Média Vulnerabilidade;3069;1122;7
COLOMBIA;Alta Vulnerabilidade;2123;759;4
CONCHAL;Baixíssima Vulnerabilidade;560;197;1
CONCHAL;Muito Baixa Vulnerabilidade;6175;2244;14
CONCHAL;Baixa Vulnerabilidade;2370;853;4
CONCHAL;Média Vulnerabilidade;5170;1735;14
CONCHAL;Alta Vulnerabilidade;13645;4386;20
CONCHAS;Muito Baixa Vulnerabilidade;7681;2920;21
CONCHAS;Baixa Vulnerabilidade;898;352;4
CONCHAS;Média Vulnerabilidade;2634;935;8
CONCHAS;Alta Vulnerabilidade;3747;1316;8
CORDEIROPOLIS;Muito Baixa Vulnerabilidade;9139;3330;20
CORDEIROPOLIS;Baixa Vulnerabilidade;9301;3220;13
CORDEIROPOLIS;Média Vulnerabilidade;151;50;1
CORDEIROPOLIS;Alta Vulnerabilidade;4874;1585;7
CORDEIROPOLIS;Muito Alta Vulnerabilidade;272;79;1
COROADOS;Muito Baixa Vulnerabilidade;2143;801;6
COROADOS;Baixa Vulnerabilidade;479;178;1
COROADOS;Média Vulnerabilidade;1754;668;4
COROADOS;Alta Vulnerabilidade;942;339;2
CORONEL MACEDO;Baixíssima Vulnerabilidade;306;115;1
CORONEL MACEDO;Muito Baixa Vulnerabilidade;537;220;2
CORONEL MACEDO;Média Vulnerabilidade;2218;861;8
CORONEL MACEDO;Alta Vulnerabilidade;1219;458;3
CORUMBATAI;Muito Baixa Vulnerabilidade;2453;882;7
CORUMBATAI;Média Vulnerabilidade;906;306;3
CORUMBATAI;Alta Vulnerabilidade;655;213;1
COSMOPOLIS;Baixíssima Vulnerabilidade;117;40;1
COSMOPOLIS;Muito Baixa Vulnerabilidade;37050;13570;91
COSMOPOLIS;Baixa Vulnerabilidade;5742;2043;13
COSMOPOLIS;Média Vulnerabilidade;5658;2011;13
COSMOPOLIS;Alta Vulnerabilidade;8539;3096;17
COSMOPOLIS;Muito Alta Vulnerabilidade;1567;573;6
COSMORAMA;Muito Baixa Vulnerabilidade;3480;1339;5
COSMORAMA;Média Vulnerabilidade;1113;427;5
COSMORAMA;Alta Vulnerabilidade;4037;1467;7
COTIA;Baixíssima Vulnerabilidade;32516;11236;92
COTIA;Muito Baixa Vulnerabilidade;97082;34690;246
COTIA;Baixa Vulnerabilidade;50117;17810;117
COTIA;Média Vulnerabilidade;22172;7659;59
COTIA;Alta Vulnerabilidade;57502;19747;120
COTIA;Muito Alta Vulnerabilidade;10749;3563;28
CRAVINHOS;Baixíssima Vulnerabilidade;1223;423;3
CRAVINHOS;Muito Baixa Vulnerabilidade;11509;4122;20
CRAVINHOS;Baixa Vulnerabilidade;3240;1095;5
CRAVINHOS;Média Vulnerabilidade;5662;1958;9
CRAVINHOS;Alta Vulnerabilidade;11074;3576;14
CRISTAIS PAULISTA;Muito Baixa Vulnerabilidade;5060;1832;12
CRISTAIS PAULISTA;Média Vulnerabilidade;1440;484;4
CRISTAIS PAULISTA;Alta Vulnerabilidade;2439;830;5
CRUZALIA;Muito Baixa Vulnerabilidade;1039;419;3
CRUZALIA;Média Vulnerabilidade;911;348;2
CRUZEIRO;Baixíssima Vulnerabilidade;1271;481;3
CRUZEIRO;Muito Baixa Vulnerabilidade;57441;20797;116
CRUZEIRO;Baixa Vulnerabilidade;5344;1936;11
CRUZEIRO;Média Vulnerabilidade;4193;1407;10
CRUZEIRO;Alta Vulnerabilidade;4693;1535;9
CRUZEIRO;Muito Alta Vulnerabilidade;1106;344;4
CUBATAO;Muito Baixa Vulnerabilidade;39276;14234;69
CUBATAO;Baixa Vulnerabilidade;9492;3606;20
CUBATAO;Média Vulnerabilidade;15936;5477;28
CUBATAO;Alta Vulnerabilidade;10333;3621;18
CUBATAO;Muito Alta Vulnerabilidade;36426;12821;76
CUNHA;Baixíssima Vulnerabilidade;456;175;1
CUNHA;Muito Baixa Vulnerabilidade;5143;2089;14
CUNHA;Baixa Vulnerabilidade;311;127;1
CUNHA;Média Vulnerabilidade;10801;4125;37
CUNHA;Alta Vulnerabilidade;5005;1923;9
DESCALVADO;Baixíssima Vulnerabilidade;708;246;1
DESCALVADO;Muito Baixa Vulnerabilidade;19144;7050;40
DESCALVADO;Baixa Vulnerabilidade;4557;1680;8
DESCALVADO;Média Vulnerabilidade;4158;1394;8
DESCALVADO;Alta Vulnerabilidade;2824;944;4
DIADEMA;Baixíssima Vulnerabilidade;5597;1983;15
DIADEMA;Muito Baixa Vulnerabilidade;165494;61884;296
DIADEMA;Baixa Vulnerabilidade;44270;16818;73
DIADEMA;Média Vulnerabilidade;37449;13940;70
DIADEMA;Alta Vulnerabilidade;50356;18800;89
DIADEMA;Muito Alta Vulnerabilidade;87310;30721;195
DIRCE REIS;Muito Baixa Vulnerabilidade;145;48;1
DIRCE REIS;Baixa Vulnerabilidade;176;60;1
DIRCE REIS;Média Vulnerabilidade;1117;468;4
DIVINOLANDIA;Muito Baixa Vulnerabilidade;5914;2304;14
DIVINOLANDIA;Baixa Vulnerabilidade;791;291;3
DIVINOLANDIA;Média Vulnerabilidade;3878;1449;8
DIVINOLANDIA;Alta Vulnerabilidade;304;112;1
DOBRADA;Muito Baixa Vulnerabilidade;3861;1335;7
DOBRADA;Baixa Vulnerabilidade;441;145;1
DOBRADA;Média Vulnerabilidade;2293;800;6
DOBRADA;Alta Vulnerabilidade;2068;766;4
DOIS CORREGOS;Muito Baixa Vulnerabilidade;5078;2024;15
DOIS CORREGOS;Baixa Vulnerabilidade;2489;926;6
DOIS CORREGOS;Média Vulnerabilidade;3519;1259;9
DOIS CORREGOS;Alta Vulnerabilidade;12354;4305;26
DOLCINOPOLIS;Muito Baixa Vulnerabilidade;253;89;2
DOLCINOPOLIS;Média Vulnerabilidade;1583;668;4
DOLCINOPOLIS;Alta Vulnerabilidade;161;55;1
DOURADO;Muito Baixa Vulnerabilidade;4212;1696;10
DOURADO;Baixa Vulnerabilidade;506;189;1
DOURADO;Média Vulnerabilidade;1143;399;3
DOURADO;Alta Vulnerabilidade;2142;792;3
DRACENA;Baixíssima Vulnerabilidade;623;220;3
DRACENA;Muito Baixa Vulnerabilidade;24960;9709;53
DRACENA;Baixa Vulnerabilidade;5007;1992;13
DRACENA;Média Vulnerabilidade;7557;2917;18
DRACENA;Alta Vulnerabilidade;5673;2078;10
DUARTINA;Muito Baixa Vulnerabilidade;3897;1538;11
DUARTINA;Baixa Vulnerabilidade;1182;459;4
DUARTINA;Média Vulnerabilidade;4290;1667;11
DUARTINA;Alta Vulnerabilidade;2639;1016;6
DUMONT;Muito Baixa Vulnerabilidade;2852;1004;7
DUMONT;Baixa Vulnerabilidade;3211;1129;5
DUMONT;Média Vulnerabilidade;671;235;1
DUMONT;Alta Vulnerabilidade;2633;893;4
ECHAPORA;Muito Baixa Vulnerabilidade;1526;572;6
ECHAPORA;Baixa Vulnerabilidade;1194;448;3
ECHAPORA;Média Vulnerabilidade;2156;824;4
ECHAPORA;Alta Vulnerabilidade;996;320;2
ELDORADO;Baixíssima Vulnerabilidade;630;238;1
ELDORADO;Muito Baixa Vulnerabilidade;1606;592;3
ELDORADO;Baixa Vulnerabilidade;788;294;1
ELDORADO;Média Vulnerabilidade;5190;1876;14
ELDORADO;Alta Vulnerabilidade;2695;876;5
ELIAS FAUSTO;Muito Baixa Vulnerabilidade;3127;1071;6
ELIAS FAUSTO;Baixa Vulnerabilidade;3037;1073;4
ELIAS FAUSTO;Média Vulnerabilidade;644;210;4
ELIAS FAUSTO;Alta Vulnerabilidade;10654;3544;14
ELISIARIO;Muito Baixa Vulnerabilidade;432;152;2
ELISIARIO;Baixa Vulnerabilidade;572;212;1
ELISIARIO;Média Vulnerabilidade;1605;604;4
ELISIARIO;Alta Vulnerabilidade;529;216;1
EMBAUBA;Muito Baixa Vulnerabilidade;461;178;1
EMBAUBA;Média Vulnerabilidade;1862;718;4
EMBU DAS ARTES;Baixíssima Vulnerabilidade;2054;713;6
EMBU DAS ARTES;Muito Baixa Vulnerabilidade;53604;19291;131
EMBU DAS ARTES;Baixa Vulnerabilidade;16701;5686;40
EMBU DAS ARTES;Média Vulnerabilidade;50693;17923;109
EMBU DAS ARTES;Alta Vulnerabilidade;71003;25150;143
EMBU DAS ARTES;Muito Alta Vulnerabilidade;52590;18045;113
EMBU-GUACU;Baixíssima Vulnerabilidade;2657;892;5
EMBU-GUACU;Muito Baixa Vulnerabilidade;16697;5995;50
EMBU-GUACU;Baixa Vulnerabilidade;8027;2814;17
EMBU-GUACU;Média Vulnerabilidade;16720;5934;42
EMBU-GUACU;Alta Vulnerabilidade;20238;6973;53
EMBU-GUACU;Muito Alta Vulnerabilidade;819;263;3
EMILIANOPOLIS;Média Vulnerabilidade;1577;645;4
EMILIANOPOLIS;Alta Vulnerabilidade;1212;444;2
ENGENHEIRO COELHO;Baixíssima Vulnerabilidade;933;342;3
ENGENHEIRO COELHO;Muito Baixa Vulnerabilidade;3302;1207;9
ENGENHEIRO COELHO;Baixa Vulnerabilidade;3319;1251;5
ENGENHEIRO COELHO;Média Vulnerabilidade;676;245;4
ENGENHEIRO COELHO;Alta Vulnerabilidade;10517;3590;18
ESPIRITO SANTO DO PINHAL;Muito Baixa Vulnerabilidade;24166;9041;45
ESPIRITO SANTO DO PINHAL;Baixa Vulnerabilidade;1436;525;4
ESPIRITO SANTO DO PINHAL;Média Vulnerabilidade;12109;4149;24
ESPIRITO SANTO DO PINHAL;Alta Vulnerabilidade;1824;637;4
ESPIRITO SANTO DO TURVO;Média Vulnerabilidade;1202;441;4
ESPIRITO SANTO DO TURVO;Alta Vulnerabilidade;2858;1009;8
ESTRELA D'OESTE;Muito Baixa Vulnerabilidade;6393;2412;13
ESTRELA D'OESTE;Média Vulnerabilidade;1035;395;3
ESTRELA D'OESTE;Alta Vulnerabilidade;1790;631;4
ESTRELA DO NORTE;Muito Baixa Vulnerabilidade;271;105;1
ESTRELA DO NORTE;Baixa Vulnerabilidade;164;54;1
ESTRELA DO NORTE;Média Vulnerabilidade;1768;643;4
ESTRELA DO NORTE;Alta Vulnerabilidade;319;104;1
EUCLIDES DA CUNHA PAULISTA;Média Vulnerabilidade;4676;1749;12
EUCLIDES DA CUNHA PAULISTA;Alta Vulnerabilidade;3243;1273;7
FARTURA;Muito Baixa Vulnerabilidade;6296;2430;15
FARTURA;Baixa Vulnerabilidade;1201;459;3
FARTURA;Média Vulnerabilidade;3930;1486;8
FARTURA;Alta Vulnerabilidade;4599;1636;7
FERNANDOPOLIS;Baixíssima Vulnerabilidade;1786;679;4
FERNANDOPOLIS;Muito Baixa Vulnerabilidade;40242;15657;96
FERNANDOPOLIS;Baixa Vulnerabilidade;7000;2849;18
FERNANDOPOLIS;Média Vulnerabilidade;13595;5199;30
FERNANDOPOLIS;Alta Vulnerabilidade;8086;3127;19
FERNANDO PRESTES;Muito Baixa Vulnerabilidade;2834;1094;6
FERNANDO PRESTES;Média Vulnerabilidade;2857;1065;8
FERNAO;Muito Baixa Vulnerabilidade;337;126;1
FERNAO;Média Vulnerabilidade;848;311;2
FERNAO;Alta Vulnerabilidade;470;176;1
FERRAZ DE VASCONCELOS;Muito Baixa Vulnerabilidade;48891;17160;99
FERRAZ DE VASCONCELOS;Baixa Vulnerabilidade;18097;6298;42
FERRAZ DE VASCONCELOS;Média Vulnerabilidade;42686;14846;84
FERRAZ DE VASCONCELOS;Alta Vulnerabilidade;37628;12889;74
FERRAZ DE VASCONCELOS;Muito Alta Vulnerabilidade;29794;9729;80
FLORA RICA;Muito Baixa Vulnerabilidade;139;52;1
FLORA RICA;Média Vulnerabilidade;1216;511;4
FLOREAL;Muito Baixa Vulnerabilidade;1510;610;4
FLOREAL;Média Vulnerabilidade;1208;510;3
FLORIDA PAULISTA;Muito Baixa Vulnerabilidade;4252;1622;10
FLORIDA PAULISTA;Média Vulnerabilidade;4732;1752;10
FLORIDA PAULISTA;Alta Vulnerabilidade;1927;704;3
FLORINEA;Muito Baixa Vulnerabilidade;494;188;2
FLORINEA;Média Vulnerabilidade;1534;583;3
FLORINEA;Alta Vulnerabilidade;492;185;2
FRANCA;Baixíssima Vulnerabilidade;11015;4239;23
FRANCA;Muito Baixa Vulnerabilidade;185614;67506;366
FRANCA;Baixa Vulnerabilidade;74339;27932;147
FRANCA;Média Vulnerabilidade;38205;13702;75
FRANCA;Alta Vulnerabilidade;40100;13977;68
FRANCISCO MORATO;Baixíssima Vulnerabilidade;520;173;1
FRANCISCO MORATO;Muito Baixa Vulnerabilidade;12511;4378;33
FRANCISCO MORATO;Baixa Vulnerabilidade;11680;4172;27
FRANCISCO MORATO;Média Vulnerabilidade;24604;8436;55
FRANCISCO MORATO;Alta Vulnerabilidade;92055;32507;191
FRANCISCO MORATO;Muito Alta Vulnerabilidade;22498;7637;64
FRANCO DA ROCHA;Baixíssima Vulnerabilidade;1035;331;1
FRANCO DA ROCHA;Muito Baixa Vulnerabilidade;33747;12291;80
FRANCO DA ROCHA;Baixa Vulnerabilidade;27822;9889;56
FRANCO DA ROCHA;Média Vulnerabilidade;13726;4971;33
FRANCO DA ROCHA;Alta Vulnerabilidade;47694;16469;96
FRANCO DA ROCHA;Muito Alta Vulnerabilidade;14236;4719;42
GABRIEL MONTEIRO;Muito Baixa Vulnerabilidade;622;256;2
GABRIEL MONTEIRO;Média Vulnerabilidade;1362;520;3
GABRIEL MONTEIRO;Alta Vulnerabilidade;617;233;1
GALIA;Muito Baixa Vulnerabilidade;1713;685;5
GALIA;Média Vulnerabilidade;2957;1132;8
GALIA;Alta Vulnerabilidade;1391;518;3
GARCA;Baixíssima Vulnerabilidade;318;119;1
GARCA;Muito Baixa Vulnerabilidade;19251;7232;41
GARCA;Baixa Vulnerabilidade;4889;1848;13
GARCA;Média Vulnerabilidade;9927;3643;25
GARCA;Alta Vulnerabilidade;6814;2418;17
GASTAO VIDIGAL;Média Vulnerabilidade;2574;1026;8
GASTAO VIDIGAL;Alta Vulnerabilidade;517;167;2
GAVIAO PEIXOTO;Muito Baixa Vulnerabilidade;801;287;1
GAVIAO PEIXOTO;Média Vulnerabilidade;1333;500;5
GAVIAO PEIXOTO;Alta Vulnerabilidade;2529;840;4
GENERAL SALGADO;Muito Baixa Vulnerabilidade;5875;2295;14
GENERAL SALGADO;Baixa Vulnerabilidade;105;39;1
GENERAL SALGADO;Média Vulnerabilidade;4048;1584;11
GENERAL SALGADO;Alta Vulnerabilidade;165;71;1
GETULINA;Muito Baixa Vulnerabilidade;2328;899;7
GETULINA;Baixa Vulnerabilidade;170;62;1
GETULINA;Média Vulnerabilidade;3506;1340;9
GETULINA;Alta Vulnerabilidade;2673;995;7
GLICERIO;Muito Baixa Vulnerabilidade;1600;610;5
GLICERIO;Média Vulnerabilidade;1461;561;4
GLICERIO;Alta Vulnerabilidade;928;319;2
GUAICARA;Muito Baixa Vulnerabilidade;2170;785;5
GUAICARA;Baixa Vulnerabilidade;778;272;2
GUAICARA;Média Vulnerabilidade;3122;1107;9
GUAICARA;Alta Vulnerabilidade;4873;1712;10
GUAIMBE;Muito Baixa Vulnerabilidade;244;89;1
GUAIMBE;Média Vulnerabilidade;2326;900;6
GUAIMBE;Alta Vulnerabilidade;2877;1050;7
GUAIRA;Muito Baixa Vulnerabilidade;20948;7940;36
GUAIRA;Baixa Vulnerabilidade;5945;2110;9
GUAIRA;Média Vulnerabilidade;4336;1681;10
GUAIRA;Alta Vulnerabilidade;7555;2831;13
GUAPIACU;Baixíssima Vulnerabilidade;396;151;1
GUAPIACU;Muito Baixa Vulnerabilidade;6917;2475;17
GUAPIACU;Baixa Vulnerabilidade;2950;989;5
GUAPIACU;Média Vulnerabilidade;4644;1705;10
GUAPIACU;Alta Vulnerabilidade;6479;2314;11
GUAPIARA;Muito Baixa Vulnerabilidade;985;356;3
GUAPIARA;Baixa Vulnerabilidade;501;192;2
GUAPIARA;Média Vulnerabilidade;9493;3436;32
GUAPIARA;Alta Vulnerabilidade;5912;2116;17
GUARA;Muito Baixa Vulnerabilidade;5679;2126;11
GUARA;Baixa Vulnerabilidade;622;242;2
GUARA;Média Vulnerabilidade;6076;2153;12
GUARA;Alta Vulnerabilidade;5902;2052;10
GUARACAI;Muito Baixa Vulnerabilidade;3691;1490;10
GUARACAI;Média Vulnerabilidade;2597;1037;7
GUARACAI;Alta Vulnerabilidade;806;292;2
GUARACI;Muito Baixa Vulnerabilidade;3633;1440;10
GUARACI;Baixa Vulnerabilidade;134;47;1
GUARACI;Média Vulnerabilidade;2294;851;6
GUARACI;Alta Vulnerabilidade;3892;1432;6
GUARANI D'OESTE;Muito Baixa Vulnerabilidade;471;186;2
GUARANI D'OESTE;Média Vulnerabilidade;1241;514;4
GUARANTA;Muito Baixa Vulnerabilidade;1203;423;3
GUARANTA;Média Vulnerabilidade;1897;709;4
GUARANTA;Alta Vulnerabilidade;2904;1027;7
GUARARAPES;Muito Baixa Vulnerabilidade;14004;5386;33
GUARARAPES;Baixa Vulnerabilidade;435;181;1
GUARARAPES;Média Vulnerabilidade;10743;4038;23
GUARARAPES;Alta Vulnerabilidade;5081;1798;10
GUARAREMA;Baixíssima Vulnerabilidade;972;362;2
GUARAREMA;Muito Baixa Vulnerabilidade;12901;4786;33
GUARAREMA;Baixa Vulnerabilidade;838;304;1
GUARAREMA;Média Vulnerabilidade;11639;4007;26
GUARAREMA;Alta Vulnerabilidade;4182;1393;6
GUARATINGUETA;Baixíssima Vulnerabilidade;5072;1943;12
GUARATINGUETA;Muito Baixa Vulnerabilidade;75600;27479;147
GUARATINGUETA;Baixa Vulnerabilidade;7096;2571;15
GUARATINGUETA;Média Vulnerabilidade;11346;3901;22
GUARATINGUETA;Alta Vulnerabilidade;15248;5115;27
GUARATINGUETA;Muito Alta Vulnerabilidade;732;222;3
GUAREI;Muito Baixa Vulnerabilidade;3273;1223;11
GUAREI;Baixa Vulnerabilidade;665;279;1
GUAREI;Média Vulnerabilidade;2891;1055;8
GUAREI;Alta Vulnerabilidade;5353;1930;12
GUARIBA;Muito Baixa Vulnerabilidade;15114;5445;31
GUARIBA;Baixa Vulnerabilidade;2360;779;5
GUARIBA;Média Vulnerabilidade;5983;2181;14
GUARIBA;Alta Vulnerabilidade;13246;4492;24
GUARUJA;Baixíssima Vulnerabilidade;6654;2768;40
GUARUJA;Muito Baixa Vulnerabilidade;106676;38521;265
GUARUJA;Baixa Vulnerabilidade;29605;10428;63
GUARUJA;Média Vulnerabilidade;18643;6295;30
GUARUJA;Alta Vulnerabilidade;15382;5205;28
GUARUJA;Muito Alta Vulnerabilidade;105123;34241;193
GUARULHOS;Baixíssima Vulnerabilidade;60089;21992;161
GUARULHOS;Muito Baixa Vulnerabilidade;471657;171394;892
GUARULHOS;Baixa Vulnerabilidade;156157;57341;297
GUARULHOS;Média Vulnerabilidade;121205;42164;214
GUARULHOS;Alta Vulnerabilidade;255335;86397;404
GUARULHOS;Muito Alta Vulnerabilidade;213993;69358;382
GUATAPARA;Muito Baixa Vulnerabilidade;2035;704;5
GUATAPARA;Média Vulnerabilidade;1964;694;4
GUATAPARA;Alta Vulnerabilidade;3180;1104;7
GUZOLANDIA;Muito Baixa Vulnerabilidade;699;286;3
GUZOLANDIA;Média Vulnerabilidade;1166;466;4
GUZOLANDIA;Alta Vulnerabilidade;2088;776;5
HERCULANDIA;Muito Baixa Vulnerabilidade;3132;1180;10
HERCULANDIA;Baixa Vulnerabilidade;475;171;3
HERCULANDIA;Média Vulnerabilidade;1752;586;5
HERCULANDIA;Alta Vulnerabilidade;3319;1221;8
HOLAMBRA;Baixíssima Vulnerabilidade;2305;862;5
HOLAMBRA;Muito Baixa Vulnerabilidade;6199;2180;12
HOLAMBRA;Baixa Vulnerabilidade;1038;378;4
HOLAMBRA;Média Vulnerabilidade;1632;518;3
HOLAMBRA;Alta Vulnerabilidade;3737;1184;6
HORTOLANDIA;Baixíssima Vulnerabilidade;7634;2412;12
HORTOLANDIA;Muito Baixa Vulnerabilidade;101001;35521;157
HORTOLANDIA;Baixa Vulnerabilidade;50871;18457;82
HORTOLANDIA;Média Vulnerabilidade;29071;9799;41
HORTOLANDIA;Alta Vulnerabilidade;38637;12989;56
HORTOLANDIA;Muito Alta Vulnerabilidade;4072;1319;10
IACANGA;Muito Baixa Vulnerabilidade;5451;2118;14
IACANGA;Baixa Vulnerabilidade;1122;409;2
IACANGA;Média Vulnerabilidade;1815;703;5
IACANGA;Alta Vulnerabilidade;1826;626;3
IACRI;Muito Baixa Vulnerabilidade;1339;515;4
IACRI;Baixa Vulnerabilidade;176;58;1
IACRI;Média Vulnerabilidade;2712;962;9
IACRI;Alta Vulnerabilidade;1413;531;4
IARAS;Muito Baixa Vulnerabilidade;570;217;2
IARAS;Baixa Vulnerabilidade;800;273;2
IARAS;Média Vulnerabilidade;1112;385;3
IARAS;Alta Vulnerabilidade;2499;881;5
IBATE;Muito Baixa Vulnerabilidade;7891;2850;15
IBATE;Baixa Vulnerabilidade;3686;1273;7
IBATE;Média Vulnerabilidade;8577;2911;13
IBATE;Alta Vulnerabilidade;11646;3939;15
IBIRA;Muito Baixa Vulnerabilidade;5497;2087;17
IBIRA;Baixa Vulnerabilidade;882;317;2
IBIRA;Média Vulnerabilidade;2127;815;6
IBIRA;Alta Vulnerabilidade;2807;1055;7
IBIRAREMA;Baixíssima Vulnerabilidade;342;138;1
IBIRAREMA;Muito Baixa Vulnerabilidade;2246;887;6
IBIRAREMA;Média Vulnerabilidade;1429;555;4
IBIRAREMA;Alta Vulnerabilidade;1912;675;5
IBIRAREMA;Muito Alta Vulnerabilidade;268;87;1
IBITINGA;Baixíssima Vulnerabilidade;275;95;1
IBITINGA;Muito Baixa Vulnerabilidade;22920;8791;57
