cod_ibge;grupo_ipvs;n_pessoas;n_domicilios;n_setores
3501806;Alta Vulnerabilidade;1495;598;2
3501806;Muito Alta Vulnerabilidade;0;0;0
3501905;Baixíssima Vulnerabilidade;1508;559;3
3501905;Muito Baixa Vulnerabilidade;40931;14957;82
3501905;Baixa Vulnerabilidade;8588;3274;15
3501905;Média Vulnerabilidade;4105;1446;13
3501905;Alta Vulnerabilidade;10970;3724;17
3501905;Muito Alta Vulnerabilidade;359;110;1
3502002;Baixíssima Vulnerabilidade;0;0;0
3502002;Muito Baixa Vulnerabilidade;3885;1430;12
3502002;Baixa Vulnerabilidade;0;0;0
3502002;Média Vulnerabilidade;236;75;1
3502002;Alta Vulnerabilidade;352;135;1
3502002;Muito Alta Vulnerabilidade;0;0;0
3502101;Baixíssima Vulnerabilidade;609;224;1
3502101;Muito Baixa Vulnerabilidade;31310;12137;58
3502101;Baixa Vulnerabilidade;3364;1217;7
3502101;Média Vulnerabilidade;11671;4360;25
3502101;Alta Vulnerabilidade;10572;3831;20
3502101;Muito Alta Vulnerabilidade;0;0;0
3502200;Baixíssima Vulnerabilidade;0;0;0
3502200;Muito Baixa Vulnerabilidade;10341;3676;19
3502200;Baixa Vulnerabilidade;1885;692;4
3502200;Média Vulnerabilidade;7650;2752;16
3502200;Alta Vulnerabilidade;3661;1230;6
3502200;Muito Alta Vulnerabilidade;0;0;0
3502309;Baixíssima Vulnerabilidade;0;0;0
3502309;Muito Baixa Vulnerabilidade;709;284;5
3502309;Baixa Vulnerabilidade;144;54;1
3502309;Média Vulnerabilidade;1335;486;6
3502309;Alta Vulnerabilidade;2852;1006;7
3502309;Muito Alta Vulnerabilidade;0;0;0
3502408;Baixíssima Vulnerabilidade;0;0;0
3502408;Muito Baixa Vulnerabilidade;1851;709;5
3502408;Baixa Vulnerabilidade;0;0;0
3502408;Média Vulnerabilidade;1465;546;2
3502408;Alta Vulnerabilidade;306;101;1
3502408;Muito Alta Vulnerabilidade;0;0;0
3502507;Baixíssima Vulnerabilidade;0;0;0
3502507;Muito Baixa Vulnerabilidade;18165;6523;42
3502507;Baixa Vulnerabilidade;1005;448;2
3502507;Média Vulnerabilidade;8566;2825;16
3502507;Alta Vulnerabilidade;4222;1440;7
3502507;Muito Alta Vulnerabilidade;0;0;0
3502606;Baixíssima Vulnerabilidade;0;0;0
3502606;Muito Baixa Vulnerabilidade;455;176;2
3502606;Baixa Vulnerabilidade;0;0;0
3502606;Média Vulnerabilidade;2572;1031;9
3502606;Alta Vulnerabilidade;899;360;2
3502606;Muito Alta Vulnerabilidade;0;0;0
3502705;Baixíssima Vulnerabilidade;0;0;0
3502705;Muito Baixa Vulnerabilidade;4816;1775;13
3502705;Baixa Vulnerabilidade;2674;1007;5
3502705;Média Vulnerabilidade;8552;3056;30
3502705;Alta Vulnerabilidade;7769;2736;22
3502705;Muito Alta Vulnerabilidade;0;0;0
3502754;Baixíssima Vulnerabilidade;81;38;1
3502754;Muito Baixa Vulnerabilidade;4149;1451;14
3502754;Baixa Vulnerabilidade;4163;1469;6
3502754;Média Vulnerabilidade;2719;918;9
3502754;Alta Vulnerabilidade;9923;3388;14
3502754;Muito Alta Vulnerabilidade;0;0;0
3502804;Baixíssima Vulnerabilidade;14191;5808;38
3502804;Muito Baixa Vulnerabilidade;102317;40004;255
3502804;Baixa Vulnerabilidade;29932;12678;78
3502804;Média Vulnerabilidade;17871;6668;42
3502804;Alta Vulnerabilidade;34305;12274;71
3502804;Muito Alta Vulnerabilidade;0;0;0
3502903;Baixíssima Vulnerabilidade;2179;746;3
3502903;Muito Baixa Vulnerabilidade;18798;7049;52
3502903;Baixa Vulnerabilidade;3030;1042;8
3502903;Média Vulnerabilidade;6176;2166;16
3502903;Alta Vulnerabilidade;1404;501;5
3502903;Muito Alta Vulnerabilidade;0;0;0
3503000;Baixíssima Vulnerabilidade;0;0;0
3503000;Muito Baixa Vulnerabilidade;3302;1229;7
3503000;Baixa Vulnerabilidade;0;0;0
3503000;Média Vulnerabilidade;1703;622;4
3503000;Alta Vulnerabilidade;0;0;0
3503000;Muito Alta Vulnerabilidade;0;0;0
3503109;Baixíssima Vulnerabilidade;0;0;0
3503109;Muito Baixa Vulnerabilidade;700;246;4
3503109;Baixa Vulnerabilidade;941;319;3
3503109;Média Vulnerabilidade;3174;1144;10
3503109;Alta Vulnerabilidade;1632;534;3
3503109;Muito Alta Vulnerabilidade;0;0;0
3503158;Baixíssima Vulnerabilidade;0;0;0
3503158;Muito Baixa Vulnerabilidade;245;91;1
3503158;Baixa Vulnerabilidade;0;0;0
3503158;Média Vulnerabilidade;2005;770;7
3503158;Alta Vulnerabilidade;0;0;0
3503158;Muito Alta Vulnerabilidade;0;0;0
3503208;Baixíssima Vulnerabilidade;16029;5974;38
3503208;Muito Baixa Vulnerabilidade;128749;49861;282
3503208;Baixa Vulnerabilidade;40454;17404;99
3503208;Média Vulnerabilidade;19914;7094;37
3503208;Alta Vulnerabilidade;33884;11690;55
3503208;Muito Alta Vulnerabilidade;0;0;0
3503307;Baixíssima Vulnerabilidade;5860;2142;19
3503307;Muito Baixa Vulnerabilidade;69435;25869;185
3503307;Baixa Vulnerabilidade;14998;6109;34
3503307;Média Vulnerabilidade;24464;8378;53
3503307;Alta Vulnerabilidade;13974;4802;30
3503307;Muito Alta Vulnerabilidade;0;0;0
3503356;Baixíssima Vulnerabilidade;0;0;0
3503356;Muito Baixa Vulnerabilidade;0;0;0
3503356;Baixa Vulnerabilidade;0;0;0
3503356;Média Vulnerabilidade;1426;519;4
3503356;Alta Vulnerabilidade;0;0;0
3503356;Muito Alta Vulnerabilidade;0;0;0
3503406;Baixíssima Vulnerabilidade;0;0;0
3503406;Muito Baixa Vulnerabilidade;4578;1786;15
3503406;Baixa Vulnerabilidade;0;0;0
3503406;Média Vulnerabilidade;1916;698;4
3503406;Alta Vulnerabilidade;1331;492;3
3503406;Muito Alta Vulnerabilidade;0;0;0
3503505;Baixíssima Vulnerabilidade;0;0;0
3503505;Muito Baixa Vulnerabilidade;389;147;2
3503505;Baixa Vulnerabilidade;0;0;0
3503505;Média Vulnerabilidade;1926;678;6
3503505;Alta Vulnerabilidade;1090;367;5
3503505;Muito Alta Vulnerabilidade;0;0;0
3503604;Baixíssima Vulnerabilidade;0;0;0
3503604;Muito Baixa Vulnerabilidade;2144;743;4
3503604;Baixa Vulnerabilidade;0;0;0
3503604;Média Vulnerabilidade;3805;1305;9
3503604;Alta Vulnerabilidade;3791;1223;7
3503604;Muito Alta Vulnerabilidade;0;0;0
3503703;Baixíssima Vulnerabilidade;0;0;0
3503703;Muito Baixa Vulnerabilidade;3413;1322;7
3503703;Baixa Vulnerabilidade;0;0;0
3503703;Média Vulnerabilidade;3863;1436;7
3503703;Alta Vulnerabilidade;0;0;0
3503703;Muito Alta Vulnerabilidade;0;0;0
3503802;Baixíssima Vulnerabilidade;1655;608;3
3503802;Muito Baixa Vulnerabilidade;21880;7842;59
3503802;Baixa Vulnerabilidade;3188;1127;8
3503802;Média Vulnerabilidade;7329;2566;17
3503802;Alta Vulnerabilidade;16891;5832;29
3503802;Muito Alta Vulnerabilidade;0;0;0
3503901;Baixíssima Vulnerabilidade;7766;2520;15
3503901;Muito Baixa Vulnerabilidade;34177;11984;59
3503901;Baixa Vulnerabilidade;9320;3164;16
3503901;Média Vulnerabilidade;9484;3230;16
3503901;Alta Vulnerabilidade;23388;7676;38
3503901;Muito Alta Vulnerabilidade;1368;409;5
3503950;Baixíssima Vulnerabilidade;0;0;0
3503950;Muito Baixa Vulnerabilidade;210;72;1
3503950;Baixa Vulnerabilidade;0;0;0
3503950;Média Vulnerabilidade;1562;583;4
3503950;Alta Vulnerabilidade;0;0;0
3503950;Muito Alta Vulnerabilidade;0;0;0
3504008;Baixíssima Vulnerabilidade;3879;1469;8
3504008;Muito Baixa Vulnerabilidade;56870;22296;114
3504008;Baixa Vulnerabilidade;15013;5862;27
3504008;Média Vulnerabilidade;12201;4486;22
3504008;Alta Vulnerabilidade;11174;3784;22
3504008;Muito Alta Vulnerabilidade;0;0;0
3504107;Baixíssima Vulnerabilidade;14891;5452;39
3504107;Muito Baixa Vulnerabilidade;86409;31513;192
3504107;Baixa Vulnerabilidade;12458;4374;30
3504107;Média Vulnerabilidade;17459;5985;48
3504107;Alta Vulnerabilidade;18511;6489;40
3504107;Muito Alta Vulnerabilidade;5278;1743;15
3504206;Baixíssima Vulnerabilidade;0;0;0
3504206;Muito Baixa Vulnerabilidade;4748;1902;16
3504206;Baixa Vulnerabilidade;393;149;1
3504206;Média Vulnerabilidade;7053;2774;14
3504206;Alta Vulnerabilidade;1362;530;2
3504206;Muito Alta Vulnerabilidade;0;0;0
3504305;Baixíssima Vulnerabilidade;0;0;0
3504305;Muito Baixa Vulnerabilidade;530;194;2
3504305;Baixa Vulnerabilidade;549;218;1
3504305;Média Vulnerabilidade;1882;716;4
3504305;Alta Vulnerabilidade;820;299;1
3504305;Muito Alta Vulnerabilidade;0;0;0
3504404;Baixíssima Vulnerabilidade;0;0;0
3504404;Muito Baixa Vulnerabilidade;2149;766;4
3504404;Baixa Vulnerabilidade;401;143;2
3504404;Média Vulnerabilidade;2711;982;5
3504404;Alta Vulnerabilidade;4471;1559;8
3504404;Muito Alta Vulnerabilidade;0;0;0
3504503;Baixíssima Vulnerabilidade;2971;1065;7
3504503;Muito Baixa Vulnerabilidade;43781;16912;123
3504503;Baixa Vulnerabilidade;12207;4647;35
3504503;Média Vulnerabilidade;11828;4154;30
3504503;Alta Vulnerabilidade;18847;6372;40
3504503;Muito Alta Vulnerabilidade;84;24;1
3504602;Baixíssima Vulnerabilidade;687;230;2
3504602;Muito Baixa Vulnerabilidade;19473;7094;37
3504602;Baixa Vulnerabilidade;5250;1915;7
3504602;Média Vulnerabilidade;0;0;0
3504602;Alta Vulnerabilidade;1617;640;4
3504602;Muito Alta Vulnerabilidade;0;0;0
3504701;Baixíssima Vulnerabilidade;0;0;0
3504701;Muito Baixa Vulnerabilidade;1188;482;3
3504701;Baixa Vulnerabilidade;0;0;0
3504701;Média Vulnerabilidade;0;0;0
3504701;Alta Vulnerabilidade;170;57;1
3504701;Muito Alta Vulnerabilidade;0;0;0
3504800;Baixíssima Vulnerabilidade;0;0;0
3504800;Muito Baixa Vulnerabilidade;4977;1960;13
3504800;Baixa Vulnerabilidade;0;0;0
3504800;Média Vulnerabilidade;4034;1545;8
3504800;Alta Vulnerabilidade;506;174;1
3504800;Muito Alta Vulnerabilidade;0;0;0
3504909;Baixíssima Vulnerabilidade;0;0;0
3504909;Muito Baixa Vulnerabilidade;5035;1947;14
3504909;Baixa Vulnerabilidade;0;0;0
3504909;Média Vulnerabilidade;3598;1292;13
3504909;Alta Vulnerabilidade;314;112;2
3504909;Muito Alta Vulnerabilidade;850;307;2
3505005;Baixíssima Vulnerabilidade;0;0;0
3505005;Muito Baixa Vulnerabilidade;0;0;0
3505005;Baixa Vulnerabilidade;277;112;1
3505005;Média Vulnerabilidade;805;308;4
3505005;Alta Vulnerabilidade;2137;819;5
3505005;Muito Alta Vulnerabilidade;0;0;0
3505104;Baixíssima Vulnerabilidade;0;0;0
3505104;Muito Baixa Vulnerabilidade;0;0;0
3505104;Baixa Vulnerabilidade;0;0;0
3505104;Média Vulnerabilidade;1266;479;4
3505104;Alta Vulnerabilidade;4176;1553;8
3505104;Muito Alta Vulnerabilidade;0;0;0
3505203;Baixíssima Vulnerabilidade;0;0;0
3505203;Muito Baixa Vulnerabilidade;16125;6351;42
3505203;Baixa Vulnerabilidade;2471;897;6
3505203;Média Vulnerabilidade;7610;2689;15
3505203;Alta Vulnerabilidade;5062;1710;9
3505203;Muito Alta Vulnerabilidade;0;0;0
3505302;Baixíssima Vulnerabilidade;413;152;1
3505302;Muito Baixa Vulnerabilidade;23713;9188;52
3505302;Baixa Vulnerabilidade;925;332;2
3505302;Média Vulnerabilidade;7037;2483;13
3505302;Alta Vulnerabilidade;1873;631;3
3505302;Muito Alta Vulnerabilidade;0;0;0
3505351;Baixíssima Vulnerabilidade;0;0;0
3505351;Muito Baixa Vulnerabilidade;0;0;0
3505351;Baixa Vulnerabilidade;0;0;0
3505351;Média Vulnerabilidade;1227;473;5
3505351;Alta Vulnerabilidade;3850;1367;13
3505351;Muito Alta Vulnerabilidade;0;0;0
3505401;Baixíssima Vulnerabilidade;0;0;0
3505401;Muito Baixa Vulnerabilidade;0;0;0
3505401;Baixa Vulnerabilidade;0;0;0
3505401;Média Vulnerabilidade;2683;1024;11
3505401;Alta Vulnerabilidade;2553;960;5
3505401;Muito Alta Vulnerabilidade;0;0;0
3505500;Baixíssima Vulnerabilidade;3877;1332;6
3505500;Muito Baixa Vulnerabilidade;61406;23680;113
3505500;Baixa Vulnerabilidade;32172;12398;51
3505500;Média Vulnerabilidade;7104;2527;15
3505500;Alta Vulnerabilidade;17362;6363;27
3505500;Muito Alta Vulnerabilidade;0;0;0
3505609;Baixíssima Vulnerabilidade;0;0;0
3505609;Muito Baixa Vulnerabilidade;4034;1474;10
3505609;Baixa Vulnerabilidade;1104;393;3
3505609;Média Vulnerabilidade;13519;4703;24
3505609;Alta Vulnerabilidade;13123;4532;23
3505609;Muito Alta Vulnerabilidade;0;0;0
3505708;Baixíssima Vulnerabilidade;53858;20720;96
3505708;Muito Baixa Vulnerabilidade;113228;37114;158
3505708;Baixa Vulnerabilidade;72392;25027;97
3505708;Média Vulnerabilidade;26383;8876;36
3505708;Alta Vulnerabilidade;41330;14696;55
3505708;Muito Alta Vulnerabilidade;8717;2925;18
3505807;Baixíssima Vulnerabilidade;0;0;0
3505807;Muito Baixa Vulnerabilidade;8277;2949;20
3505807;Baixa Vulnerabilidade;1815;640;6
3505807;Média Vulnerabilidade;5488;1951;13
3505807;Alta Vulnerabilidade;5695;1928;13
3505807;Muito Alta Vulnerabilidade;0;0;0
3505906;Baixíssima Vulnerabilidade;707;245;1
3505906;Muito Baixa Vulnerabilidade;36464;13767;70
3505906;Baixa Vulnerabilidade;1335;459;3
3505906;Média Vulnerabilidade;11419;4094;22
3505906;Alta Vulnerabilidade;7798;2673;13
3505906;Muito Alta Vulnerabilidade;0;0;0
3506003;Baixíssima Vulnerabilidade;31390;12691;57
3506003;Muito Baixa Vulnerabilidade;187380;69922;314
3506003;Baixa Vulnerabilidade;75047;31021;134
3506003;Média Vulnerabilidade;18276;6200;22
3506003;Alta Vulnerabilidade;51690;17630;72
3506003;Muito Alta Vulnerabilidade;6043;1990;17
3506102;Baixíssima Vulnerabilidade;1727;676;5
3506102;Muito Baixa Vulnerabilidade;46410;17510;96
3506102;Baixa Vulnerabilidade;7851;2898;14
3506102;Média Vulnerabilidade;7668;2726;15
3506102;Alta Vulnerabilidade;12188;4125;18
3506102;Muito Alta Vulnerabilidade;0;0;0
3506201;Baixíssima Vulnerabilidade;0;0;0
3506201;Muito Baixa Vulnerabilidade;702;263;2
3506201;Baixa Vulnerabilidade;431;164;1
3506201;Média Vulnerabilidade;773;262;2
3506201;Alta Vulnerabilidade;500;164;2
3506201;Muito Alta Vulnerabilidade;0;0;0
3506300;Baixíssima Vulnerabilidade;0;0;0
3506300;Muito Baixa Vulnerabilidade;4683;1754;11
3506300;Baixa Vulnerabilidade;1060;373;2
3506300;Média Vulnerabilidade;1109;413;2
3506300;Alta Vulnerabilidade;3679;1339;7
3506300;Muito Alta Vulnerabilidade;0;0;0
3506359;Baixíssima Vulnerabilidade;466;182;2
3506359;Muito Baixa Vulnerabilidade;17707;6734;65
3506359;Baixa Vulnerabilidade;13588;4793;35
3506359;Média Vulnerabilidade;2925;1017;11
3506359;Alta Vulnerabilidade;9748;3200;23
3506359;Muito Alta Vulnerabilidade;15994;5486;36
3506409;Baixíssima Vulnerabilidade;0;0;0
3506409;Muito Baixa Vulnerabilidade;3729;1447;10
3506409;Baixa Vulnerabilidade;785;299;2
3506409;Média Vulnerabilidade;1024;400;3
3506409;Alta Vulnerabilidade;1696;632;4
3506409;Muito Alta Vulnerabilidade;0;0;0
3506508;Baixíssima Vulnerabilidade;4431;1603;12
3506508;Muito Baixa Vulnerabilidade;57115;22234;135
3506508;Baixa Vulnerabilidade;12557;5069;27
3506508;Média Vulnerabilidade;27889;10542;60
3506508;Alta Vulnerabilidade;16271;5788;33
3506508;Muito Alta Vulnerabilidade;0;0;0
3506607;Baixíssima Vulnerabilidade;0;0;0
3506607;Muito Baixa Vulnerabilidade;7209;2576;17
3506607;Baixa Vulnerabilidade;678;236;1
3506607;Média Vulnerabilidade;13036;4650;38
3506607;Alta Vulnerabilidade;5261;1797;12
3506607;Muito Alta Vulnerabilidade;2176;731;5
3506706;Baixíssima Vulnerabilidade;0;0;0
3506706;Muito Baixa Vulnerabilidade;2517;969;8
3506706;Baixa Vulnerabilidade;657;239;2
3506706;Média Vulnerabilidade;4766;1673;8
3506706;Alta Vulnerabilidade;4901;1731;8
3506706;Muito Alta Vulnerabilidade;0;0;0
3506805;Baixíssima Vulnerabilidade;0;0;0
3506805;Muito Baixa Vulnerabilidade;3537;1391;9
3506805;Baixa Vulnerabilidade;1303;451;3
3506805;Média Vulnerabilidade;4024;1417;8
3506805;Alta Vulnerabilidade;2041;704;4
3506805;Muito Alta Vulnerabilidade;0;0;0
3506904;Baixíssima Vulnerabilidade;0;0;0
3506904;Muito Baixa Vulnerabilidade;2323;899;7
3506904;Baixa Vulnerabilidade;322;115;1
3506904;Média Vulnerabilidade;3576;1367;14
