municipio;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
;Aguiar;-7,0918;-38,1681;;25;1903;83;America/Sao_Paulo
;Aguiarnópolis;-6,55409;-47,4702;;17;72;63;America/Sao_Paulo
;Aimorés;-19,5007;-41,0746;;31;4021;33;America/Sao_Paulo
;Aiquara;-14,1269;-39,8937;;29;3311;73;America/Sao_Paulo
;Aiuaba;-6,57122;-40,1178;;23;1307;88;America/Sao_Paulo
;Aiuruoca;-21,9736;-44,6042;;31;4023;35;America/Sao_Paulo
;Ajuricaba;-28,2342;-53,7757;;43;8503;55;America/Sao_Paulo
;Alagoa;-22,171;-44,6413;;31;4025;35;America/Sao_Paulo
;Alagoa Grande;-7,03943;-35,6206;;25;1905;83;America/Sao_Paulo
;Alagoa Nova;-7,05377;-35,7591;;25;1907;83;America/Sao_Paulo
;Alagoinha;-6,94657;-35,5332;;25;1909;83;America/Sao_Paulo
;Alagoinha;-8,4665;-36,7788;;26;2311;87;America/Sao_Paulo
;Alagoinha do Piauí;-7,00039;-40,9282;;22;9767;89;America/Sao_Paulo
;Alagoinhas;-12,1335;-38,4208;;29;3313;75;America/Sao_Paulo
ALAMBARI;Alambari;-23,5503;-47,898;;35;2995;15;America/Sao_Paulo
;Albertina;-22,2018;-46,6139;;31;4027;35;America/Sao_Paulo
;Alcântara;-2,39574;-44,4062;;21;703;98;America/Sao_Paulo
;Alcântaras;-3,58537;-40,5479;;23;1309;88;America/Sao_Paulo
;Alcantil;-7,73668;-36,0511;;25;440;83;America/Sao_Paulo
;Alcinópolis;-18,3255;-53,7042;;50;141;67;America/Porto_Velho
;Alcobaça;-17,5195;-39,2036;;29;3315;73;America/Sao_Paulo
;Aldeias Altas;-4,62621;-43,4689;;21;705;99;America/Sao_Paulo
;Alecrim;-27,6579;-54,7649;;43;8505;55;America/Sao_Paulo
;Alegre;-20,758;-41,5382;;32;5603;28;America/Sao_Paulo
;Alegrete;-29,7902;-55,7949;;43;8507;55;America/Sao_Paulo
;Alegrete do Piauí;-7,24196;-40,8566;;22;2269;89;America/Sao_Paulo
;Alegria;-27,8345;-54,0557;;43;8497;55;America/Sao_Paulo
;Além Paraíba;-21,8797;-42,7176;;31;4029;32;America/Sao_Paulo
;Alenquer;-1,94623;-54,7384;;15;407;93;America/Sao_Paulo
;Alexandria;-6,40533;-38,0142;;24;1609;84;America/Sao_Paulo
;Alexânia;-16,0834;-48,5076;;52;9205;62;America/Sao_Paulo
;Alfenas;-21,4256;-45,9477;;31;4031;35;America/Sao_Paulo
;Alfredo Chaves;-20,6396;-40,7543;;32;5605;27;America/Sao_Paulo
ALFREDO MARCONDES;Alfredo Marcondes;-21,9527;-51,414;;35;6115;18;America/Sao_Paulo
;Alfredo Vasconcelos;-21,1535;-43,7718;;31;2681;32;America/Sao_Paulo
;Alfredo Wagner;-27,7001;-49,3273;;42;8013;48;America/Sao_Paulo
;Algodão de Jandaíra;-6,89292;-36,0129;;25;442;83;America/Sao_Paulo
;Alhandra;-7,42977;-34,9057;;25;1911;83;America/Sao_Paulo
;Aliança;-7,60398;-35,2227;;26;2313;81;America/Sao_Paulo
;Aliança do Tocantins;-11,3056;-48,9361;;17;9441;63;America/Sao_Paulo
;Almadina;-14,7089;-39,6415;;29;3317;73;America/Sao_Paulo
;Almas;-11,5706;-47,1792;;17;9207;63;America/Sao_Paulo
;Almeirim;-1,52904;-52,5788;;15;409;93;America/Sao_Paulo
;Almenara;-16,1785;-40,6942;;31;4033;33;America/Sao_Paulo
;Almino Afonso;-6,1475;-37,7636;;24;1611;84;America/Sao_Paulo
;Almirante Tamandaré;-25,3188;-49,3037;;41;7407;41;America/Sao_Paulo
;Almirante Tamandaré do Sul;-28,1149;-52,9142;;43;1120;54;America/Sao_Paulo
;Aloândia;-17,7292;-49,4769;;52;9209;64;America/Sao_Paulo
;Alpercata;-18,974;-41,97;;31;4035;33;America/Sao_Paulo
;Alpestre;-27,2502;-53,0341;;43;8509;55;America/Sao_Paulo
;Alpinópolis;-20,8631;-46,3878;;31;4037;35;America/Sao_Paulo
;Alta Floresta;-9,86674;-56,0867;;51;8987;66;America/Porto_Velho
;Alta Floresta D'Oeste;-11,9283;-61,9953;;11;33;69;America/Porto_Velho
ALTAIR;Altair;-20,5242;-49,0571;;35;6117;17;America/Sao_Paulo
;Altamira;-3,20407;-52,21;;15;411;93;America/Sao_Paulo
;Altamira do Maranhão;-4,16598;-45,4706;;21;707;98;America/Sao_Paulo
;Altamira do Paraná;-24,7983;-52,7128;;41;8455;44;America/Sao_Paulo
;Altaneira;-6,99837;-39,7356;;23;1311;88;America/Sao_Paulo
;Alterosa;-21,2488;-46,1387;;31;4039;35;America/Sao_Paulo
;Altinho;-8,48482;-36,0644;;26;2315;81;America/Sao_Paulo
ALTINOPOLIS;Altinópolis;-21,0214;-47,3712;;35;6119;16;America/Sao_Paulo
ALTO ALEGRE;Alto Alegre;-21,5811;-50,168;;35;6121;18;America/Sao_Paulo
;Alto Alegre;2,98858;-61,3072;;14;305;95;America/Porto_Velho
;Alto Alegre;-28,7769;-52,9893;;43;8495;54;America/Sao_Paulo
;Alto Alegre do Maranhão;-4,213;-44,446;;21;106;99;America/Sao_Paulo
;Alto Alegre do Pindaré;-3,66689;-45,8421;;21;108;98;America/Sao_Paulo
;Alto Alegre dos Parecis;-12,132;-61,835;;11;2;69;America/Porto_Velho
;Alto Araguaia;-17,3153;-53,2181;;51;9005;66;America/Porto_Velho
;Alto Bela Vista;-27,4333;-51,9044;;42;886;49;America/Sao_Paulo
;Alto Boa Vista;-11,6732;-51,3883;;51;127;66;America/Porto_Velho
;Alto Caparaó;-20,431;-41,8738;;31;564;32;America/Sao_Paulo
;Alto do Rodrigues;-5,28186;-36,75;;24;1613;84;America/Sao_Paulo
;Alto Feliz;-29,3919;-51,3123;;43;6045;51;America/Sao_Paulo
;Alto Garças;-16,9462;-53,5272;;51;9007;66;America/Porto_Velho
;Alto Horizonte;-14,1978;-49,3378;;52;85;62;America/Sao_Paulo
;Alto Jequitibá;-20,4208;-41,967;;31;5069;33;America/Sao_Paulo
;Alto Longá;-5,25634;-42,2096;;22;1005;86;America/Sao_Paulo
;Alto Paraguai;-14,5137;-56,4776;;51;9009;65;America/Porto_Velho
;Alto Paraíso;-26,1146;-52,7469;;41;5523;44;America/Sao_Paulo
;Alto Paraíso;-9,71429;-63,3188;;11;675;69;America/Porto_Velho
;Alto Paraíso de Goiás;-14,1305;-47,51;;52;9211;62;America/Sao_Paulo
;Alto Paraná;-23,1312;-52,3189;;41;7409;44;America/Sao_Paulo
;Alto Parnaíba;-9,10273;-45,9303;;21;709;99;America/Sao_Paulo
;Alto Piquiri;-24,0224;-53,44;;41;7411;44;America/Sao_Paulo
;Alto Rio Doce;-21,0281;-43,4067;;31;4041;32;America/Sao_Paulo
;Alto Rio Novo;-19,0618;-41,0209;;32;5719;27;America/Sao_Paulo
;Alto Santo;-5,50894;-38,2743;;23;1313;88;America/Sao_Paulo
;Alto Taquari;-17,8241;-53,2792;;51;9911;66;America/Porto_Velho
;Altônia;-23,8759;-53,8958;;41;7951;44;America/Sao_Paulo
;Altos;-5,03888;-42,4612;;22;1007;86;America/Sao_Paulo
ALUMINIO;Alumínio;-23,5306;-47,2546;;35;3065;11;America/Sao_Paulo
;Alvarães;-3,22727;-64,8007;;13;289;97;America/Porto_Velho
;Alvarenga;-19,4174;-41,7317;;31;4043;33;America/Sao_Paulo
ALVARES FLORENCE;Álvares Florence;-20,3203;-49,9141;;35;6123;17;America/Sao_Paulo
ALVARES MACHADO;Álvares Machado;-22,0764;-51,4722;;35;6125;18;America/Sao_Paulo
ALVARO DE CARVALHO;Álvaro de Carvalho;-22,0841;-49,719;;35;6127;14;America/Sao_Paulo
ALVINLANDIA;Alvinlândia;-22,4435;-49,7623;;35;6129;14;America/Sao_Paulo
;Alvinópolis;-20,1098;-43,0535;;31;4045;31;America/Sao_Paulo
;Alvorada;-12,4785;-49,1249;;17;9213;63;America/Sao_Paulo
;Alvorada;-29,9914;-51,0809;;43;8511;51;America/Sao_Paulo
;Alvorada D'Oeste;-11,3463;-62,2847;;11;35;69;America/Porto_Velho
;Alvorada de Minas;-18,7334;-43,3638;;31;4047;31;America/Sao_Paulo
;Alvorada do Gurguéia;-8,42418;-43,777;;22;268;89;America/Sao_Paulo
;Alvorada do Norte;-14,4797;-46,491;;52;9215;62;America/Sao_Paulo
;Alvorada do Sul;-22,7813;-51,2297;;41;7413;43;America/Sao_Paulo
;Amajari;3,64571;-61,3692;;14;26;95;America/Porto_Velho
;Amambai;-23,1058;-55,2253;;50;9011;67;America/Porto_Velho
;Amapá;2,05267;-50,7957;;16;601;96;America/Sao_Paulo
;Amapá do Maranhão;-1,67524;-46,0024;;21;110;98;America/Sao_Paulo
;Amaporã;-23,0943;-52,7866;;41;7415;44;America/Sao_Paulo
;Amaraji;-8,37691;-35,4501;;26;2317;81;America/Sao_Paulo
;Amaral Ferrador;-30,8756;-52,2509;;43;8493;51;America/Sao_Paulo
;Amaralina;-13,9236;-49,2962;;52;1054;62;America/Sao_Paulo
;Amarante;-6,24304;-42,8433;;22;1009;86;America/Sao_Paulo
;Amarante do Maranhão;-5,56913;-46,7473;;21;711;99;America/Sao_Paulo
;Amargosa;-13,0215;-39,602;;29;3319;75;America/Sao_Paulo
;Amaturá;-3,37455;-68,2005;;13;291;97;America/Porto_Velho
;Amélia Rodrigues;-12,3914;-38,7563;;29;3321;75;America/Sao_Paulo
;América Dourada;-11,4429;-41,439;;29;3071;74;America/Sao_Paulo
AMERICANA;Americana;-22,7374;-47,3331;;35;6131;19;America/Sao_Paulo
;Americano do Brasil;-16,2514;-49,9831;;52;9661;64;America/Sao_Paulo
