municipio;instituicoes hospitalares
SAO JOSE DO RIO PRETO;170
SAO JOSE DOS CAMPOS;220
SAO LUIS DO PARAITINGA;10
SAO MANUEL;10
SAO MIGUEL ARCANJO;10
SAO PAULO;2090
SAO PEDRO;10
SAO ROQUE;30
SAO SEBASTIAO;10
SAO SEBASTIAO DA GRAMA;10
SAO SIMAO;10
SAO VICENTE;40
SERRANA;20
SERRA NEGRA;10
SERTAOZINHO;20
SOCORRO;10
SOROCABA;110
SUD MENNUCCI;10
SUMARE;10
SUZANO;30
TABAPUA;10
TABATINGA;10
TABOAO DA SERRA;40
TAGUAI;10
TAMBAU;10
TANABI;10
TAPIRATIBA;10
TAQUARITINGA;10
TAQUARITUBA;10
TATUI;20
TAUBATE;40
TEODORO SAMPAIO;10
TERRA ROXA;10
TIETE;10
TORRINHA;10
TREMEMBE;10
TUPA;20
TUPI PAULISTA;10
UBATUBA;10
URANIA;10
URUPES;10
VALINHOS;20
VALPARAISO;10
VARGEM GRANDE DO SUL;10
VARZEA PAULISTA;10
VINHEDO;10
VIRADOURO;10
VOTORANTIM;20
VOTUPORANGA;20
CHAVANTES;10
FONTE: MINISTERIO DA SAUDE - CADASTRO NACIONAL DOS ESTABELECIMENTOS DE SAUDE DO BRASIL - CNES;
NOTA:;
- OS DADOS RELATIVOS AO CADASTRO NACIONAL DE ESTABELECIMENTOS DE SAUDE (CNES) EXIBIDOS NO TABNET REFEREM-SE AOS REGISTROS CONSTANTES NO BANCO DE DADOS NACIONAL DO CNES COM STATUS ATIVO.;
- A PARTIR DO PROCESSAMENTO DE JUNHO DE , HOUVE MUDANCA NA CLASSIFICACAO DA NATUREZA E ESFERA DOS ESTABELECIMENTOS. COM ISSO, TEMOS QUE:;
"ATE MAIO DE  ESTAS INFORMACOES ESTAO DISPONIVEIS COMO ""NATUREZA"" E ""ESFERA ADMINISTRATIVA"".";
"DE JUNHO DE  A OUTUBRO DE , ESTAO DISPONIVEIS TANTO COMO ""NATUREZA"" E ""ESFERA ADMINISTRATIVA"", COMO ""NATUREZA JURIDICA"" E ""ESFERA JURIDICA"".";
"A PARTIR DE NOVEMBRO DE , ESTAO DISPONIVEIS COMO ""NATUREZA JURIDICA"" E ""ESFERA JURIDICA"".";
