municipio;clinica_estadual;consultorio_estadual;diagnose_terapia_estadual;hospital_estadual;outros_estadual;pronto_atendimento_estadual;saude_mental_estadual;ubs_estadual;unidade_movel_estadual;vigilancia_estadual;clinica_federal;consultorio_federal;diagnose_terapia_federal;hospital_federal;outros_federal;pronto_atendimento_federal;saude_mental_federal;ubs_federal;unidade_movel_federal;vigilancia_federal;clinica_municipal;consultorio_municipal;diagnose_terapia_municipal;hospital_municipal;outros_municipal;pronto_atendimento_municipal;saude_mental_municipal;ubs_municipal;unidade_movel_municipal;vigilancia_municipal;clinica_particular;consultorio_particular;diagnose_terapia_particular;hospital_particular;outros_particular;pronto_atendimento_particular;saude_mental_particular;ubs_particular;unidade_movel_particular;vigilancia_particular;clinica_total;consultorio_total;diagnose_terapia_total;hospital_total;outros_total;pronto_atendimento_total;saude_mental_total;ubs_total;unidade_movel_total;vigilancia_total
ALUMINIO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;6.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;5.0;1.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0
ALVARES FLORENCE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0
ALVARES MACHADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;1.0;7.0;0.0;0.0;3.0;5.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;4.0;1.0;3.0;0.0;1.0;7.0;0.0;0.0
ALVARO DE CARVALHO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0
ALVINLANDIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0
AMERICANA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;5.0;3.0;3.0;21.0;0.0;1.0;46.0;968.0;52.0;5.0;9.0;0.0;0.0;0.0;0.0;0.0;50.0;968.0;52.0;6.0;14.0;3.0;3.0;22.0;1.0;1.0
AMERICO BRASILIENSE;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0;1.0;6.0;2.0;2.0;3.0;11.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;11.0;1.0;2.0;6.0;1.0;1.0;6.0;2.0;2.0
AMERICO DE CAMPOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0
AMPARO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;5.0;1.0;2.0;16.0;1.0;1.0;18.0;223.0;37.0;3.0;6.0;1.0;0.0;0.0;1.0;0.0;25.0;223.0;38.0;3.0;11.0;2.0;2.0;16.0;2.0;1.0
ANALANDIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0
ANDRADINA;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;4.0;1.0;2.0;6.0;0.0;2.0;11.0;258.0;10.0;2.0;7.0;1.0;0.0;0.0;22.0;0.0;18.0;258.0;11.0;2.0;11.0;2.0;2.0;7.0;22.0;2.0
APIAI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;3.0;0.0;1.0;9.0;1.0;0.0;0.0;26.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;26.0;4.0;1.0;3.0;0.0;1.0;9.0;1.0;0.0
ARACARIGUAMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;3.0;1.0;0.0;2.0;11.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;11.0;2.0;0.0;2.0;1.0;1.0;3.0;2.0;0.0
ARACATUBA;5.0;3.0;1.0;0.0;4.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;5.0;1.0;0.0;3.0;1.0;3.0;20.0;3.0;2.0;52.0;489.0;33.0;4.0;24.0;1.0;0.0;0.0;2.0;0.0;64.0;497.0;35.0;4.0;31.0;2.0;3.0;21.0;6.0;3.0
ARACOIABA DA SERRA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;1.0;1.0;8.0;0.0;0.0;5.0;9.0;2.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;9.0;2.0;8.0;5.0;1.0;1.0;8.0;0.0;0.0
