municipio;clinica_estadual;consultorio_estadual;diagnose_terapia_estadual;hospital_estadual;outros_estadual;pronto_atendimento_estadual;saude_mental_estadual;ubs_estadual;unidade_movel_estadual;vigilancia_estadual;clinica_federal;consultorio_federal;diagnose_terapia_federal;hospital_federal;outros_federal;pronto_atendimento_federal;saude_mental_federal;ubs_federal;unidade_movel_federal;vigilancia_federal;clinica_municipal;consultorio_municipal;diagnose_terapia_municipal;hospital_municipal;outros_municipal;pronto_atendimento_municipal;saude_mental_municipal;ubs_municipal;unidade_movel_municipal;vigilancia_municipal;clinica_particular;consultorio_particular;diagnose_terapia_particular;hospital_particular;outros_particular;pronto_atendimento_particular;saude_mental_particular;ubs_particular;unidade_movel_particular;vigilancia_particular;clinica_total;consultorio_total;diagnose_terapia_total;hospital_total;outros_total;pronto_atendimento_total;saude_mental_total;ubs_total;unidade_movel_total;vigilancia_total
BARRA DO TURVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;1.0;0.0
BARRETOS;2.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;1.0;0.0;6.0;1.0;1.0;18.0;4.0;1.0;34.0;242.0;11.0;5.0;5.0;1.0;0.0;0.0;1.0;0.0;42.0;243.0;12.0;6.0;16.0;2.0;1.0;18.0;5.0;1.0
BARRINHA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;0.0;2.0;0.0;0.0;7.0;1.0;3.0;5.0;21.0;4.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;10.0;21.0;6.0;0.0;2.0;1.0;0.0;8.0;1.0;3.0
BARUERI;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;6.0;1.0;2.0;8.0;6.0;3.0;21.0;0.0;2.0;106.0;514.0;21.0;6.0;18.0;1.0;0.0;0.0;1.0;0.0;114.0;520.0;22.0;9.0;26.0;7.0;3.0;21.0;1.0;2.0
BASTOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;6.0;1.0;1.0;6.0;0.0;1.0;8.0;14.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;14.0;4.0;1.0;6.0;1.0;1.0;6.0;0.0;1.0
BATATAIS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;0.0;5.0;1.0;1.0;9.0;2.0;1.0;6.0;275.0;9.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;10.0;276.0;10.0;1.0;11.0;2.0;1.0;9.0;2.0;1.0
BAURU;2.0;0.0;1.0;7.0;4.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;8.0;5.0;5.0;25.0;11.0;4.0;79.0;799.0;37.0;7.0;26.0;0.0;0.0;1.0;1.0;0.0;94.0;799.0;38.0;14.0;39.0;5.0;5.0;31.0;12.0;4.0
BEBEDOURO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;1.0;1.0;4.0;1.0;2.0;18.0;0.0;0.0;60.0;268.0;12.0;6.0;5.0;0.0;0.0;0.0;1.0;0.0;65.0;269.0;13.0;8.0;9.0;1.0;2.0;18.0;1.0;0.0
BENTO DE ABREU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
BERNARDINO DE CAMPOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;1.0;0.0;1.0;7.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.0;3.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0
BERTIOGA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;3.0;0.0;1.0;7.0;3.0;2.0;11.0;33.0;8.0;0.0;34.0;0.0;0.0;0.0;2.0;0.0;16.0;33.0;8.0;1.0;37.0;0.0;1.0;7.0;5.0;2.0
BILAC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0
BIRIGUI;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0;0.0;0.0;1.0;1.0;0.0;12.0;0.0;0.0;35.0;219.0;24.0;2.0;15.0;0.0;0.0;0.0;0.0;0.0;42.0;226.0;24.0;2.0;16.0;1.0;0.0;13.0;0.0;0.0
BIRITIBA-MIRIM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;1.0;6.0;1.0;1.0;2.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.0;1.0;0.0;3.0;1.0;1.0;6.0;1.0;1.0
BOA ESPERANCA DO SUL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;0.0;4.0;1.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;2.0;1.0;3.0;0.0;0.0;4.0;1.0;0.0
BOCAINA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;2.0;15.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;15.0;2.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0
BOFETE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;7.0;1.0;1.0
BOITUVA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;1.0;2.0;9.0;2.0;0.0;19.0;91.0;13.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;21.0;92.0;13.0;1.0;8.0;1.0;2.0;9.0;2.0;0.0
BOM JESUS DOS PERDOES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;1.0;12.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;5.0;0.0;2.0;0.0;0.0;4.0;1.0;0.0
BOM SUCESSO DE ITARARE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0
BORA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
BORACEIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0
BORBOREMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;6.0;0.0;0.0;7.0;18.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;18.0;3.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0
BOREBI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0
BOTUCATU;4.0;1.0;0.0;1.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;8.0;0.0;2.0;20.0;3.0;1.0;34.0;715.0;11.0;3.0;10.0;0.0;0.0;1.0;0.0;0.0;41.0;717.0;11.0;5.0;21.0;0.0;4.0;22.0;3.0;1.0
BRAGANCA PAULISTA;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;7.0;2.0;2.0;29.0;6.0;2.0;94.0;348.0;30.0;7.0;15.0;1.0;0.0;0.0;0.0;0.0;101.0;349.0;31.0;7.0;22.0;3.0;2.0;29.0;7.0;2.0
BRAUNA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0
BREJO ALEGRE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0
BRODOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;6.0;1.0;0.0;2.0;39.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;39.0;6.0;0.0;1.0;1.0;0.0;6.0;1.0;0.0
BROTAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;7.0;0.0;0.0;1.0;65.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;65.0;6.0;1.0;3.0;0.0;1.0;7.0;0.0;0.0
BURI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;1.0;1.0;9.0;0.0;0.0;1.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;0.0;7.0;1.0;1.0;9.0;0.0;0.0
BURITAMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;1.0;2.0;0.0;1.0;4.0;19.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;19.0;1.0;1.0;3.0;0.0;1.0;2.0;0.0;1.0
BURITIZAL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0
CABRALIA PAULISTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0
CABREUVA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;4.0;1.0;1.0;8.0;0.0;0.0;10.0;8.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;15.0;8.0;6.0;2.0;5.0;1.0;1.0;8.0;0.0;0.0
CACAPAVA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;6.0;1.0;3.0;21.0;3.0;3.0;20.0;287.0;7.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;25.0;287.0;7.0;4.0;11.0;1.0;3.0;21.0;3.0;3.0
CACHOEIRA PAULISTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;5.0;0.0;1.0;11.0;0.0;0.0;10.0;40.0;3.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;13.0;40.0;3.0;1.0;12.0;0.0;1.0;11.0;0.0;0.0
CACONDE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;7.0;0.0;0.0;5.0;23.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;23.0;8.0;1.0;3.0;0.0;0.0;7.0;0.0;0.0
CAFELANDIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;7.0;0.0;0.0;3.0;30.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;30.0;4.0;1.0;2.0;0.0;1.0;7.0;0.0;0.0
CAIABU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0
CAIEIRAS;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;1.0;2.0;16.0;0.0;3.0;27.0;42.0;6.0;2.0;5.0;1.0;0.0;1.0;0.0;0.0;31.0;42.0;6.0;3.0;9.0;2.0;2.0;17.0;0.0;3.0
CAIUA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;1.0
CAJAMAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;4.0;1.0;2.0;11.0;0.0;2.0;26.0;61.0;8.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;28.0;61.0;8.0;2.0;6.0;1.0;2.0;11.0;0.0;2.0
CAJATI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;6.0;1.0;1.0;11.0;1.0;1.0;6.0;14.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;14.0;4.0;0.0;6.0;1.0;1.0;11.0;1.0;1.0
CAJOBI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;3.0;0.0;0.0;3.0;1.0;0.0
CAJURU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;3.0;1.0;0.0;8.0;2.0;1.0;12.0;47.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;16.0;47.0;3.0;1.0;3.0;1.0;0.0;8.0;3.0;1.0
CAMPINA DO MONTE ALEGRE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0
CAMPINAS;1.0;2.0;1.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;2.0;2.0;13.0;4.0;14.0;71.0;17.0;8.0;331.0;2445.0;173.0;34.0;111.0;1.0;0.0;0.0;4.0;0.0;354.0;2447.0;176.0;37.0;129.0;5.0;14.0;71.0;21.0;8.0
CAMPO LIMPO PAULISTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;3.0;0.0;1.0;9.0;0.0;1.0;16.0;16.0;5.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;20.0;16.0;5.0;1.0;5.0;0.0;1.0;9.0;0.0;1.0
CAMPOS DO JORDAO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;1.0;15.0;3.0;1.0;8.0;57.0;6.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;11.0;57.0;6.0;2.0;4.0;0.0;1.0;15.0;4.0;1.0
CAMPOS NOVOS PAULISTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0
CANANEIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0
CANAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0
CANDIDO MOTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;1.0;6.0;0.0;0.0;4.0;57.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;57.0;16.0;1.0;5.0;0.0;1.0;6.0;0.0;0.0
CANDIDO RODRIGUES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
CANITAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0
CAPAO BONITO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;6.0;0.0;1.0;10.0;1.0;0.0;6.0;27.0;4.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;12.0;27.0;5.0;1.0;10.0;0.0;1.0;10.0;1.0;0.0
CAPELA DO ALTO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;4.0;0.0;0.0;2.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;1.0;0.0;2.0;1.0;1.0;6.0;0.0;0.0
CAPIVARI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;1.0;0.0;2.0;8.0;0.0;0.0;11.0;96.0;25.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;14.0;96.0;28.0;2.0;5.0;1.0;2.0;8.0;0.0;0.0
CARAGUATATUBA;0.0;0.0;0.0;2.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;6.0;3.0;2.0;13.0;4.0;1.0;48.0;116.0;25.0;4.0;18.0;0.0;0.0;1.0;3.0;0.0;57.0;122.0;27.0;6.0;25.0;3.0;2.0;16.0;7.0;2.0
CARAPICUIBA;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;5.0;2.0;3.0;17.0;9.0;2.0;33.0;73.0;13.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;38.0;73.0;13.0;2.0;8.0;2.0;3.0;17.0;9.0;2.0
CARDOSO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;6.0;1.0;0.0;0.0;10.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;3.0;1.0;2.0;0.0;0.0;6.0;1.0;0.0
CASA BRANCA;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;7.0;0.0;1.0;7.0;63.0;7.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;10.0;63.0;7.0;2.0;5.0;1.0;2.0;8.0;0.0;1.0
CASSIA DOS COQUEIROS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0
