municipio;acoes coletivas / individuais em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia de glandulas endocrinas;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;cirurgia em oncologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;avaliacao de morte encefalica;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;medicamentos de ambito hospitalar e urgencia;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;acoes relacionadas ao atendimento;total
SAO CARLOS;;2.0;24411.0;590.0;1922.0;453.0;620.0;98.0;9.0;29.0;;1371.0;467.0;307.0;6866.0;14331.0;577.0;28.0;149.0;277.0;;40.0;933.0;76.0;16.0;1.0;31.0;3.0;;66.0;195.0;119.0;75.0;4.0;65.0;21.0;3.0;;31.0;68.0;;;;;;;;372.0;387.0;;4466.0;59479
SAO JOAO DA BOA VISTA;;2.0;9492.0;188.0;409.0;181.0;205.0;;;19.0;5.0;350.0;288.0;5109.0;11860.0;3579.0;202.0;17.0;22.0;152.0;;7.0;330.0;12.0;37.0;;10.0;4.0;;4.0;34.0;59.0;41.0;;74.0;8.0;1.0;3.0;4.0;10.0;6.0;;;;;;;94.0;82.0;14.0;1650.0;34564
SAO JOSE DO RIO PARDO;;2.0;3482.0;39.0;141.0;83.0;172.0;;;10.0;;125.0;73.0;2668.0;7213.0;724.0;215.0;2.0;31.0;38.0;;12.0;221.0;12.0;4.0;;;;;;32.0;57.0;8.0;;48.0;5.0;;2.0;;;4.0;;;;;;;38.0;78.0;;1166.0;16705
SAO JOSE DO RIO PRETO;;5.0;22647.0;1087.0;1101.0;636.0;786.0;46.0;;47.0;4.0;965.0;1580.0;156.0;3601.0;20048.0;5517.0;90.0;194.0;878.0;;19.0;953.0;50.0;219.0;1.0;29.0;38.0;9.0;105.0;124.0;163.0;98.0;7.0;124.0;55.0;15.0;;29.0;95.0;22.0;;1.0;7.0;;1.0;;103.0;3059.0;156.0;3990.0;68860
SAO JOSE DOS CAMPOS;;378.0;58280.0;1834.0;2406.0;707.0;1770.0;35.0;;138.0;;3692.0;2330.0;537.0;34615.0;23684.0;3526.0;311.0;265.0;1329.0;31.0;53.0;1283.0;199.0;102.0;7.0;32.0;77.0;69.0;112.0;285.0;231.0;210.0;6.0;259.0;70.0;25.0;67.0;16.0;139.0;2.0;;1.0;;;5.0;;313.0;762.0;;7237.0;147430
SAO LUIS DO PARAITINGA;;;115.0;;6.0;;;;;;;2.0;;;124.0;;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;284
SAO MANUEL;;;68.0;;16.0;;4.0;;;;;69.0;10.0;;252.0;;30.0;;10.0;;;;;14.0;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;291.0;779
SAO MIGUEL ARCANJO;;;1384.0;;82.0;4.0;;;;;;22.0;;398.0;1578.0;416.0;46.0;4.0;5.0;;;1.0;;;2.0;;;;;;33.0;;12.0;;;;;;;;;;;;;;;;;;325.0;4312
SAO PAULO;;3777.0;454570.0;5069.0;17467.0;6602.0;10686.0;493.0;25.0;684.0;87.0;16392.0;4077.0;66844.0;281752.0;80655.0;17899.0;1729.0;2662.0;4366.0;2.0;286.0;8263.0;2387.0;2741.0;12.0;275.0;519.0;424.0;1028.0;3238.0;3065.0;2989.0;129.0;1530.0;339.0;122.0;37.0;275.0;260.0;116.0;859.0;36.0;148.0;;114.0;3004.0;17135.0;5181.0;2671.0;53589.0;1086610
SAO PEDRO;;18.0;2707.0;138.0;106.0;12.0;24.0;;;;;89.0;;136.0;1867.0;447.0;47.0;2.0;;32.0;;;;15.0;25.0;;;1.0;;44.0;61.0;20.0;70.0;;18.0;;1.0;;;;;;;;;;;;38.0;30.0;485.0;6433
SAO ROQUE;;;3088.0;43.0;241.0;29.0;;;;;;315.0;67.0;2083.0;2075.0;;113.0;4.0;2.0;23.0;;11.0;;48.0;10.0;;;;;;26.0;9.0;32.0;;44.0;;;;;;;;;;;;;36.0;1.0;8.0;1095.0;9403
SAO SEBASTIAO;;;8559.0;70.0;28.0;41.0;93.0;;;6.0;;105.0;;82.0;2504.0;770.0;224.0;6.0;49.0;103.0;;16.0;;47.0;3.0;;;1.0;;;34.0;27.0;55.0;1.0;38.0;;1.0;;2.0;;;;;;;;;2.0;42.0;;802.0;13711
SAO SEBASTIAO DA GRAMA;;;84.0;2.0;17.0;;;;;;;2.0;;;166.0;;18.0;1.0;;2.0;;2.0;;;1.0;;;;;;8.0;;;;;;;;;;;;;;;;;;5.0;;153.0;461
SAO SIMAO;;;;;;;;;;;;11.0;;;287.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172.0;490
SAO VICENTE;;28.0;9395.0;;46.0;166.0;;;;9.0;;450.0;244.0;3136.0;3986.0;1852.0;494.0;14.0;8.0;123.0;;22.0;52.0;61.0;936.0;;;1.0;;1.0;59.0;45.0;18.0;1.0;109.0;13.0;6.0;;2.0;;1.0;;;;;;;196.0;160.0;6.0;3468.0;25108
SERRA NEGRA;;;12.0;;31.0;;;;;;;49.0;;12.0;22.0;;40.0;1.0;5.0;5.0;;4.0;;2.0;;;;;;;1.0;11.0;;;10.0;;;;;;;;;;;;;;17.0;;217.0;439
SERRANA;;;133.0;;5.0;;;;;;;6.0;;;1057.0;;37.0;;1.0;;;11.0;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;86.0;1354
SERTAOZINHO;;;5983.0;303.0;936.0;93.0;100.0;12.0;;32.0;3.0;309.0;467.0;82.0;1717.0;4577.0;121.0;;22.0;148.0;;19.0;542.0;36.0;96.0;;66.0;;;14.0;60.0;261.0;55.0;;62.0;16.0;1.0;8.0;48.0;;3.0;;;2.0;;;;124.0;221.0;1.0;1766.0;18306
SILVEIRAS;;;12.0;;;;;;;;;2.0;;;1.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
SOCORRO;;;2598.0;33.0;177.0;;;;;;;128.0;;;174.0;;97.0;7.0;4.0;;;4.0;;;41.0;;;;;3.0;11.0;22.0;8.0;;24.0;2.0;1.0;;1.0;;;;;;;;;7.0;32.0;;357.0;3731
SOROCABA;3.0;132.0;45477.0;534.0;2675.0;1022.0;645.0;8.0;;123.0;;3014.0;813.0;379.0;8996.0;7318.0;1159.0;117.0;182.0;762.0;154.0;13.0;1522.0;225.0;62.0;2.0;15.0;29.0;;126.0;191.0;172.0;159.0;2.0;182.0;55.0;5.0;;14.0;73.0;30.0;32.0;;;;6.0;32.0;509.0;965.0;162.0;9163.0;87259
SUD MENNUCCI;;;12.0;;;;;;;;;;;6.0;35.0;;9.0;;1.0;;;1.0;;1.0;;;;;;;13.0;1.0;2.0;;7.0;;;;;;;;;;;;;;;;6.0;94
SUZANO;;9.0;4587.0;31.0;324.0;83.0;17.0;;;;;697.0;84.0;391.0;3312.0;1739.0;73.0;;;53.0;;3.0;3.0;129.0;;;;;;;17.0;61.0;1.0;;80.0;2.0;1.0;;;;;;;;;;;100.0;80.0;;754.0;12631
TABAPUA;;;456.0;;19.0;;;;;;;16.0;;;218.0;;50.0;;12.0;1.0;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;71.0;849
TABATINGA;;;443.0;5.0;15.0;;;;;;;;;;137.0;;38.0;;6.0;;;;;1.0;;;;;;;9.0;;3.0;;6.0;;;;;;;;;;;;;;;;92.0;755
TABOAO DA SERRA;;845.0;65.0;;86.0;;;;;;;300.0;;63.0;5646.0;275.0;232.0;8.0;8.0;;;16.0;;29.0;11.0;;;;;;;;18.0;;38.0;13.0;;;;;;;;;;;;70.0;;7.0;755.0;8485
TAGUAI;;;347.0;;42.0;5.0;;;;;;22.0;;87.0;364.0;44.0;20.0;;;;;;;4.0;;;;;;;3.0;;1.0;;5.0;;;;;;;;;;;;;;;6.0;85.0;1035
TAMBAU;;;452.0;19.0;17.0;17.0;;;;;;5.0;;;1408.0;34.0;43.0;2.0;;4.0;;3.0;;2.0;1.0;;1.0;;;;12.0;4.0;7.0;1.0;8.0;;;;;;;;;;;;;;;;27.0;2067
TAPIRATIBA;;;;;5.0;;;;;;;1.0;;17.0;97.0;;12.0;1.0;3.0;1.0;;2.0;;;;;;;;;6.0;;8.0;;;;;;;;;;;;;;;;;;73.0;226
TAQUARITINGA;;;2550.0;21.0;187.0;94.0;106.0;14.0;;;;79.0;;;140.0;524.0;149.0;8.0;3.0;;;1.0;;3.0;4.0;;1.0;2.0;;5.0;28.0;26.0;36.0;2.0;22.0;1.0;;;3.0;;;;;;;;;;13.0;;724.0;4746
TAQUARITUBA;;;590.0;;40.0;;;;;;;102.0;;46.0;482.0;;69.0;;3.0;;;10.0;;11.0;7.0;;2.0;;;;8.0;23.0;7.0;;14.0;;;;2.0;;;;;;;;;3.0;25.0;25.0;249.0;1718
TATUI;;8.0;7762.0;102.0;442.0;72.0;31.0;8.0;;4.0;;103.0;;178.0;1891.0;2051.0;372.0;;7.0;9.0;;3.0;;78.0;2.0;;1.0;2.0;;;89.0;27.0;29.0;3.0;92.0;1.0;;;4.0;;;;;;;;;3.0;36.0;161.0;1431.0;15002
TAUBATE;;9.0;19998.0;1043.0;1195.0;362.0;338.0;;;83.0;;426.0;704.0;256.0;1829.0;2458.0;651.0;;158.0;291.0;;6.0;968.0;93.0;1.0;;15.0;6.0;;1.0;34.0;145.0;73.0;14.0;144.0;21.0;;2.0;12.0;37.0;16.0;;;;;;;165.0;102.0;;2853.0;34509
TEODORO SAMPAIO;;;898.0;;35.0;;;;;;;76.0;;;525.0;;66.0;;7.0;13.0;;;;2.0;;;;;;;1.0;;;;4.0;;;;;;;;;;;;;;;;256.0;1883
TERRA ROXA;;;30.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45
TIETE;;;855.0;36.0;42.0;;;;;;;54.0;15.0;;2569.0;;109.0;;;;;4.0;;19.0;;;;;;7.0;3.0;4.0;8.0;;36.0;;;;;;;;;;;;;6.0;;;238.0;4005
TORRINHA;;;82.0;;3.0;;;;;;;2.0;;;;;9.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97
TUPI PAULISTA;;;900.0;10.0;38.0;14.0;;;;;;21.0;62.0;;5.0;119.0;64.0;4.0;3.0;31.0;;1.0;;2.0;;;;;;;7.0;;1.0;;4.0;;;;;;;;;;;;;1.0;;4.0;305.0;1596
UBATUBA;;;4796.0;17.0;251.0;57.0;167.0;;;;;357.0;94.0;129.0;744.0;148.0;266.0;1.0;2.0;48.0;;29.0;;33.0;;;;;;;26.0;10.0;10.0;1.0;27.0;3.0;3.0;;9.0;;;;;;;;;13.0;8.0;;400.0;7649
URANIA;;;144.0;;;;;;;;;;;;58.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214
URUPES;;;430.0;;27.0;;;;;;;5.0;;;190.0;;39.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167.0;859
VALINHOS;;;4651.0;73.0;206.0;86.0;233.0;;;20.0;;260.0;378.0;46.0;1009.0;3026.0;156.0;8.0;36.0;101.0;;13.0;;18.0;927.0;;1.0;4.0;;1.0;48.0;51.0;27.0;;25.0;16.0;1.0;;6.0;;3.0;;;;;;;229.0;87.0;;2140.0;13886
VALPARAISO;;;292.0;11.0;24.0;;;;;;;12.0;;18.0;;42.0;25.0;1.0;2.0;;;;;;;;;;;;9.0;;4.0;;9.0;;;;;;;;;;;;;;;7.0;56.0;512
VARGEM GRANDE DO SUL;;1.0;1541.0;88.0;117.0;40.0;;;;;;67.0;32.0;29.0;717.0;;98.0;;8.0;32.0;;3.0;;10.0;40.0;;1.0;;;1.0;27.0;18.0;24.0;;21.0;3.0;;;;;;;;;;;;3.0;22.0;17.0;645.0;3605
VARZEA PAULISTA;;;774.0;;40.0;;;;;;;;;;1.0;;50.0;1.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0;889
VINHEDO;;3.0;3817.0;152.0;187.0;85.0;153.0;1.0;;88.0;;149.0;;45.0;416.0;1062.0;100.0;6.0;23.0;;;1.0;80.0;11.0;79.0;2.0;2.0;;;7.0;58.0;34.0;74.0;3.0;34.0;3.0;4.0;;9.0;;3.0;;;;;;;2.0;42.0;8.0;449.0;7192
VIRADOURO;;;256.0;;6.0;2.0;;;;;;1.0;;;620.0;;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;67.0;989
VOTORANTIM;;;4695.0;61.0;109.0;53.0;;;;;;181.0;;93.0;2503.0;781.0;187.0;5.0;32.0;71.0;;1.0;;50.0;3.0;;;1.0;52.0;19.0;85.0;11.0;41.0;2.0;44.0;1.0;;1.0;;;;;;;;;;4.0;30.0;;977.0;10093
SAO PAULO - GESTAO ESTADUAL;34.0;4319.0;2112411.0;27988.0;78878.0;23752.0;38087.0;3026.0;309.0;4461.0;953.0;60480.0;29925.0;94426.0;574728.0;427155.0;156415.0;8186.0;12205.0;27894.0;137.0;1692.0;62110.0;4909.0;26179.0;206.0;1974.0;2853.0;3731.0;5493.0;11248.0;9678.0;6904.0;575.0;4765.0;2203.0;716.0;257.0;1102.0;3413.0;534.0;2006.0;80.0;509.0;9.0;333.0;6270.0;43893.0;33624.0;1479.0;291010.0;4215524
TOTAL;332.0;19725.0;4159432.0;54835.0;168908.0;50234.0;78544.0;4938.0;360.0;7892.0;1395.0;152701.0;59817.0;389004.0;1616970.0;906839.0;252312.0;13358.0;24219.0;51789.0;349.0;3946.0;110717.0;13758.0;59774.0;273.0;3336.0;4340.0;4972.0;9384.0;23830.0;22147.0;16913.0;1048.0;15037.0;4432.0;1139.0;490.0;2543.0;5018.0;1225.0;2949.0;143.0;791.0;9.0;468.0;9395.0;72690.0;65254.0;8272.0;615004.0;9093250
FONTE: MINISTERIO DA SAUDE - SISTEMA DE INFORMACOES HOSPITALARES DO SUS (SIH/SUS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTAS:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADOS REFERENTES AOS ULTIMOS SEIS MESES, SUJEITOS A ATUALIZACAO.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
