municipio;acoes coletivas / individuais em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia de glandulas endocrinas;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;cirurgia em oncologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;avaliacao de morte encefalica;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;medicamentos de ambito hospitalar e urgencia;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;acoes relacionadas ao atendimento;total
PERUIBE;;;47.0;;;13.0;;;;;;62.0;;125.0;350.0;;12.0;;1.0;;;1.0;;35.0;8.0;;;;;;;;1.0;1.0;23.0;;;;;;;;;;;;;;;;154.0;833
PIEDADE;;;1542.0;25.0;34.0;;;;;;;47.0;;;406.0;;104.0;3.0;2.0;30.0;;;;9.0;1.0;;;;;;6.0;;8.0;;36.0;;;;;;;;;;;;;16.0;2.0;1.0;410.0;2682
PILAR DO SUL;;;288.0;17.0;18.0;;;;;;;62.0;;;253.0;;37.0;1.0;;17.0;;;;8.0;7.0;;;;;;7.0;;1.0;;9.0;;;;;;;;;;;;;1.0;1.0;;148.0;875
PINDAMONHANGABA;;;10599.0;84.0;286.0;143.0;80.0;8.0;;16.0;;138.0;;;322.0;2644.0;203.0;3.0;90.0;57.0;;12.0;415.0;55.0;400.0;;6.0;6.0;1.0;9.0;58.0;64.0;26.0;1.0;101.0;6.0;;;13.0;;7.0;;;;;;;55.0;69.0;;2239.0;18216
PIRACAIA;;;100.0;;18.0;;;;;;;3.0;;2.0;158.0;;30.0;1.0;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;138.0;452
PIRACICABA;;163.0;27667.0;471.0;1853.0;597.0;913.0;103.0;;67.0;3.0;2321.0;882.0;;10563.0;5224.0;502.0;152.0;232.0;531.0;;18.0;1173.0;135.0;628.0;;35.0;16.0;2.0;141.0;231.0;267.0;124.0;11.0;155.0;42.0;4.0;2.0;22.0;79.0;11.0;7.0;3.0;11.0;;1.0;5.0;394.0;1284.0;;5424.0;62469
PIRAJU;;;1238.0;20.0;49.0;;;;;;;88.0;;;70.0;35.0;99.0;;2.0;16.0;;3.0;;7.0;;;1.0;;;2.0;11.0;3.0;4.0;;32.0;;;;6.0;;;;;;;;;6.0;;;279.0;1971
PIRAJUI;;60.0;181.0;;19.0;3.0;;;;;;10.0;;975.0;638.0;;46.0;1.0;1.0;6.0;;1.0;;1.0;1.0;;;;;;40.0;;29.0;;;;;;;;;;;;;;;;8.0;1.0;67.0;2088
PIRANGI;;;113.0;;4.0;;;;;;;3.0;;;92.0;;9.0;;;;;;;;;;;;;;5.0;;;;2.0;;;;;;;;;;;;;;;;52.0;280
PIRASSUNUNGA;;;2694.0;16.0;109.0;12.0;26.0;4.0;;;;133.0;97.0;;77.0;790.0;80.0;2.0;39.0;45.0;;2.0;119.0;24.0;;;2.0;1.0;;;11.0;40.0;6.0;;23.0;1.0;;;1.0;;;;;;;;;6.0;62.0;;731.0;5153
PIRATININGA;;;5.0;;;;;;;;;;;;918.0;;10.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.0;997
PITANGUEIRAS;;;579.0;12.0;85.0;2.0;;;;;;38.0;;62.0;262.0;;33.0;1.0;;15.0;;;;3.0;1.0;;;;4.0;12.0;24.0;9.0;14.0;;23.0;;;;1.0;;;;;;;;;1.0;6.0;15.0;165.0;1367
POMPEIA;;;330.0;;35.0;;;;;;;19.0;;;165.0;;15.0;1.0;;;;;;;;;1.0;;;8.0;;;15.0;;;;;;;;;;;;;;;;;;67.0;656
PONTAL;;;538.0;9.0;28.0;4.0;;;;;;15.0;;320.0;354.0;79.0;22.0;1.0;3.0;19.0;;2.0;;2.0;;;1.0;;;31.0;;6.0;7.0;;20.0;;;;9.0;;;;;;;;;1.0;1.0;;10.0;1482
POPULINA;;;28.0;;;;;;;;;1.0;;;11.0;;4.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45
PORTO FELIZ;;;3561.0;48.0;161.0;18.0;17.0;;;5.0;;64.0;46.0;;72.0;2576.0;113.0;4.0;47.0;24.0;;7.0;8.0;7.0;226.0;;;4.0;;2.0;35.0;13.0;22.0;1.0;20.0;1.0;;;;;;;;;;;;1.0;25.0;;407.0;7535
PORTO FERREIRA;;;2329.0;38.0;94.0;25.0;44.0;;;6.0;;50.0;;24.0;4151.0;530.0;79.0;7.0;51.0;26.0;;7.0;4.0;9.0;1.0;;5.0;2.0;;;19.0;16.0;10.0;;20.0;2.0;;1.0;5.0;;4.0;;;;;;;4.0;34.0;;649.0;8246
POTIRENDABA;;;206.0;2.0;10.0;11.0;;;;;;6.0;;;;32.0;42.0;;8.0;;;;;;2.0;;;;;;5.0;;1.0;;;;;;;;;;;;;;;;2.0;;92.0;419
PRAIA GRANDE;;;10437.0;;667.0;203.0;104.0;;;22.0;;576.0;165.0;190.0;3162.0;873.0;537.0;6.0;40.0;97.0;;6.0;604.0;84.0;10.0;1.0;;16.0;;3.0;49.0;34.0;17.0;1.0;72.0;6.0;;;4.0;;6.0;;;;;;;30.0;53.0;;1474.0;19549
PRESIDENTE BERNARDES;;;336.0;;27.0;;;;;;;13.0;;;12.0;;66.0;;3.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;458
PRESIDENTE EPITACIO;;14.0;2559.0;;41.0;19.0;50.0;;;;;91.0;34.0;14.0;140.0;439.0;109.0;;6.0;17.0;;4.0;;5.0;1.0;;;;;;15.0;11.0;2.0;;9.0;;;;;;;;;;;;;2.0;6.0;8.0;373.0;3969
PRESIDENTE VENCESLAU;;;1590.0;;16.0;5.0;;;;;;4.0;32.0;16.0;1049.0;756.0;209.0;4.0;2.0;16.0;;7.0;;3.0;12.0;;;2.0;;;7.0;9.0;8.0;;18.0;1.0;1.0;;;;;;;;;;;;;;556.0;4323
QUELUZ;;;270.0;;2.0;;;;;;;16.0;;108.0;83.0;5.0;14.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.0;545
REGENTE FEIJO;;;1507.0;;;;;;;;;15.0;;;;;90.0;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160.0;1779
RIBEIRAO BONITO;;;73.0;3.0;6.0;;;;;;;8.0;;;70.0;;8.0;1.0;;;;;;;;;;;;;1.0;;1.0;;6.0;;;;;;;;;;;;;;;;50.0;227
RIBEIRAO BRANCO;;;485.0;;36.0;;;;;;;28.0;;;223.0;;32.0;1.0;;;;1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;83.0;891
RIBEIRAO PIRES;;;4398.0;;25.0;2.0;52.0;;;;;182.0;;67.0;75.0;541.0;77.0;2.0;1.0;;;3.0;;38.0;;;;;;;1.0;;26.0;;36.0;1.0;;;;;;;;;;;;;;;577.0;6104
RIBEIRAO PRETO;;30.0;49572.0;595.0;2231.0;437.0;862.0;152.0;14.0;134.0;70.0;2011.0;1341.0;340.0;7341.0;7653.0;1004.0;224.0;550.0;620.0;;27.0;1191.0;113.0;21.0;;71.0;44.0;11.0;212.0;184.0;297.0;102.0;12.0;132.0;73.0;;;72.0;52.0;24.0;7.0;2.0;14.0;;1.0;84.0;530.0;1553.0;108.0;6094.0;86212
RINOPOLIS;;;;;13.0;;;;;;;5.0;;;42.0;;11.0;;4.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.0;154
RIO CLARO;;7.0;6678.0;221.0;342.0;77.0;85.0;8.0;;24.0;;453.0;292.0;178.0;3780.0;4106.0;245.0;80.0;60.0;186.0;;17.0;404.0;42.0;350.0;1.0;7.0;14.0;1.0;12.0;56.0;91.0;55.0;6.0;115.0;18.0;;1.0;14.0;38.0;7.0;3.0;1.0;4.0;;;;12.0;239.0;;2127.0;20457
RIO DAS PEDRAS;;;1102.0;9.0;56.0;1.0;5.0;;;;;33.0;;;44.0;;34.0;;;;;;;;8.0;;;;;;3.0;;19.0;;;;;;;;;;;;;;;;;;175.0;1489
RIOLANDIA;;;14.0;;;;;;;;;;;;43.0;;6.0;;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66
SALES OLIVEIRA;;;45.0;;;;;;;;;;;;6.0;;8.0;2.0;3.0;;;;;1.0;;;;;;;;;4.0;;3.0;;;;;;;;;;;;;;;;;72
SALESOPOLIS;;;414.0;;11.0;;;;;;;19.0;;;5.0;;25.0;;;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;477
SALTO;;;4666.0;42.0;241.0;51.0;123.0;;;12.0;;287.0;179.0;69.0;853.0;1058.0;195.0;15.0;20.0;97.0;4.0;5.0;36.0;29.0;65.0;;2.0;7.0;;3.0;43.0;34.0;18.0;2.0;44.0;5.0;;2.0;19.0;;2.0;;;;;;;55.0;74.0;;856.0;9213
SALTO DE PIRAPORA;;;82.0;109.0;21.0;;;;;;;13.0;;;201.0;;59.0;1.0;4.0;;;2.0;;9.0;3.0;;1.0;;;6.0;61.0;1.0;72.0;;9.0;;;;;;;;;;;;;;6.0;;87.0;747
SALTO GRANDE;;;121.0;;4.0;;;;;;;1.0;;5.0;157.0;12.0;15.0;;;;;;;;;;;;;;6.0;;7.0;;6.0;;;;1.0;;;;;;;;;;;5.0;22.0;362
SANTA ADELIA;;;64.0;;12.0;3.0;;;;;;6.0;;;185.0;8.0;12.0;;2.0;2.0;;;;;;;;;;5.0;3.0;;3.0;;;;;;1.0;;;;;;;;;;;;;306
SANTA BARBARA D'OESTE;;1.0;12204.0;161.0;955.0;81.0;86.0;;;22.0;;355.0;255.0;93.0;3406.0;3140.0;162.0;;145.0;136.0;;7.0;860.0;39.0;869.0;1.0;3.0;6.0;1.0;4.0;87.0;68.0;41.0;;53.0;27.0;;3.0;8.0;;20.0;;;;;;;59.0;95.0;;2362.0;25815
SANTA CRUZ DAS PALMEIRAS;;;312.0;8.0;50.0;;;;;;;35.0;;138.0;2996.0;206.0;46.0;;;11.0;3.0;;;3.0;1.0;;;3.0;;;10.0;12.0;6.0;;15.0;;;;;;;;;;;;;6.0;7.0;13.0;206.0;4087
SANTA CRUZ DO RIO PARDO;;1.0;2886.0;150.0;213.0;52.0;131.0;;;;;200.0;163.0;;1989.0;644.0;150.0;6.0;6.0;71.0;;9.0;12.0;12.0;287.0;;8.0;8.0;;;36.0;58.0;27.0;;38.0;4.0;;;4.0;;;;;;;;;37.0;43.0;4.0;385.0;7634
SANTA FE DO SUL;;;3146.0;40.0;63.0;24.0;68.0;;;;;195.0;138.0;14.0;48.0;866.0;483.0;;23.0;69.0;;5.0;5.0;7.0;11.0;;;;;;48.0;14.0;9.0;;8.0;2.0;;;;;3.0;;;;;;;3.0;26.0;;873.0;6191
