instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Santo Expedito - SP;SANTO EXPEDITO;SP;3159;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25325387.8
Prefeitura Municipal de Piracicaba - SP;PIRACICABA;SP;410275;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2578711769.36
Prefeitura Municipal de Cï¿½ndido Rodrigues - SP;CANDIDO RODRIGUES;SP;2805;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33885142.01
Prefeitura Municipal de Redenï¿½ï¿½o da Serra - SP;REDENCAO DA SERRA;SP;3827;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36642683.12
Prefeitura Municipal de Aramina - SP;ARAMINA;SP;5689;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40446647.02
Prefeitura Municipal de Uniï¿½o Paulista - SP;UNIAO PAULISTA;SP;1886;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;23294787.53
Prefeitura Municipal de Pilar do Sul - SP;PILAR DO SUL;SP;29612;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;134531619.99
Prefeitura Municipal de Nova Independï¿½ncia - SP;NOVA INDEPENDENCIA;SP;4135;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51550159.55
Prefeitura Municipal de Vinhedo - SP;VINHEDO;SP;81516;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;812336897.82
Prefeitura Municipal de Cananï¿½ia - SP;CANANEIA;SP;12542;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;96109218.42
Prefeitura Municipal de Conchal - SP;CONCHAL;SP;28491;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;179451758.01
Prefeitura Municipal de Cabreï¿½va - SP;CABREUVA;SP;51130;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;396769332.71
Prefeitura Municipal de Cotia - SP;COTIA;SP;257882;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1519537125.24
Prefeitura Municipal de Elisiï¿½rio - SP;ELISIARIO;SP;3742;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28137417.15
Prefeitura Municipal de Adolfo - SP;ADOLFO;SP;3545;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44259588.55
Prefeitura Municipal de Sete Barras - SP;SETE BARRAS;SP;12731;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;75451311.14
Prefeitura Municipal de Martinï¿½polis - SP;MARTINOPOLIS;SP;26791;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;131106923.81
Prefeitura Municipal de Jï¿½lio Mesquita - SP;JULIO MESQUITA;SP;4824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39292610.42
Prefeitura Municipal de Presidente Venceslau - SP;PRESIDENTE VENCESLAU;SP;39648;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;206064550.41
