instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Apiaï¿½ - SP;APIAI;SP;24081;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;125819289.35
Prefeitura Municipal de Limeira - SP;LIMEIRA;SP;310783;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1600219728.68
Prefeitura Municipal de Descalvado - SP;DESCALVADO;SP;34097;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;192378008.27
Prefeitura Municipal de Sales - SP;SALES;SP;6481;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55341493.01
Prefeitura Municipal de Santa Branca - SP;SANTA BRANCA;SP;14925;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;80624682.21
Prefeitura Municipal de Junqueirï¿½polis - SP;JUNQUEIROPOLIS;SP;20978;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;115147216.56
Prefeitura Municipal de Amparo - SP;AMPARO;SP;73145;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;484412905.75
Prefeitura Municipal de Miracatu - SP;MIRACATU;SP;19511;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;116488485.65
Prefeitura Municipal de Pratï¿½nia - SP;PRATANIA;SP;5371;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40505264.57
Prefeitura Municipal de Meridiano - SP;MERIDIANO;SP;3813;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51081600.13
Prefeitura Municipal de Santo Andrï¿½ - SP;SANTO ANDRE;SP;723889;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;3861690241.28
Prefeitura Municipal de Guarujï¿½ - SP;GUARUJA;SP;324977;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2181142690.8
Prefeitura Municipal de Guaraï¿½aï¿½ - SP;GUARACAI;SP;8258;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53315384.26
Prefeitura Municipal de Guariba - SP;GUARIBA;SP;40857;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;186905094.36
Prefeitura Municipal de Dolcinï¿½polis - SP;DOLCINOPOLIS;SP;2108;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25779353.06
Prefeitura Municipal de Ilhabela - SP;ILHABELA;SP;36194;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1226191375.82
Prefeitura Municipal de Rafard - SP;RAFARD;SP;9126;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;62245547.24
Prefeitura Municipal de Pirapozinho - SP;PIRAPOZINHO;SP;27974;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;124385717.13
Prefeitura Municipal de Lindï¿½ia - SP;LINDOIA;SP;8201;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57691678.84
Prefeitura Municipal de Piedade - SP;PIEDADE;SP;55731;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;215069771.63
Prefeitura Municipal de Itaberï¿½ - SP;ITABERA;SP;17405;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;113425831.63
Prefeitura Municipal de Sï¿½o Joï¿½o do Pau d'Alho - SP;SAO JOAO DO PAU D'ALHO;SP;2095;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25913743.36
Prefeitura Municipal de Capivari - SP;CAPIVARI;SP;56973;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;350874073.27
Prefeitura Municipal de Sertï¿½ozinho - SP;SERTAOZINHO;SP;128432;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;837670932.21
Prefeitura Municipal de Corumbataï¿½ - SP;CORUMBATAI;SP;4072;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44617830.54
Prefeitura Municipal de Espï¿½rito Santo do Pinhal - SP;ESPIRITO SANTO DO PINHAL;SP;44607;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;189433446.8
Prefeitura Municipal de Irapuru - SP;IRAPURU;SP;8356;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36928788.38
Prefeitura Municipal de Mirassol - SP;MIRASSOL;SP;60768;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;285446724.0
Prefeitura Municipal de Ariranha - SP;ARIRANHA;SP;9851;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;66940281.46
Prefeitura Municipal de Estrela d'Oeste - SP;ESTRELA D'OESTE;SP;8420;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;79988495.78
Prefeitura Municipal de Monte Aprazï¿½vel - SP;MONTE APRAZIVEL;SP;25651;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;116163498.95
Prefeitura Municipal de Motuca - SP;MOTUCA;SP;4831;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35964262.78
Prefeitura Municipal de Barretos - SP;BARRETOS;SP;123546;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1056811696.42
Prefeitura Municipal de Gabriel Monteiro - SP;GABRIEL MONTEIRO;SP;2776;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31514413.98
Prefeitura Municipal de Cosmorama - SP;COSMORAMA;SP;7289;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58163695.81
Prefeitura Municipal de Piacatu - SP;PIACATU;SP;6093;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40786555.15
Prefeitura Municipal de Rio Grande da Serra - SP;RIO GRANDE DA SERRA;SP;52009;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;144519395.57
Prefeitura Municipal de Cajobi - SP;CAJOBI;SP;10649;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;59080134.8
Prefeitura Municipal de Nuporanga - SP;NUPORANGA;SP;7522;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;64365000.11
Prefeitura Municipal de Joï¿½o Ramalho - SP;JOAO RAMALHO;SP;4577;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42430188.32
Prefeitura Municipal de Jales - SP;JALES;SP;49291;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;257826660.14
Prefeitura Municipal de Cedral - SP;CEDRAL;SP;9452;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;75149599.16
Prefeitura Municipal de Osasco - SP;OSASCO;SP;701428;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4475273230.12
Prefeitura Municipal de Igaraï¿½u do Tietï¿½ - SP;IGARACU DO TIETE;SP;24821;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;106571678.98
Prefeitura Municipal de Paulistï¿½nia - SP;PAULISTANIA;SP;1835;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;32362505.22
Prefeitura Municipal de Bananal - SP;BANANAL;SP;11039;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;60460258.65
Prefeitura Municipal de Paranapanema - SP;PARANAPANEMA;SP;20588;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;156132256.48
Prefeitura Municipal de Registro - SP;REGISTRO;SP;56463;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;307730919.97
Prefeitura Municipal de Santa Adï¿½lia - SP;SANTA ADELIA;SP;15639;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;80851614.28
Prefeitura Municipal de Indaiatuba - SP;INDAIATUBA;SP;260690;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2044078766.81
Prefeitura Municipal de Cravinhos - SP;CRAVINHOS;SP;35858;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;230497878.51
Prefeitura Municipal de Cerquilho - SP;CERQUILHO;SP;50631;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;279996153.11
Prefeitura Municipal de Sarapuï¿½ - SP;SARAPUI;SP;10493;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;60473746.67
Prefeitura Municipal de Novais - SP;NOVAIS;SP;6057;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35000463.18
Prefeitura Municipal de Potirendaba - SP;POTIRENDABA;SP;17668;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;117558328.12
Prefeitura Municipal de Americana - SP;AMERICANA;SP;244370;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1250310717.77
Prefeitura Municipal de Iperï¿½ - SP;IPERO;SP;38771;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;161563227.31
Prefeitura Municipal de Fernandï¿½polis - SP;FERNANDOPOLIS;SP;69680;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;381894416.77
Prefeitura Municipal de Pedranï¿½polis - SP;PEDRANOPOLIS;SP;2468;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33715296.05
Prefeitura Municipal de Taquarivaï¿½ - SP;TAQUARIVAI;SP;5968;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46557779.99
Prefeitura Municipal de Caï¿½apava - SP;CACAPAVA;SP;95752;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;429975172.63
Prefeitura Municipal de Colï¿½mbia - SP;COLOMBIA;SP;6223;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;79027745.45
Prefeitura Municipal de Echaporï¿½ - SP;ECHAPORA;SP;6026;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39482163.14
Prefeitura Municipal de Ituverava - SP;ITUVERAVA;SP;42259;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;252911599.23
Prefeitura Municipal de Agudos - SP;AGUDOS;SP;37582;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;224804259.92
Prefeitura Municipal de Ilha Solteira - SP;ILHA SOLTEIRA;SP;26886;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;234624967.18
Prefeitura Municipal de Nova Alianï¿½a - SP;NOVA ALIANCA;SP;7161;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;47980876.31
Prefeitura Municipal de Mendonï¿½a - SP;MENDONCA;SP;5638;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55725342.57
Prefeitura Municipal de Neves Paulista - SP;NEVES PAULISTA;SP;8917;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53786444.85
Prefeitura Municipal de Mira Estrela - SP;MIRA ESTRELA;SP;3125;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39754053.73
Prefeitura Municipal de Capela do Alto - SP;CAPELA DO ALTO;SP;21257;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;110803622.29
Prefeitura Municipal de Itirapina - SP;ITIRAPINA;SP;18610;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;134859655.96
Prefeitura Municipal de Guapiaï¿½u - SP;GUAPIACU;SP;22087;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;131136945.26
Prefeitura Municipal de Monte Castelo - SP;MONTE CASTELO;SP;4166;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37777947.33
Prefeitura Municipal de Braganï¿½a Paulista - SP;BRAGANCA PAULISTA;SP;172346;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;891398394.3
Prefeitura Municipal de Pedro de Toledo - SP;PEDRO DE TOLEDO;SP;11507;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;65286160.87
Prefeitura Municipal de Iacanga - SP;IACANGA;SP;12002;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;81485255.13
Prefeitura Municipal de Salto de Pirapora - SP;SALTO DE PIRAPORA;SP;46285;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;239092440.87
Prefeitura Municipal de Jaborandi - SP;JABORANDI;SP;6963;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;54893398.89
Prefeitura Municipal de Magda - SP;MAGDA;SP;3086;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37758368.18
Prefeitura Municipal de Mirandï¿½polis - SP;MIRANDOPOLIS;SP;29844;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;134787732.53
Prefeitura Municipal de Aguaï¿½ - SP;AGUAI;SP;36981;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;163002453.98
Prefeitura Municipal de Sï¿½o Miguel Arcanjo - SP;SAO MIGUEL ARCANJO;SP;33071;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;148260926.38
Prefeitura Municipal de Embaï¿½ba - SP;EMBAUBA;SP;2446;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27190092.95
Prefeitura Municipal de Ibiï¿½na - SP;IBIUNA;SP;80062;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;329202884.37
Prefeitura Municipal de Joanï¿½polis - SP;JOANOPOLIS;SP;13453;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;73895504.79
Prefeitura Municipal de Ubarana - SP;UBARANA;SP;6488;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;59098456.81
Prefeitura Municipal de Sumarï¿½ - SP;SUMARE;SP;289875;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1219498077.58
Prefeitura Municipal de Avanhandava - SP;AVANHANDAVA;SP;14063;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;71836245.12
Prefeitura Municipal de Palmares Paulista - SP;PALMARES PAULISTA;SP;13691;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50422065.79
Prefeitura Municipal de Morungaba - SP;MORUNGABA;SP;13936;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;88382999.22
Prefeitura Municipal de Pirapora do Bom Jesus - SP;PIRAPORA DO BOM JESUS;SP;19453;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;110190706.11
Prefeitura Municipal de Matï¿½o - SP;MATAO;SP;84069;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;377840786.5
Prefeitura Municipal de Miguelï¿½polis - SP;MIGUELOPOLIS;SP;22480;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141229506.57
Prefeitura Municipal de Peruï¿½be - SP;PERUIBE;SP;69697;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;442085868.22
Prefeitura Municipal de Votorantim - SP;VOTORANTIM;SP;124468;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;582265519.15
Prefeitura Municipal de Sï¿½o Pedro - SP;SAO PEDRO;SP;36298;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;218829176.4
Prefeitura Municipal de Sï¿½o Manuel - SP;SAO MANUEL;SP;41287;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;205086908.57
Prefeitura Municipal de Sabino - SP;SABINO;SP;5638;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48655677.99
Prefeitura Municipal de Sï¿½o Josï¿½ dos Campos - SP;SAO JOSE DOS CAMPOS;SP;737310;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4277758157.69
Prefeitura Municipal de Pariquera-Aï¿½u - SP;PARIQUERA-ACU;SP;19797;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;107075126.83
Prefeitura Municipal de Itobi - SP;ITOBI;SP;7862;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34895786.92
Prefeitura Municipal de Ibirï¿½ - SP;IBIRA;SP;12639;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;67876149.68
Prefeitura Municipal de Pindorama - SP;PINDORAMA;SP;17378;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;89941365.8
Prefeitura Municipal de Colina - SP;COLINA;SP;18601;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;146898745.93
Prefeitura Municipal de Vargem - SP;VARGEM;SP;10842;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48535618.68
Prefeitura Municipal de Rio das Pedras - SP;RIO DAS PEDRAS;SP;36233;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;156135625.93
Prefeitura Municipal de Roseira - SP;ROSEIRA;SP;10888;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;62921503.28
Prefeitura Municipal de Cubatï¿½o - SP;CUBATAO;SP;132521;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1821345436.07
Prefeitura Municipal de Guarulhos - SP;GUARULHOS;SP;1404694;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;6192621072.57
Prefeitura Municipal de Santos - SP;SANTOS;SP;433991;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4284191164.24
Prefeitura Municipal de Fernï¿½o - SP;FERNAO;SP;1739;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31349123.22
Prefeitura Municipal de Mogi Guaï¿½u - SP;MOGI GUACU;SP;154146;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;786711619.86
Prefeitura Municipal de Castilho - SP;CASTILHO;SP;21521;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;170771715.22
Prefeitura Municipal de Arco-ï¿½ris - SP;ARCO-IRIS;SP;1755;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27342465.06
Prefeitura Municipal de Garï¿½a - SP;GARCA;SP;44429;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;254215138.07
Prefeitura Municipal de Sï¿½o Josï¿½ do Rio Preto - SP;SAO JOSE DO RIO PRETO;SP;469173;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2784507244.41
Prefeitura Municipal de Bastos - SP;BASTOS;SP;20952;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;122271329.14
Prefeitura Municipal de Herculï¿½ndia - SP;HERCULANDIA;SP;9649;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55988653.2
Prefeitura Municipal de Pirassununga - SP;PIRASSUNUNGA;SP;77330;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;377180490.79
Prefeitura Municipal de Queiroz - SP;QUEIROZ;SP;3513;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;49975874.33
Prefeitura Municipal de Quintana - SP;QUINTANA;SP;6736;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51712244.88
Prefeitura Municipal de Taquarituba - SP;TAQUARITUBA;SP;23292;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;139675991.72
Prefeitura Municipal de Fernando Prestes - SP;FERNANDO PRESTES;SP;5805;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46561133.42
Prefeitura Municipal de Itanhaï¿½m - SP;ITANHAEM;SP;104351;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;639427019.89
Prefeitura Municipal de Natividade da Serra - SP;NATIVIDADE DA SERRA;SP;6624;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46245440.67
Prefeitura Municipal de Pirangi - SP;PIRANGI;SP;11524;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61799212.37
Prefeitura Municipal de Paulï¿½nia - SP;PAULINIA;SP;114508;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2440620224.93
Prefeitura Municipal de Piracaia - SP;PIRACAIA;SP;27617;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;142813516.98
Prefeitura Municipal de Rio Claro - SP;RIO CLARO;SP;209548;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1253696289.2
Prefeitura Municipal de Araras - SP;ARARAS;SP;136739;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;892991479.22
Prefeitura Municipal de Severï¿½nia - SP;SEVERINIA;SP;17820;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;96456398.52
Prefeitura Municipal de Santa Cruz da Conceiï¿½ï¿½o - SP;SANTA CRUZ DA CONCEICAO;SP;4584;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39386674.54
Prefeitura Municipal de Euclides da Cunha Paulista - SP;EUCLIDES DA CUNHA PAULISTA;SP;9280;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52993916.69
Prefeitura Municipal de Reginï¿½polis - SP;REGINOPOLIS;SP;10047;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48857011.54
Prefeitura Municipal de Ibatï¿½ - SP;IBATE;SP;35830;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;158908121.27
Prefeitura Municipal de Mogi Mirim - SP;MOGI MIRIM;SP;94098;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;641627679.25
Prefeitura Municipal de Botucatu - SP;BOTUCATU;SP;149718;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;724770160.1
Prefeitura Municipal de Artur Nogueira - SP;ARTUR NOGUEIRA;SP;56247;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;273728602.6
Prefeitura Municipal de Porto Ferreira - SP;PORTO FERREIRA;SP;56848;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;330485858.57
Prefeitura Municipal de Tatuï¿½ - SP;TATUI;SP;124134;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;577441658.9
Prefeitura Municipal de Cruzeiro - SP;CRUZEIRO;SP;82895;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;348234809.27
Prefeitura Municipal de Murutinga do Sul - SP;MURUTINGA DO SUL;SP;4525;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35405253.54
